Country,Page,Range,Type,Provider
AE,4,+97143917XXX,geographic,du
AE,5,+9715043XXXXX,mobile,Etisalat
AE,5,+9715044XXXXX,mobile,Etisalat
AE,5,+9715045XXXXX,mobile,Etisalat
AE,4,+97143918XXX,geographic,du
AE,5,+9715046XXXXX,mobile,Etisalat
AE,5,+9715047XXXXX,mobile,Etisalat
AE,5,+9715048XXXXX,mobile,Etisalat
AE,5,+97150XXXXXXX,mobile,Etisalat
AE,6,+9715049XXXXX,mobile,Etisalat
AE,6,+9715055XXXXX,mobile,Etisalat
AE,6,+9715056XXXXX,mobile,Etisalat
AE,4,+971439195XX,geographic,du
AE,3,+9714374XXXX,geographic,du
AE,6,+9715057XXXXX,mobile,Etisalat
AE,4,+971439196XX,geographic,du
AE,6,+9715058XXXXX,mobile,Etisalat
AE,6,+9715060XXXXX,mobile,Etisalat
AE,6,+9715061XXXXX,mobile,Etisalat
AE,6,+9715062XXXXX,mobile,Etisalat
AE,6,+9715063XXXXX,mobile,Etisalat
AE,6,+9715064XXXXX,mobile,Etisalat
AE,4,+971439197XX,geographic,du
AE,7,+9715065XXXXX,mobile,Etisalat
AE,7,+9715066XXXXX,mobile,Etisalat
AE,7,+9715067XXXXX,mobile,Etisalat
AE,7,+9715068XXXXX,mobile,Etisalat
AE,3,+9714375XXXX,geographic,du
AE,7,+9715069XXXXX,mobile,Etisalat
AE,7,+9715077XXXXX,mobile,Etisalat
AE,2,+971300XXXXXX,sharedcost,
AE,7,+9715078XXXXX,mobile,Etisalat
AE,7,+9715079XXXXX,mobile,Etisalat
AE,7,+9715081XXXXX,mobile,Etisalat
AE,7,+9715082XXXXX,mobile,Etisalat
AE,8,+9715083XXXXX,mobile,Etisalat
AE,8,+9715084XXXXX,mobile,Etisalat
AE,8,+9715085XXXXX,mobile,Etisalat
AE,9,+9716XXXXXXX,geographic,
AE,8,+9715086XXXXX,mobile,Etisalat
AE,8,+9715087XXXXX,mobile,Etisalat
AE,8,+97152XXXXXXX,mobile,du
AE,8,+97155XXXXXXX,mobile,du
AE,8,+97156XXXXXXX,mobile,Etisalat
AE,5,+971483XXXXX,geographic,Etisalat
AE,9,+971600XXXXXX,nationalrate,
AE,5,+971485XXXXX,geographic,Etisalat
AE,2,+97137XXXXXX,geographic,Etisalat
AE,2,+9713736XXXX,geographic,du
AE,1,971,proper,
AE,3,+9714390XXXX,geographic,du
AE,2,+9714XXXXXXX,geographic,
AE,4,+971439198XX,geographic,du
AE,3,+97143910XXX,geographic,du
AE,2,+9714XXXXXXX,geographic,
AE,1,+9712XXXXXXX,geographic,
AE,2,+9714XXXXXXX,geographic,
AE,2,+9714XXXXXXX,geographic,
AE,3,+97143911XXX,geographic,du
AE,4,+971439199XX,geographic,du
AE,3,+97143912XXX,geographic,du
AE,3,+97143913XXX,geographic,du
AE,4,+971442XXXXX,geographic,du
AE,1,+971200XXXXXX,sharedcost,
AE,2,+97142XXXXXX,geographic,Etisalat
AE,2,+97143XXXXXX,geographic,Etisalat
AE,5,+971500XXXXXX,premiumrate,
AE,9,+97165XXXXXX,geographic,Etisalat
AE,3,+97143914XXX,geographic,du
AE,2,+971436XXXXX,geographic,du
AE,4,+9714567XXXX,geographic,du
AE,8,+9716XXXXXXX,geographic,
AE,1,+9712234XXXX,geographic,du
AE,8,+9716XXXXXXX,geographic,
AE,1,+97124XXXXXX,geographic,Etisalat
AE,3,+97143915XXX,geographic,du
AE,1,+97125XXXXXX,geographic,Etisalat
AE,3,+97143916XXX,geographic,du
AE,4,+97148XXXXXX,geographic,Etisalat
AE,1,+97126XXXXXX,geographic,Etisalat
AE,9,+9716678XXXX,geographic,du
AE,9,+97167XXXXXX,geographic,Etisalat
AE,10,+9717277XXXX,geographic,du
AE,1,+971287XXXXX,geographic,Etisalat
AE,1,+971288XXXXX,geographic,Etisalat
AE,1,+9713XXXXXXX,geographic,
AE,9,+97167XXXXXX,geographic,Etisalat
AE,9,+97168XXXXXX,geographic,Etisalat
AE,9,+9717XXXXXXX,geographic,
AE,9,+971700XXXXXX,premiumrate,
AE,10,+9719XXXXXXX,geographic,
AE,9,+97172XXXXXX,geographic,Etisalat
AE,10,+9719XXXXXXX,geographic,
AE,10,+971900XXXXXX,premiumrate,
AE,10,+97192XXXXXX,geographic,Etisalat
AE,10,+971929XXXXX,geographic,du
