Country,Page,Range,Type,Provider
AG,2,+1268463XXXX,geographic,Cable & Wireless Antigua
AG,4,+1268739XXXX,audiotext,Cable & Wireless Antigua
AG,2,+1268484XXXX,geographic,Cable & Wireless Antigua
AG,2,+1268464XXXX,mobile,APUA PCS
AG,2,+1268480XXXX,mobile,APUA PCS
AG,2,+1268481XXXX,mobile,APUA PCS
AG,3,+1268720XXXX,mobile,Digicel Antigua
AG,2,+1268555XXXX,sharedcost,Cable & Wireless Antigua
AG,3,+1268721XXXX,mobile,Digicel Antigua
AG,3,+1268722XXXX,mobile,Digicel Antigua
AG,3,+1268723XXXX,mobile,APUA PCS
AG,3,+1268724XXXX,mobile,Digicel Antigua
AG,3,+1268725XXXX,mobile,Digicel Antigua
AG,3,+1268726XXXX,mobile,Digicel Antigua
AG,3,+1268727XXXX,mobile,APUA PCS
AG,3,+1268728XXXX,mobile,APUA PCS
AG,3,+1268729XXXX,mobile,APUA PCS
AG,4,+1268764XXXX,mobile,APUA PCS
AG,4,+1268771XXXX,mobile,APUA PCS
AG,4,+1268772XXXX,mobile,APUA PCS
AG,4,+1268773XXXX,mobile,APUA PCS
AG,4,+1268783XXXX,mobile,Digicel Antigua
AG,4,+1268785XXXX,mobile,Digicel Antigua
AG,4,+1268788XXXX,mobile,Digicel Antigua
AG,2,+1268560XXXX,geographic,Cable & Wireless Antigua
AG,2,+1268561XXXX,geographic,Cable & Wireless Antigua
AG,2,+1268562XXXX,geographic,Cable & Wireless Antigua
AG,2,+1268686XXXX,audiotext,Cable & Wireless Antigua
AG,1,1,proper,
AG,1,+1268XXXXXXX,geographic,
AG,1,+1268222XXXX,payphone,Cable & Wireless Antigua
AG,1,+1268268XXXX,premiumrate,Cable & Wireless Antigua
AG,1,+1268404XXXX,audiotext,Cable & Wireless Antigua
AG,1,+1268406XXXX,pager,Cable & Wireless Antigua
AG,4,+126892XXXXX,premiumrate,Cable & Wireless Antigua
AG,4,+1268938XXXX,audiotext,Cable & Wireless Antigua
AG,1,+1268409XXXX,pager,Cable & Wireless Antigua
AG,1,+1268460XXXX,geographic,Cable & Wireless Antigua
AG,1,+1268461XXXX,geographic,Cable & Wireless Antigua
AG,1,+1268462XXXX,geographic,Cable & Wireless Antigua
