Country,Page,Range,Type,Provider
AG,4,1268771XXXX,mobile,APUA PCS
AG,4,1268773XXXX,mobile,APUA PCS
AG,4,1268772XXXX,mobile,APUA PCS
AG,4,1268788XXXX,mobile,Digicel Antigua
AG,4,1268783XXXX,mobile,Digicel Antigua
AG,4,1268785XXXX,mobile,Digicel Antigua
AG,4,1268764XXXX,mobile,APUA PCS
AG,3,1268722XXXX,mobile,Digicel Antigua
AG,3,1268721XXXX,mobile,Digicel Antigua
AG,3,1268724XXXX,mobile,Digicel Antigua
AG,3,1268723XXXX,mobile,APUA PCS
AG,3,1268726XXXX,mobile,Digicel Antigua
AG,3,1268725XXXX,mobile,Digicel Antigua
AG,3,1268728XXXX,mobile,APUA PCS
AG,3,1268727XXXX,mobile,APUA PCS
AG,3,1268720XXXX,mobile,Digicel Antigua
AG,3,1268729XXXX,mobile,APUA PCS
AG,2,1268464XXXX,mobile,APUA PCS
AG,2,1268481XXXX,mobile,APUA PCS
AG,2,1268480XXXX,mobile,APUA PCS
