Country,Page,Range,Type,Provider
AI,2,+1264498XXXX,geographic,Cable & Wireless (West Indies) Ltd Anguilla
AI,1,1,proper,
AI,1,+1264XXXXXXX,geographic,
AI,1,+1264235XXXX,mobile,Cable & Wireless (West Indies) Ltd Anguilla (TDMA)
AI,1,+1264469XXXX,mobile,Cable & Wireless (West Indies) Ltd Anguilla
AI,1,+1264476XXXX,mobile,Cable & Wireless (West Indies) Ltd Anguilla
AI,2,+1264536XXXX,mobile,Weblinks Ltd
AI,2,+1264537XXXX,mobile,Weblinks Ltd
AI,2,+1264538XXXX,mobile,Weblinks Ltd
AI,2,+1264539XXXX,mobile,Weblinks Ltd
AI,2,+1264581XXXX,mobile,Wireless Ventures (Anguilla) Ltd (Digicel)
AI,2,+1264582XXXX,mobile,Wireless Ventures (Anguilla) Ltd (Digicel)
AI,2,+1264583XXXX,mobile,Wireless Ventures (Anguilla) Ltd (Digicel)
AI,2,+1264584XXXX,mobile,Wireless Ventures (Anguilla) Ltd (Digicel)
AI,3,+1264729XXXX,mobile,Cable & Wireless (West Indies) Ltd Anguilla
AI,3,+1264772XXXX,mobile,Cable & Wireless (West Indies) Ltd Anguilla (TDMA)
AI,1,+1264292XXXX,internetserviceprovider,Cable & Wireless (West Indies) Ltd Anguilla
AI,2,+1264724XXXX,pager,Cable & Wireless (West Indies) Ltd Anguilla
AI,1,+1264297XXXX,VoIPtelephony,Netspeak
AI,1,+1264461XXXX,geographic,Caribbean Cable Communications
AI,1,+1264462XXXX,geographic,Caribbean Cable Communications
AI,1,+1264497XXXX,geographic,Cable & Wireless (West Indies) Ltd Anguilla
