Country,Page,Range,Type,Provider
AL,5,+355561XXXXX,geographic,
AL,5,+355563XXXXX,geographic,
AL,5,+355571XXXXX,geographic,
AL,7,+355881XXXXX,geographic,
AL,7,+355885XXXXX,geographic,
AL,2,+355218XXXXX,geographic,
AL,7,+355893XXXXX,geographic,
AL,2,+355219XXXXX,geographic,
AL,5,+355577XXXXX,geographic,
AL,5,+355581XXXXX,geographic,
AL,5,+355591XXXXX,geographic,
AL,2,+35522XXXXXX,geographic,
AL,2,+355242XXXXX,geographic,
AL,2,+355311XXXXX,geographic,
AL,1,355,proper,
AL,1,+355211XXXXX,geographic,
AL,3,+355342XXXXX,geographic,
AL,5,+35566XXXXXXX,mobile,Plus Communication (4L)
AL,5,+35567XXXXXXX,mobile,Eagle Mobile
AL,5,+35568XXXXXXX,mobile,Albania Mobile Communications (AMC)
AL,2,+355312XXXXX,geographic,
AL,5,+35569XXXXXXX,mobile,Vodafone Albania
AL,2,+355313XXXXX,geographic,
AL,3,+35535XXXXXX,geographic,
AL,2,+35532XXXXXX,geographic,
AL,4,+355394XXXXX,geographic,
AL,1,+355211XXXXX,geographic,
AL,3,+355361XXXXX,geographic,
AL,1,+355212XXXXX,geographic,
AL,4,+3554XXXXXXX,geographic,
AL,2,+35533XXXXXX,geographic,
AL,2,+35534XXXXXX,geographic,
AL,1,+355213XXXXX,geographic,
AL,3,+355368XXXXX,geographic,
AL,6,+355811XXXXX,geographic,
AL,1,+355213XXXXX,geographic,
AL,1,+355214XXXXX,geographic,
AL,6,+355812XXXXX,geographic,
AL,3,+355371XXXXX,geographic,
AL,3,+355387XXXXX,geographic,
AL,6,+355813XXXXX,geographic,
AL,4,+355511XXXXX,geographic,
AL,4,+355512XXXXX,geographic,
AL,3,+355388XXXXX,geographic,
AL,3,+355391XXXXX,geographic,
AL,4,+355513XXXXX,geographic,
AL,3,+355392XXXXX,geographic,
AL,1,+355215XXXXX,geographic,
AL,6,+355814XXXXX,geographic,
AL,4,+355514XXXXX,geographic,
AL,3,+355393XXXXX,geographic,
AL,6,+355815XXXXX,geographic,
AL,6,+35582XXXXXX,geographic,
AL,1,+355216XXXXX,geographic,
AL,1,+355217XXXXX,geographic,
AL,4,+35552XXXXXX,geographic,
AL,6,+355832XXXXX,geographic,
AL,6,+35584XXXXXX,geographic,
AL,6,+355852XXXXX,geographic,
AL,6,+355861XXXXX,geographic,
AL,4,+35553XXXXXX,geographic,
AL,4,+355545XXXXX,geographic,
AL,4,+355554XXXXX,geographic,
