Country,Page,Range,Type,Provider
AM,33,3742612XXXX,geographic,VEON Armenia (Beeline)
AM,39,3742675XXXX,geographic,VEON Armenia (Beeline)
AM,38,37426653XXX,geographic,VEON Armenia (Beeline)
AM,66,3746086XXXX,VoIPtelephony,VEON Armenia (Beeline)
AM,56,3746046XXXX,VoIPtelephony,GNC Alfa (Rostelelecom)
AM,40,3742682XXXX,geographic,VEON Armenia (Beeline)
AM,33,3742613XXXX,geographic,VEON Armenia (Beeline)
AM,16,37423374XXX,geographic,VEON Armenia (Beeline)
AM,16,37423375XXX,geographic,VEON Armenia (Beeline)
AM,19,3742348XXXX,geographic,VEON Armenia (Beeline)
AM,10,3742247XXXX,geographic,UCOM LLC
AM,39,3742676XXXX,wirelessgeographic,VEON Armenia (Beeline)
AM,56,3746047XXXX,VoIPtelephony,CrossNet
AM,42,3742816XXXX,wirelessgeographic,VEON Armenia (Beeline)
AM,56,3746048XXXX,VoIPtelephony,CrossNet
AM,16,37423376XXX,geographic,VEON Armenia (Beeline)
AM,50,3742872XXXX,geographic,VEON Armenia (Beeline)
AM,16,37423381XXX,geographic,GNC Alfa (Rostelelecom)
AM,33,3742614XXXX,geographic,UCOM LLC
AM,16,3742339XXXX,geographic,VEON Armenia (Beeline)
AM,66,3746087XXXX,VoIPtelephony,VEON Armenia (Beeline)
AM,4,3742222XXXX,geographic,VEON Armenia (Beeline)
AM,57,3746056XXXX,VoIPtelephony,Griar Telecom
AM,38,3742666XXXX,wirelessgeographic,VEON Armenia (Beeline)
AM,57,3746057XXXX,VoIPtelephony,Griar Telecom
AM,36,3742643XXXX,geographic,VEON Armenia (Beeline)
AM,31,374255XXXXX,geographic,
AM,38,3742667XXXX,geographic,VEON Armenia (Beeline)
AM,57,3746058XXXX,VoIPtelephony,Griar Telecom
AM,36,3742644XXXX,geographic,VEON Armenia (Beeline)
AM,10,3742249XXXX,geographic,VEON Armenia (Beeline)
AM,19,37423486XXX,geographic,VEON Armenia (Beeline)
AM,57,3746059XXXX,VoIPtelephony,Griar Telecom
AM,31,3742552XXXX,geographic,VEON Armenia (Beeline)
AM,38,37426681XXX,geographic,GNC Alfa (Rostelelecom)
AM,63,374608078XX,VoIPtelephony,MTS Armenia
AM,38,3742669XXXX,geographic,VEON Armenia (Beeline)
AM,29,37425291XXX,geographic,VEON Armenia (Beeline)
AM,18,37423470XXX,geographic,UCOM LLC
AM,37,3742656XXXX,wirelessgeographic,VEON Armenia (Beeline)
AM,36,3742645XXXX,geographic,UCOM LLC
AM,5,37422291XXX,geographic,VEON Armenia (Beeline)
AM,57,3746060XXXX,VoIPtelephony,Griar Telecom
AM,65,374608099XX,VoIPtelephony,MTS Armenia
AM,50,3742873XXXX,geographic,UCOM LLC
AM,16,374234XXXXX,geographic,
AM,4,3742223XXXX,geographic,VEON Armenia (Beeline)
AM,63,374608079XX,VoIPtelephony,MTS Armenia
AM,42,37428181XXX,geographic,GNC Alfa (Rostelelecom)
AM,2,37411XXXXXX,geographic,
AM,38,37426696XXX,geographic,VEON Armenia (Beeline)
AM,63,374608080XX,VoIPtelephony,MTS Armenia
AM,12,37422681XXX,geographic,GNC Alfa (Rostelelecom)
AM,33,3742616XXXX,wirelessgeographic,VEON Armenia (Beeline)
