Country,Page,Range,Type,Provider
AM,67,37488XXXXXX,mobile,MTS Armenia (Vivacell MTS)
AM,67,37491XXXXXX,mobile,VEON Armenia (Beeline)
AM,74,37493XXXXXX,mobile,MTS Armenia (Vivacell MTS)
AM,74,37494XXXXXX,mobile,MTS Armenia (Vivacell MTS)
AM,74,37495XXXXXX,mobile,UCOM LLC
AM,74,37496XXXXXX,mobile,VEON Armenia (Beeline)
AM,75,37498XXXXXX,mobile,MTS Armenia (Vivacell MTS)
AM,75,37499XXXXXX,mobile,VEON Armenia (Beeline)
AM,66,37477XXXXXX,mobile,MTS Armenia (Vivacell MTS)
AM,53,37449XXXXXX,mobile,MTS Armenia (Vivacell MTS)
AM,53,37441XXXXXX,mobile,UCOM LLC
AM,53,37443XXXXXX,mobile,VEON Armenia (Beeline)
AM,53,37444XXXXXX,mobile,UCOM LLC
AM,53,37455XXXXXX,mobile,UCOM LLC
