Country,Page,Range,Type,Provider
AR,1101,542627497XXX,geographic,Telefonica de Argentina S.A.
AR,1101,5426274997XX,geographic,Telefonica de Argentina S.A.
AR,1047,5492623XXXXXX,mobile,
AR,1101,5426274998XX,geographic,Telefonica de Argentina S.A.
AR,1101,5426274999XX,geographic,Telefonica de Argentina S.A.
AR,1056,542623459XXX,geographic,Nextel Communications Argentina S.A.
AR,1070,5492624XXXXXX,mobile,
AR,1000,54261449XXXX,geographic,Telefonica de Argentina S.A.
AR,1000,54261450XXXX,geographic,Telefonica de Argentina S.A.
AR,1005,54261482XXXX,geographic,Telefonica de Argentina S.A.
AR,1000,54261451XXXX,geographic,Telefonica de Argentina S.A.
AR,105,54114397XXXX,geographic,Telefonica de Argentina S.A.
AR,1035,542622XXXXXX,geographic,
AR,1077,542625XXXXXX,geographic,
AR,1039,542622491XXX,geographic,Telefonica de Argentina S.A.
AR,105,54114398XXXX,geographic,Telefonica de Argentina S.A.
AR,1035,542622XXXXXX,geographic,
AR,1010,542614997XXX,geographic,Telefonica de Argentina S.A.
AR,1074,5426244901XX,geographic,Telefonica de Argentina S.A.
AR,101,54114357XXXX,geographic,Telefonica de Argentina S.A.
AR,1056,54262346XXXX,geographic,Telefonica de Argentina S.A.
AR,1048,542623XXXXXX,geographic,
AR,1039,542622492XXX,geographic,Telefonica de Argentina S.A.
AR,103,54114378XXXX,geographic,Telefonica de Argentina S.A.
AR,1077,5492625XXXXXX,mobile,
AR,1089,542627XXXXXX,geographic,
AR,1100,5426274891XX,geographic,Telefonica de Argentina S.A.
AR,1014,54261528XXXX,geographic,CompaÃ±Ã­a de Telefonos del Plata S.A.
AR,1000,54261452XXXX,geographic,Telefonica de Argentina S.A.
AR,101,54114358XXXX,geographic,Telefonica de Argentina S.A.
AR,1035,5492622XXXXXX,mobile,
AR,1025,542616280XXX,geographic,Convergia Argentina S.A.
AR,1074,5426244902XX,geographic,Telefonica de Argentina S.A.
AR,1070,542624XXXXXX,geographic,
AR,103,54114379XXXX,geographic,Telefonica de Argentina S.A.
AR,1039,542622493XXX,geographic,Telefonica de Argentina S.A.
AR,104,54114387XXXX,geographic,Telefonica de Argentina S.A.
AR,1056,542623470XXX,geographic,CompaÃ±Ã­a de Telefonos del Plata S.A.
AR,1002,54261461XXXX,geographic,Impsat S.A.
AR,1014,54261529XXXX,geographic,CompaÃ±Ã­a de Telefonos del Plata S.A.
AR,1056,542623471XXX,geographic,CompaÃ±Ã­a de Telefonos del Plata S.A.
AR,1002,54261462XXXX,geographic,Impsat S.A.
AR,1087,542626488XXX,geographic,CompaÃ±Ã­a de Telefonos del Plata S.A.
AR,1014,54261530XXXX,geographic,CompaÃ±Ã­a de Telefonos del Plata S.A.
AR,1083,542625495XXX,geographic,Telefonica de Argentina S.A.
AR,1150,5426514901XX,geographic,Telefonica de Argentina S.A.
AR,1152,542652XXXXXX,geographic,
AR,1103,542627542XXX,geographic,Techtel Lmds Comunicaciones Interactivas S.A.
AR,1013,54261520XXXX,geographic,Telecom Argentina Stet France Telecom S.A.
AR,1150,5426514902XX,geographic,Telefonica de Argentina S.A.
AR,101,54114359XXXX,geographic,Telefonica de Argentina S.A.
AR,1176,542652761XXX,geographic,New Call S.A.
AR,1083,542625496XXX,geographic,CompaÃ±Ã­a de Telefonos del Plata S.A.
AR,1087,542626489XXX,geographic,CompaÃ±Ã­a de Telefonos del Plata S.A.
AR,1088,542627XXXXXX,geographic,
AR,1231,549291XXXXXXX,mobile,
AR,1017,54261562XXXX,geographic,Techtel Lmds Comunicaciones Interactivas S.A.
AR,1,549113000XXXX,mobile,Telecom Personal S.A.
AR,1,549113001XXXX,mobile,Telecom Personal S.A.
AR,1,549113002XXXX,mobile,Telecom Personal S.A.
AR,1150,5426514903XX,geographic,Telefonica de Argentina S.A.
AR,1087,542626491XXX,geographic,Telefonica de Argentina S.A.
AR,1,549113003XXXX,mobile,Telecom Personal S.A.
AR,1013,54261521XXXX,geographic,Telecom Argentina Stet France Telecom S.A.
AR,1,549113004XXXX,mobile,Telecom Personal S.A.
AR,1,549113005XXXX,mobile,Telecom Personal S.A.
AR,2,549113006XXXX,mobile,Telecom Personal S.A.
AR,2,549113007XXXX,mobile,Telecom Personal S.A.
