Country,Page,Range,Type,Provider
AS,1,1,proper,
AS,2,+1684688XXXX,geographic,American Samoa Telecommunications Authority (ASTCA)
AS,2,+1684691XXXX,geographic,American Samoa Telecommunications Authority (ASTCA)
AS,1,+1684XXXXXXX,geographic,
AS,2,+1684699XXXX,geographic,American Samoa Telecommunications Authority (ASTCA)
AS,2,+1684770XXXX,geographic,American Samoa Telecommunications Authority (ASTCA)
AS,1,+1684622XXXX,geographic,American Samoa Telecommunications Authority (ASTCA)
AS,1,+1684633XXXX,geographic,American Samoa Telecommunications Authority (ASTCA)
AS,1,+1684644XXXX,geographic,American Samoa Telecommunications Authority (ASTCA)
AS,1,+1684655XXXX,geographic,American Samoa Telecommunications Authority (ASTCA)
AS,1,+1684677XXXX,geographic,American Samoa Telecommunications Authority (ASTCA)
AS,1,+1684252XXXX,mobile,Blue Sky Communications
AS,1,+1684254XXXX,mobile,Blue Sky Communications
AS,1,+1684258XXXX,mobile,Blue Sky Communications
AS,2,+1684731XXXX,mobile,American Samoa Telecommunications Authority (ASTCA)
AS,2,+1684733XXXX,mobile,American Samoa Telecommunications Authority (ASTCA)
