Country,Page,Range,Type,Provider
AU,1152,614039XXXXX,mobile,Optus Mobile Pty Ltd
AU,1152,614035XXXXX,mobile,Optus Mobile Pty Ltd
AU,1152,614036XXXXX,mobile,Optus Mobile Pty Ltd
AU,1152,614037XXXXX,mobile,Optus Mobile Pty Ltd
AU,1152,614038XXXXX,mobile,Optus Mobile Pty Ltd
AU,1151,614031XXXXX,mobile,Optus Mobile Pty Ltd
AU,1151,614032XXXXX,mobile,Optus Mobile Pty Ltd
AU,1152,614033XXXXX,mobile,Optus Mobile Pty Ltd
AU,1152,614034XXXXX,mobile,Optus Mobile Pty Ltd
AU,1152,614050XXXXX,mobile,Vodafone Network Pty Ltd
AU,1152,614051XXXXX,mobile,Vodafone Network Pty Ltd
AU,1153,614052XXXXX,mobile,Vodafone Network Pty Ltd
AU,1153,614057XXXXX,mobile,Vodafone Network Pty Ltd
AU,1153,614058XXXXX,mobile,Vodafone Network Pty Ltd
AU,1153,614059XXXXX,mobile,Vodafone Network Pty Ltd
AU,1153,614053XXXXX,mobile,Vodafone Network Pty Ltd
AU,1153,614054XXXXX,mobile,Vodafone Network Pty Ltd
AU,1153,614055XXXXX,mobile,Vodafone Network Pty Ltd
AU,1153,614056XXXXX,mobile,Vodafone Network Pty Ltd
AU,1149,614006XXXXX,mobile,Telstra Corporation Ltd
AU,1149,614007XXXXX,mobile,Telstra Corporation Ltd
AU,1149,614008XXXXX,mobile,Telstra Corporation Ltd
AU,1149,614009XXXXX,mobile,Telstra Corporation Ltd
AU,1148,614002XXXXX,mobile,Telstra Corporation Ltd
AU,1149,614003XXXXX,mobile,Telstra Corporation Ltd
AU,1149,614004XXXXX,mobile,Telstra Corporation Ltd
AU,1149,614005XXXXX,mobile,Telstra Corporation Ltd
AU,1148,614000XXXXX,mobile,Telstra Corporation Ltd
AU,1148,614001XXXXX,mobile,Telstra Corporation Ltd
AU,1150,614017XXXXX,mobile,Optus Mobile Pty Ltd
AU,1150,614018XXXXX,mobile,Optus Mobile Pty Ltd
AU,1150,614019XXXXX,mobile,Optus Mobile Pty Ltd
AU,1150,614013XXXXX,mobile,Optus Mobile Pty Ltd
AU,1150,614014XXXXX,mobile,Optus Mobile Pty Ltd
AU,1150,614015XXXXX,mobile,Optus Mobile Pty Ltd
AU,1150,614016XXXXX,mobile,Optus Mobile Pty Ltd
AU,1149,614010XXXXX,mobile,Optus Mobile Pty Ltd
AU,1149,614011XXXXX,mobile,Optus Mobile Pty Ltd
AU,1149,614012XXXXX,mobile,Optus Mobile Pty Ltd
AU,1151,614030XXXXX,mobile,Optus Mobile Pty Ltd
AU,1151,614028XXXXX,mobile,Optus Mobile Pty Ltd
AU,1151,614029XXXXX,mobile,Optus Mobile Pty Ltd
AU,1151,614024XXXXX,mobile,Optus Mobile Pty Ltd
AU,1151,614025XXXXX,mobile,Optus Mobile Pty Ltd
AU,1151,614026XXXXX,mobile,Optus Mobile Pty Ltd
AU,1151,614027XXXXX,mobile,Optus Mobile Pty Ltd
AU,1150,614020XXXXX,mobile,Optus Mobile Pty Ltd
AU,1150,614021XXXXX,mobile,Optus Mobile Pty Ltd
AU,1150,614022XXXXX,mobile,Optus Mobile Pty Ltd
AU,1151,614023XXXXX,mobile,Optus Mobile Pty Ltd
AU,1155,614109XXXXX,mobile,Vodafone Network Pty Ltd
AU,1155,614105XXXXX,mobile,Vodafone Network Pty Ltd
AU,1155,614106XXXXX,mobile,Vodafone Network Pty Ltd
AU,1155,614107XXXXX,mobile,Vodafone Network Pty Ltd
AU,1155,614108XXXXX,mobile,Vodafone Network Pty Ltd
AU,1155,614101XXXXX,mobile,Vodafone Network Pty Ltd
AU,1155,614102XXXXX,mobile,Vodafone Network Pty Ltd
AU,1155,614103XXXXX,mobile,Vodafone Network Pty Ltd
AU,1155,614104XXXXX,mobile,Vodafone Network Pty Ltd
AU,1154,614100XXXXX,mobile,Vodafone Network Pty Ltd
AU,1158,614248XXXXX,mobile,Vodafone Network Pty Ltd
AU,1158,614249XXXXX,mobile,Vodafone Network Pty Ltd
AU,1157,614244XXXXX,mobile,Vodafone Network Pty Ltd
AU,1157,614245XXXXX,mobile,Vodafone Network Pty Ltd
AU,1157,614246XXXXX,mobile,Vodafone Network Pty Ltd
AU,1158,614247XXXXX,mobile,Vodafone Network Pty Ltd
AU,1157,614240XXXXX,mobile,Vodafone Network Pty Ltd
AU,1157,614241XXXXX,mobile,Vodafone Network Pty Ltd
AU,1157,614242XXXXX,mobile,Vodafone Network Pty Ltd
AU,1157,614243XXXXX,mobile,Vodafone Network Pty Ltd
AU,1158,614256XXXXX,mobile,Hutchison 3G Australia Pty Ltd
AU,1158,614257XXXXX,mobile,Hutchison 3G Australia Pty Ltd
AU,1158,614258XXXXX,mobile,Hutchison 3G Australia Pty Ltd
AU,1158,614251XXXXX,mobile,Hutchison 3G Australia Pty Ltd
AU,1158,614252XXXXX,mobile,Hutchison 3G Australia Pty Ltd
AU,1158,614253XXXXX,mobile,Hutchison 3G Australia Pty Ltd
AU,1162,614690XXXXX,mobile,Lycamobile Pty Ltd
AU,1162,614699XXXXX,mobile,Lycamobile Pty Ltd
AU,1162,614695XXXXX,mobile,Lycamobile Pty Ltd
AU,1162,614696XXXXX,mobile,Lycamobile Pty Ltd
AU,1162,614697XXXXX,mobile,Lycamobile Pty Ltd
AU,1162,614698XXXXX,mobile,Lycamobile Pty Ltd
AU,1162,614691XXXXX,mobile,Lycamobile Pty Ltd
AU,1162,614692XXXXX,mobile,Lycamobile Pty Ltd
AU,1162,614693XXXXX,mobile,Lycamobile Pty Ltd
AU,1162,614694XXXXX,mobile,Lycamobile Pty Ltd
AU,1163,61488XXXXXX,mobile,Telstra Corporation Ltd
AU,1163,61470XXXXXX,mobile,Lycamobile Pty Ltd
AU,1161,61466XXXXXX,mobile,Optus Mobile Pty Ltd
AU,1156,61413XXXXXX,mobile,Optus Mobile Pty Ltd
AU,1156,61414XXXXXX,mobile,Vodafone Network Pty Ltd
AU,1156,61415XXXXXX,mobile,Vodafone Network Pty Ltd
AU,1156,61416XXXXXX,mobile,Vodafone Network Pty Ltd
AU,1156,61417XXXXXX,mobile,Telstra Corporation Ltd
AU,1156,61418XXXXXX,mobile,Telstra Corporation Ltd
AU,1156,61419XXXXXX,mobile,Telstra Corporation Ltd
AU,1155,61411XXXXXX,mobile,Optus Mobile Pty Ltd
AU,1156,61412XXXXXX,mobile,Optus Mobile Pty Ltd
AU,1152,61404XXXXXX,mobile,Vodafone Network Pty Ltd
AU,1153,61406XXXXXX,mobile,Vodafone Network Pty Ltd
AU,1154,61407XXXXXX,mobile,Telstra Corporation Ltd
AU,1154,61408XXXXXX,mobile,Telstra Corporation Ltd
AU,1154,61409XXXXXX,mobile,Telstra Corporation Ltd
AU,1161,61457XXXXXX,mobile,Telstra Corporation Ltd
AU,1161,61458XXXXXX,mobile,Telstra Corporation Ltd
AU,1161,61459XXXXXX,mobile,Telstra Corporation Ltd
AU,1161,61450XXXXXX,mobile,Vodafone Network Pty Ltd
AU,1161,61447XXXXXX,mobile,Telstra Corporation Ltd
AU,1161,61448XXXXXX,mobile,Telstra Corporation Ltd
AU,1161,61449XXXXXX,mobile,Vodafone Network Pty Ltd
AU,1160,61435XXXXXX,mobile,Optus Mobile Pty Ltd
AU,1160,61437XXXXXX,mobile,Telstra Corporation Ltd (CDMA)
AU,1161,61438XXXXXX,mobile,Telstra Corporation Ltd
AU,1161,61439XXXXXX,mobile,Telstra Corporation Ltd
AU,1159,61430XXXXXX,mobile,Hutchison 3G Australia Pty Ltd
AU,1159,61431XXXXXX,mobile,Optus Mobile Pty Ltd
AU,1159,61432XXXXXX,mobile,Optus Mobile Pty Ltd
AU,1159,61433XXXXXX,mobile,Hutchison 3G Australia Pty Ltd
AU,1160,61434XXXXXX,mobile,Optus Mobile Pty Ltd
AU,1158,61427XXXXXX,mobile,Telstra Corporation Ltd (CDMA)
AU,1159,61428XXXXXX,mobile,Telstra Corporation Ltd (CDMA)
AU,1159,61429XXXXXX,mobile,Telstra Corporation Ltd (CDMA)
AU,1156,61420XXXXXX,mobile,Vodafone Network Pty Ltd
AU,1157,61421XXXXXX,mobile,Optus Mobile Pty Ltd
AU,1157,61422XXXXXX,mobile,Optus Mobile Pty Ltd
AU,1157,61423XXXXXX,mobile,Optus Mobile Pty Ltd
