Country,Page,Range,Type,Provider
AW,1,297,proper,
AW,2,+29756XXXXX,mobile,SETAR N.V.
AW,3,+297592XXXX,mobile,SETAR N.V.
AW,3,+297593XXXX,mobile,SETAR N.V.
AW,3,+297594XXXX,mobile,SETAR N.V.
AW,3,+297597XXXX,mobile,SETAR N.V.
AW,3,+297598XXXX,mobile,SETAR N.V.
AW,3,+297600XXXX,mobile,DTH Television & Telecommunications N.V. (MIO)
AW,3,+297622XXXX,mobile,DTH Television & Telecommunications N.V. (MIO)
AW,3,+297630XXXX,mobile,New Millennium Telecom Services N.V. (Digicel)
AW,3,+297640XXXX,mobile,New Millennium Telecom Services N.V. (Digicel)
AW,3,+297641XXXX,mobile,New Millennium Telecom Services N.V. (Digicel)
AW,4,+297660XXXX,mobile,SETAR N.V.
AW,4,+297661XXXX,mobile,SETAR N.V.
AW,4,+29766XXXXX,mobile,SETAR N.V.
AW,4,+297690XXXX,mobile,SETAR N.V.
AW,4,+29769XXXXX,mobile,SETAR N.V.
AW,4,+29773XXXXX,mobile,New Millennium Telecom Services N.V. (Digicel)
AW,4,+29774XXXXX,mobile,New Millennium Telecom Services N.V. (Digicel)
AW,4,+29796XXXXX,mobile,SETAR N.V. (TDMA)
AW,5,+297995XXXX,mobile,SETAR N.V.
AW,5,+297996XXXX,mobile,SETAR N.V.
AW,5,+297997XXXX,mobile,SETAR N.V.
AW,5,+297998XXXX,mobile,SETAR N.V.
AW,5,+29799XXXXX,mobile,SETAR N.V. (TDMA)
AW,4,+297800XXXX,freephone,
AW,4,+297900XXXX,premiumrate,
AW,2,+29758XXXXX,geographic,SETAR N.V.
AW,2,+297582XXXX,geographic,SETAR N.V.
AW,1,+297127XXXX,pager,SETAR N.V.
AW,1,+29728XXXXX,VoIPtelephony,SETAR N.V.
AW,1,+29750XXXXX,geographic,SETAR N.V.
AW,2,+297583XXXX,geographic,SETAR N.V.
AW,1,+297501XXXX,VoIPtelephony,SETAR N.V.
AW,1,+29752XXXXX,geographic,SETAR N.V.
AW,1,+29753XXXXX,geographic,SETAR N.V.
AW,1,+297540XXXX,geographic,SETAR N.V.
AW,2,+297584XXXX,geographic,SETAR N.V.
AW,2,+297585XXXX,geographic,SETAR N.V.
AW,1,+297541XXXX,geographic,SETAR N.V.
AW,1,+29755XXXXX,geographic,SETAR N.V.
AW,2,+297586XXXX,geographic,SETAR N.V.
AW,2,+297587XXXX,geographic,SETAR N.V.
AW,2,+2975894XXX,geographic,Coastel PBX
AW,2,+2975898XXX,geographic,Coastel PBX
