Country,Page,Range,Type,Provider
AW,3,297630XXXX,mobile,New Millennium Telecom Services N.V. (Digicel)
AW,3,297622XXXX,mobile,DTH Television & Telecommunications N.V. (MIO)
AW,3,297641XXXX,mobile,New Millennium Telecom Services N.V. (Digicel)
AW,3,297640XXXX,mobile,New Millennium Telecom Services N.V. (Digicel)
AW,3,297600XXXX,mobile,DTH Television & Telecommunications N.V. (MIO)
AW,3,297594XXXX,mobile,SETAR N.V.
AW,3,297593XXXX,mobile,SETAR N.V.
AW,3,297592XXXX,mobile,SETAR N.V.
AW,3,297598XXXX,mobile,SETAR N.V.
AW,3,297597XXXX,mobile,SETAR N.V.
AW,2,29756XXXXX,mobile,SETAR N.V.
AW,4,29774XXXXX,mobile,New Millennium Telecom Services N.V. (Digicel)
AW,4,29773XXXXX,mobile,New Millennium Telecom Services N.V. (Digicel)
AW,4,29769XXXXX,mobile,SETAR N.V.
AW,4,29766XXXXX,mobile,SETAR N.V.
AW,4,29796XXXXX,mobile,SETAR N.V. (TDMA)
AW,5,29799XXXXX,mobile,SETAR N.V. (TDMA)
