Country,Page,Range,Type,Provider
AX,43,35818731XX(XX),geographic,Ålands Telekommunikation Ab
AX,28,35818437XX(XX),geographic,Ålands Telefonandelslag
AX,18,35818314XX(XX),geographic,Ålands Telefonandelslag
AX,43,35818732XX(XX),geographic,Ålands Telekommunikation Ab
AX,31,35818480XX(XX),geographic,Ålands Telefonandelslag
AX,31,35818481XX(XX),geographic,Ålands Telefonandelslag
AX,24,35818384XX(XX),geographic,Ålands Telefonandelslag
AX,31,35818482XX(XX),geographic,Ålands Telefonandelslag
AX,38,35818561XX(XX),geographic,Telia Finland Oyj
AX,38,35818562XX(XX),geographic,Telia Finland Oyj
AX,30,35818470XX(XX),geographic,Ålands Telefonandelslag
AX,30,35818471XX(XX),geographic,Ålands Telefonandelslag
AX,30,35818472XX(XX),geographic,Ålands Telefonandelslag
AX,30,35818473XX(XX),geographic,Ålands Telefonandelslag
AX,9,35818214XX(XX),geographic,Mariehamns Telefon Ab
AX,30,35818474XX(XX),geographic,Ålands Telefonandelslag
AX,9,35818215XX(XX),geographic,Mariehamns Telefon Ab
AX,30,35818475XX(XX),geographic,Ålands Telefonandelslag
AX,11,35818234XX(XX),geographic,Mariehamns Telefon Ab
AX,9,35818216XX(XX),geographic,Mariehamns Telefon Ab
AX,32,35818492XX(XX),geographic,Ålands Telefonandelslag
AX,30,35818476XX(XX),geographic,Ålands Telefonandelslag
AX,9,35818217XX(XX),geographic,Mariehamns Telefon Ab
AX,32,35818493XX(XX),geographic,Ålands Telefonandelslag
AX,11,35818235XX(XX),geographic,Mariehamns Telefon Ab
AX,43,35818733XX(XX),geographic,Ålands Telekommunikation Ab
AX,32,35818494XX(XX),geographic,Ålands Telefonandelslag
AX,11,35818236XX(XX),geographic,Mariehamns Telefon Ab
AX,36,35818541XX(XX),geographic,Mariehamns Telefon Ab
AX,8,35818199XX(XX),geographic,Mariehamns Telefon Ab
AX,36,35818542XX(XX),geographic,Mariehamns Telefon Ab
AX,11,35818237XX(XX),geographic,Mariehamns Telefon Ab
AX,26,35818417XX(XX),geographic,Ålands Telefonandelslag
AX,26,35818418XX(XX),geographic,Ålands Telefonandelslag
AX,36,35818543XX(XX),geographic,Mariehamns Telefon Ab
AX,11,35818238XX(XX),geographic,Mariehamns Telefon Ab
AX,2,35818129XX(XX),geographic,Mariehamns Telefon Ab
AX,2,35818130XX(XX),geographic,Mariehamns Telefon Ab
AX,18,35818315XX(XX),geographic,Ålands Telefonandelslag
AX,28,35818438XX(XX),geographic,Ålands Telefonandelslag
AX,8,35818200XX(XX),geographic,Mariehamns Telefon Ab
AX,18,35818316XX(XX),geographic,Ålands Telefonandelslag
AX,8,35818201XX(XX),geographic,Mariehamns Telefon Ab
AX,28,35818439XX(XX),geographic,Ålands Telefonandelslag
AX,11,35818239XX(XX),geographic,Mariehamns Telefon Ab
AX,29,35818450XX(XX),geographic,Ålands Telefonandelslag
AX,28,35818440XX(XX),geographic,Ålands Telefonandelslag
AX,11,35818240XX(XX),geographic,Mariehamns Telefon Ab
AX,19,35818324XX(XX),geographic,Ålands Telefonandelslag
AX,36,35818544XX(XX),geographic,Mariehamns Telefon Ab
AX,8,35818202XX(XX),geographic,Mariehamns Telefon Ab
AX,19,35818325XX(XX),geographic,Ålands Telefonandelslag
AX,29,35818451XX(XX),geographic,Ålands Telefonandelslag
AX,28,35818441XX(XX),geographic,Ålands Telefonandelslag
AX,36,35818545XX(XX),geographic,Mariehamns Telefon Ab
AX,8,35818204XX(XX),geographic,Mariehamns Telefon Ab
AX,24,35818385XX(XX),geographic,Ålands Telefonandelslag
AX,7,35818179XX(XX),geographic,Mariehamns Telefon Ab
AX,31,35818483XX(XX),geographic,Ålands Telefonandelslag
AX,28,35818442XX(XX),geographic,Ålands Telefonandelslag
AX,8,35818205XX(XX),geographic,Mariehamns Telefon Ab
AX,31,35818484XX(XX),geographic,Ålands Telefonandelslag
AX,8,35818210XX(XX),geographic,Mariehamns Telefon Ab
AX,31,35818485XX(XX),geographic,Ålands Telefonandelslag
AX,27,35818427XX(XX),geographic,Ålands Telefonandelslag
AX,31,35818486XX(XX),geographic,Ålands Telefonandelslag
AX,8,35818211XX(XX),geographic,Mariehamns Telefon Ab
AX,27,35818428XX(XX),geographic,Ålands Telefonandelslag
AX,33,35818502XX(XX),geographic,Mariehamns Telefon Ab
AX,31,35818487XX(XX),geographic,Ålands Telefonandelslag
AX,30,35818477XX(XX),geographic,Ålands Telefonandelslag
AX,31,35818488XX(XX),geographic,Ålands Telefonandelslag
AX,13,35818254XX(XX),geographic,Mariehamns Telefon Ab
AX,12,35818244XX(XX),geographic,Mariehamns Telefon Ab
AX,4,35818149XX(XX),geographic,Mariehamns Telefon Ab
AX,32,35818495XX(XX),geographic,Ålands Telefonandelslag
AX,30,35818478XX(XX),geographic,Ålands Telefonandelslag
AX,8,35818212XX(XX),geographic,Mariehamns Telefon Ab
AX,4,35818150XX(XX),geographic,Mariehamns Telefon Ab
AX,4,35818151XX(XX),geographic,Mariehamns Telefon Ab
AX,30,35818479XX(XX),geographic,Ålands Telefonandelslag
AX,8,35818213XX(XX),geographic,Mariehamns Telefon Ab
AX,18,35818317XX(XX),geographic,Ålands Telefonandelslag
AX,18,35818318XX(XX),geographic,Ålands Telefonandelslag
AX,31,35818489XX(XX),geographic,Ålands Telefonandelslag
AX,18,35818319XX(XX),geographic,Ålands Telefonandelslag
AX,18,35818320XX(XX),geographic,Ålands Telefonandelslag
AX,32,35818496XX(XX),geographic,Ålands Telefonandelslag
AX,19,35818326XX(XX),geographic,Ålands Telefonandelslag
AX,29,35818452XX(XX),geographic,Ålands Telefonandelslag
AX,43,35818734XX(XX),geographic,Ålands Telekommunikation Ab
AX,18,35818321XX(XX),geographic,Ålands Telefonandelslag
AX,19,35818327XX(XX),geographic,Ålands Telefonandelslag
