Country,Page,Range,Type,Provider
BA,80,3875928XXXX,geographic,Telekom Srpske
BA,80,3875937XXXX,geographic,Telekom Srpske
BA,89,3877023XXXX,universalaccess,BH Telecom
BA,16,3873354XXXX,geographic,BH Telecom
BA,23,38735XXXXXX,geographic,
BA,57,3875230XXXX,geographic,Telekom Srpske
BA,16,3873355XXXX,geographic,BH Telecom
BA,32,3873650XXXX,geographic,BH Telecom
BA,37,3873742XXXX,geographic,BH Telecom
BA,57,3875231XXXX,geographic,Telekom Srpske
BA,32,3873651XXXX,geographic,BH Telecom
BA,37,3873747XXXX,geographic,BH Telecom
BA,16,3873356XXXX,geographic,BH Telecom
BA,74,3875727XXXX,geographic,Telekom Srpske
BA,57,3875232XXXX,geographic,Telekom Srpske
BA,32,3873655XXXX,geographic,BH Telecom
BA,74,3875731XXXX,geographic,Telekom Srpske
BA,41,38739XXXXXX,geographic,
BA,16,3873357XXXX,geographic,BH Telecom
BA,74,3875732XXXX,geographic,Telekom Srpske
BA,57,3875233XXXX,geographic,Telekom Srpske
BA,16,3873358XXXX,geographic,BH Telecom
BA,74,3875734XXXX,geographic,Telekom Srpske
BA,16,3873359XXXX,geographic,BH Telecom
BA,74,3875735XXXX,geographic,Telekom Srpske
BA,32,3873656XXXX,geographic,BH Telecom
BA,74,3875737XXXX,geographic,Telekom Srpske
BA,32,3873657XXXX,geographic,BH Telecom
BA,74,3875740XXXX,geographic,Telekom Srpske
BA,32,3873658XXXX,geographic,BH Telecom
BA,74,3875743XXXX,geographic,Telekom Srpske
BA,6,3873148XXXX,geographic,Telekom Srpske
BA,6,3873151XXXX,geographic,BH Telecom
BA,6,3873171XXXX,geographic,HT d.d. Mostar
BA,6,3873172XXXX,geographic,HT d.d. Mostar
BA,6,3873173XXXX,geographic,HT d.d. Mostar
BA,33,3873673XXXX,geographic,BH Telecom
BA,70,3875623XXXX,geographic,Telekom Srpske
BA,6,3873174XXXX,geographic,HT d.d. Mostar
BA,70,3875624XXXX,geographic,Telekom Srpske
BA,33,3873674XXXX,geographic,BH Telecom
BA,70,3875626XXXX,geographic,Telekom Srpske
BA,80,3875938XXXX,geographic,Telekom Srpske
BA,90,38781XXXXXX,localrate,
BA,44,3874932XXXX,geographic,Telekom Srpske
BA,89,3877024XXXX,universalaccess,BH Telecom
BA,70,3875627XXXX,geographic,Telekom Srpske
BA,90,38782XXXXXX,nationalrate,
BA,44,3874933XXXX,geographic,Telekom Srpske
BA,14,3873324XXXX,geographic,BH Telecom
BA,37,3873748XXXX,geographic,BH Telecom
BA,71,3875644XXXX,geographic,Telekom Srpske
BA,23,38735XXXXXX,geographic,
BA,70,3875631XXXX,geographic,Telekom Srpske
BA,41,38739XXXXXX,geographic,
BA,70,3875633XXXX,geographic,Telekom Srpske
BA,37,3873749XXXX,geographic,BH Telecom
BA,41,38739XXXXXX,geographic,
BA,72,3875677XXXX,geographic,Telekom Srpske
BA,90,38785XXXXXXX,premiumrate,
BA,80,3875947XXXX,geographic,Telekom Srpske
BA,54,3875178XXXX,geographic,Telekom Srpske
BA,70,3875637XXXX,geographic,Telekom Srpske
BA,23,38735XXXXXX,geographic,
BA,37,3873751XXXX,geographic,BH Telecom
BA,90,38788XXXXXX,freephone,
BA,44,3874934XXXX,geographic,Telekom Srpske
BA,54,3875180XXXX,geographic,Telekom Srpske
BA,32,3873664XXXX,geographic,HT d.d. Mostar
BA,3,3873033XXXX,geographic,Telemach d.o.o.
BA,72,3875691XXXX,geographic,AirAba d.d.
BA,16,3873360XXXX,geographic,BH Telecom
BA,45,3874951XXXX,geographic,BH Telecom
BA,54,3875181XXXX,geographic,Telekom Srpske
BA,71,3875646XXXX,geographic,Telekom Srpske
BA,20,3873397XXXX,geographic,M&H company d.o.o.
BA,75,3875748XXXX,geographic,Telekom Srpske
BA,30,38736XXXXXX,geographic,
BA,14,3873325XXXX,geographic,BH Telecom
BA,15,3873344XXXX,geographic,BH Telecom
BA,44,3874935XXXX,geographic,Telekom Srpske
BA,22,3873482XXXX,geographic,HT d.d. Mostar
BA,15,3873345XXXX,geographic,BH Telecom
BA,64,3875399XXXX,geographic,BH Telecom
BA,66,38755XXXXXX,geographic,
BA,37,3873752XXXX,geographic,BH Telecom
BA,26,3873554XXXX,geographic,BH Telecom
BA,24,3873520XXXX,geographic,BH Telecom
BA,52,3875145XXXX,geographic,Telekom Srpske
BA,42,3873967XXXX,geographic,HT d.d. Mostar
BA,24,3873521XXXX,geographic,BH Telecom
BA,49,38751XXXXXX,geographic,
BA,26,3873555XXXX,geographic,BH Telecom
BA,42,3873968XXXX,geographic,HT d.d. Mostar
BA,52,3875146XXXX,geographic,Telekom Srpske
BA,24,3873522XXXX,geographic,BH Telecom
BA,6,3873175XXXX,geographic,HT d.d. Mostar
BA,26,3873556XXXX,geographic,BH Telecom
BA,49,38751XXXXXX,geographic,
BA,6,3873176XXXX,geographic,HT d.d. Mostar
BA,49,38751XXXXXX,geographic,
BA,26,3873557XXXX,geographic,BH Telecom
BA,52,3875147XXXX,geographic,Telekom Srpske
BA,24,3873523XXXX,geographic,BH Telecom
BA,49,38751XXXXXX,geographic,
BA,26,3873559XXXX,geographic,BH Telecom
BA,49,38751XXXXXX,geographic,
BA,24,3873524XXXX,geographic,BH Telecom
BA,52,3875148XXXX,geographic,Telekom Srpske
BA,33,3873675XXXX,geographic,BH Telecom
BA,24,3873525XXXX,geographic,BH Telecom
BA,39,3873792XXXX,geographic,Blicnet d.o.o.
BA,24,3873526XXXX,geographic,BH Telecom
BA,29,3873590XXXX,geographic,HT d.d. Mostar
BA,24,3873527XXXX,geographic,BH Telecom
BA,29,3873591XXXX,geographic,T3 d.o.o.
BA,39,3873794XXXX,geographic,Europronet Bosnia d.o.o.
BA,89,38770300XXX,universalaccess,Europronet d.o.o.
BA,62,3875345XXXX,geographic,Telekom Srpske
BA,80,3875948XXXX,geographic,Telekom Srpske
BA,18,3873375XXXX,geographic,BH Telecom
BA,48,3875046XXXX,geographic,Telekom Srpske
BA,24,3873528XXXX,geographic,BH Telecom
BA,39,3873795XXXX,geographic,Logosoft d.o.o.
BA,29,3873592XXXX,geographic,Logosoft d.o.o.
BA,89,38770301XXX,universalaccess,M&H Company
BA,48,3875048XXXX,geographic,Telekom Srpske
BA,39,3873796XXXX,geographic,ELTA-KABEL d.o.o.
BA,18,3873376XXXX,geographic,BH Telecom
BA,17,3873364XXXX,geographic,BH Telecom
BA,7,3873191XXXX,geographic,AirAba d.d.
BA,90,38790XXXXXX,premiumrate,
BA,56,38752XXXXXX,geographic,
BA,90,38792XXXXXX,premiumrate,
BA,67,3875530XXXX,geographic,Telekom Srpske
BA,7,3873194XXXX,geographic,Europronet Bosnia d.o.o.
BA,17,3873365XXXX,geographic,BH Telecom
BA,44,3874936XXXX,geographic,Telekom Srpske
BA,18,3873377XXXX,geographic,BH Telecom
BA,17,3873366XXXX,geographic,BH Telecom
BA,18,3873378XXXX,geographic,BH Telecom
BA,22,3873485XXXX,geographic,HT d.d. Mostar
BA,44,3874938XXXX,geographic,Telekom Srpske
BA,64,38754XXXXXX,geographic,
BA,17,3873367XXXX,geographic,BH Telecom
BA,59,3875291XXXX,geographic,Blicnet d.o.o.o
BA,59,3875292XXXX,geographic,AirAba d.d.
BA,18,3873380XXXX,geographic,BH Telecom
BA,67,3875532XXXX,geographic,Telekom Srpske
BA,44,3874941XXXX,geographic,TELRAD NET d.o.o.
BA,22,3873491XXXX,geographic,AirAba d.d.
BA,64,38754XXXXXX,geographic,
BA,74,3875744XXXX,geographic,Telekom Srpske
BA,29,3873593XXXX,geographic,AirAba d.d.
BA,56,38752XXXXXX,geographic,
BA,3,3873048XXXX,geographic,Telekom Srpske
BA,44,3874948XXXX,geographic,Telekom Srpske
BA,64,38754XXXXXX,geographic,
BA,67,3875533XXXX,geographic,Telekom Srpske
BA,90,38794XXXXXX,premiumrate,
BA,29,3873595XXXX,geographic,Europronet Bosnia d.o.o.
BA,19,3873386XXXX,geographic,Telemach d.o.o.
BA,56,38752XXXXXX,geographic,
BA,67,3875535XXXX,geographic,Telekom Srpske
BA,66,38755XXXXXX,geographic,
BA,56,38752XXXXXX,geographic,
BA,74,3875747XXXX,geographic,Telekom Srpske
BA,7,38732XXXXXX,geographic,
BA,66,38755XXXXXX,geographic,
BA,41,38739XXXXXX,geographic,
BA,70,3875639XXXX,geographic,Telekom Srpske
BA,41,38739XXXXXX,geographic,
BA,56,38752XXXXXX,geographic,
BA,70,3875641XXXX,geographic,Telekom Srpske
BA,54,3875182XXXX,geographic,Telekom Srpske
BA,35,38737XXXXXX,geographic,
BA,54,3875183XXXX,geographic,Telekom Srpske
BA,35,38737XXXXXX,geographic,
BA,66,3875520XXXX,geographic,Telekom Srpske
BA,54,3875184XXXX,geographic,Telekom Srpske
BA,66,3875521XXXX,geographic,Telekom Srpske
BA,16,3873361XXXX,geographic,BH Telecom
BA,35,38737XXXXXX,geographic,
BA,2,38730XXXXXX,geographic,
BA,54,3875185XXXX,geographic,Logosoft d.o.o.
BA,20,3873398XXXX,geographic,Telekom Srpske
BA,37,3873753XXXX,geographic,BH Telecom
BA,16,3873362XXXX,geographic,BH Telecom
BA,30,38736XXXXXX,geographic,
BA,72,3875692XXXX,geographic,Blicnet d.o.o.
BA,35,38737XXXXXX,geographic,
BA,57,3875234XXXX,geographic,Telekom Srpske
BA,66,3875522XXXX,geographic,Telekom Srpske
BA,71,3875647XXXX,geographic,Telekom Srpske
BA,2,38730XXXXXX,geographic,
BA,37,3873754XXXX,geographic,BH Telecom
BA,20,38734XXXXXX,geographic,
BA,14,3873326XXXX,geographic,BH Telecom
BA,30,38736XXXXXX,geographic,
BA,54,3875186XXXX,geographic,Telekom Srpske
BA,42,3873969XXXX,geographic,HT d.d. Mostar
BA,20,38734XXXXXX,geographic,
BA,75,3875749XXXX,geographic,Telekom Srpske
BA,42,3873970XXXX,geographic,HT d.d. Mostar
BA,20,38734XXXXXX,geographic,
BA,42,3873971XXXX,geographic,HT d.d. Mostar
BA,75,3875755XXXX,geographic,Telekom Srpske
BA,66,3875523XXXX,geographic,Telekom Srpske
BA,5,3873091XXXX,geographic,AirAba d.d.
BA,32,3873665XXXX,geographic,HT d.d. Mostar
BA,34,3873686XXXX,geographic,HT d.d. Mostar
BA,26,3873561XXXX,geographic,BH Telecom
BA,5,3873092XXXX,geographic,Logosoft d.o.o.
BA,32,3873671XXXX,geographic,BH Telecom
BA,20,38734XXXXXX,geographic,
BA,49,38751XXXXXX,geographic,
BA,6,3873177XXXX,geographic,HT d.d. Mostar
BA,72,3875694XXXX,geographic,Europronet Bosnia d.o.o.
BA,33,3873677XXXX,geographic,HT d.d. Mostar
BA,42,3873983XXXX,geographic,HT d.d. Mostar
BA,52,3875149XXXX,geographic,Telekom Srpske
BA,5,3873093XXXX,geographic,Blicnet d.o.o.
BA,26,3873562XXXX,geographic,BH Telecom
BA,31,3873632XXXX,geographic,HT d.d. Mostar
BA,32,3873672XXXX,geographic,BH Telecom
BA,57,3875235XXXX,geographic,Telekom Srpske
BA,20,38734XXXXXX,geographic,
BA,35,38737XXXXXX,geographic,
BA,6,3873179XXXX,geographic,HT d.d. Mostar
BA,72,3875696XXXX,geographic,ELTA-KABEL d.o.o.
BA,42,3873984XXXX,geographic,HT d.d. Mostar
BA,31,3873633XXXX,geographic,HT d.d. Mostar
BA,73,38757XXXXXX,geographic,
BA,76,3875799XXXX,geographic,BH Telecom
BA,5,3873094XXXX,geographic,T3 d.o.o.
BA,25,3873530XXXX,geographic,BH Telecom
BA,11,3873281XXXX,geographic,SOFTNET d.o.o.
BA,52,3875150XXXX,geographic,Telekom Srpske
BA,57,3875236XXXX,geographic,Telekom Srpske
BA,24,3873529XXXX,geographic,BH Telecom
BA,42,3873985XXXX,geographic,HT d.d. Mostar
BA,34,3873687XXXX,geographic,SOFTNET d.o.o.
BA,37,3873755XXXX,geographic,BH Telecom
BA,12,3873292XXXX,geographic,Logosoft d.o.o.
BA,23,38735XXXXXX,geographic,
BA,39,3873798XXXX,geographic,Telekom Srpske
BA,26,3873563XXXX,geographic,BH Telecom
BA,11,3873282XXXX,geographic,BH Telecom
BA,89,38770310XXX,universalaccess,ELTA-KABEL d.o.o.
BA,48,3875049XXXX,geographic,Telekom Srpske
BA,1,387,proper,
BA,33,3873678XXXX,geographic,HT d.d. Mostar
BA,75,3875761XXXX,geographic,Telekom Srpske
BA,55,3875190XXXX,geographic,HT d.d. Mostar
BA,10,3873266XXXX,geographic,BH Telecom
BA,89,38770311XXX,universalaccess,ELTA-KABEL d.o.o.
BA,80,3875949XXXX,geographic,Telekom Srpske
BA,48,3875091XXXX,geographic,AirAba d.d.
BA,75,3875762XXXX,geographic,Telekom Srpske
BA,33,3873680XXXX,geographic,HT d.d. Mostar
BA,55,3875191XXXX,geographic,T3 d.o.o.
BA,66,3875524XXXX,geographic,Telekom Srpske
BA,43,3873995XXXX,geographic,Logosoft d.o.o.
BA,89,38770340XXX,universalaccess,AirAba d.d.
BA,15,3873346XXXX,geographic,BH Telecom
BA,65,3875465XXXX,geographic,Telekom Srpske
BA,40,3873823XXXX,geographic,BH Telecom
BA,80,3875960XXXX,geographic,Telekom Srpske
BA,48,3875094XXXX,geographic,Europronet Bosnia d.o.o.
BA,46,3874996XXXX,geographic,ELTA-KABEL d.o.o.
BA,10,3873267XXXX,geographic,BH Telecom
BA,75,3875792XXXX,geographic,AirAba d.d.
BA,59,3875294XXXX,geographic,Europronet Bosnia d.o.o.
BA,33,3873681XXXX,geographic,HT d.d. Mostar
BA,1,38730XXXXXX,geographic,
BA,14,3873327XXXX,geographic,BH Telecom
BA,61,3875328XXXX,geographic,Telekom Srpske
BA,76,38758XXXXXX,geographic,
BA,80,3875961XXXX,geographic,Telekom Srpske
BA,39,38738XXXXXX,geographic,
BA,46,38750XXXXXX,geographic,
BA,48,3875095XXXX,geographic,Telemach d.o.o.
BA,18,3873381XXXX,geographic,BH Telecom
BA,22,3873494XXXX,geographic,Europronet Bosnia d.o.o.
BA,44,3874949XXXX,geographic,Telekom Srpske
BA,1,38730XXXXXX,geographic,
BA,59,3875296XXXX,geographic,ELTA-KABEL d.o.o.
BA,89,38770360XXX,universalaccess,AUSTROFON d.o.o.
BA,76,38758XXXXXX,geographic,
BA,42,3873991XXXX,geographic,AirAba d.d.
