Country,Page,Range,Type,Provider
BE,142,324663XXXXX,mobile,Lycamobile Belgium
BE,142,324664XXXXX,mobile,Lycamobile Belgium
BE,142,324655XXXXX,mobile,Lycamobile Belgium
BE,142,324656XXXXX,mobile,Lycamobile Belgium
BE,142,324654XXXXX,mobile,Lycamobile Belgium
BE,142,324659XXXXX,mobile,Lycamobile Belgium
BE,142,32468XXXXXX,mobile,Telenet nv
BE,145,32495XXXXXX,mobile,Mobistar S.A.
BE,145,32496XXXXXX,mobile,Mobistar S.A.
BE,144,32493XXXXXX,mobile,Mobistar S.A.
BE,144,32494XXXXXX,mobile,Mobistar S.A.
BE,144,32492XXXXXX,mobile,Mobistar S.A.
BE,145,32499XXXXXX,mobile,Mobistar S.A.
BE,145,32497XXXXXX,mobile,Mobistar S.A.
BE,145,32498XXXXXX,mobile,Mobistar S.A.
BE,143,32473XXXXXX,mobile,Belgacom Mobile - Proximus
BE,143,32474XXXXXX,mobile,Belgacom Mobile - Proximus
BE,143,32471XXXXXX,mobile,Belgacom Mobile - Proximus
BE,143,32472XXXXXX,mobile,Belgacom Mobile - Proximus
BE,143,32479XXXXXX,mobile,Belgacom Mobile - Proximus
BE,143,32477XXXXXX,mobile,Belgacom Mobile - Proximus
BE,143,32478XXXXXX,mobile,Belgacom Mobile - Proximus
BE,143,32475XXXXXX,mobile,Belgacom Mobile - Proximus
BE,143,32476XXXXXX,mobile,Belgacom Mobile - Proximus
BE,144,32484XXXXXX,mobile,Base N.V.
BE,144,32485XXXXXX,mobile,Base N.V.
BE,144,32488XXXXXX,mobile,Base N.V.
BE,144,32486XXXXXX,mobile,Base N.V.
BE,144,32487XXXXXX,mobile,Base N.V.
