Country,Page,Range,Type,Provider
BF,6,+2262477XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,6,+2262477XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,1,226,proper,
BF,9,+2262544XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,9,+2262544XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,1,+22620XXXXXX,geographic,
BF,6,+2262477XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,1,+2262049XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,6,+2262477XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,6,+2262477XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,9,+2262544XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,2,+2262053XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,6,+2262479XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,2,+2262090XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,2,+2262090XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,7,+2262532XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,2,+2262090XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,6,+2262479XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,7,+2262533XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,9,+22654XXXXXX,mobile,Orange Burkina Faso S.A.
BF,9,+226551XXXXX,mobile,Orange Burkina Faso S.A.
BF,10,+226552XXXXX,mobile,Orange Burkina Faso S.A.
BF,10,+226553XXXXX,mobile,Orange Burkina Faso S.A.
BF,10,+226554XXXXX,mobile,Orange Burkina Faso S.A.
BF,1,+2262052XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,10,+226555XXXXX,mobile,Orange Burkina Faso S.A.
BF,7,+2262534XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,10,+226560XXXXX,mobile,Orange Burkina Faso S.A.
BF,10,+226561XXXXX,mobile,Orange Burkina Faso S.A.
BF,1,+2262052XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,10,+226562XXXXX,mobile,Orange Burkina Faso S.A.
BF,9,+2262544XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,10,+226563XXXXX,mobile,Orange Burkina Faso S.A.
BF,10,+226564XXXXX,mobile,Orange Burkina Faso S.A.
BF,9,+2262545XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,10,+226565XXXXX,mobile,Orange Burkina Faso S.A.
BF,11,+226566XXXXX,mobile,Orange Burkina Faso S.A.
BF,9,+2262546XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,1,+2262052XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,11,+226567XXXXX,mobile,Orange Burkina Faso S.A.
BF,11,+226568XXXXX,mobile,Orange Burkina Faso S.A.
BF,11,+226569XXXXX,mobile,Orange Burkina Faso S.A.
BF,9,+2262547XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,11,+22657XXXXXX,mobile,Orange Burkina Faso S.A.
BF,11,+22658XXXXXX,mobile,Telecel Faso S.A.
BF,1,+2262053XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,9,+2262549XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,11,+22660XXXXXX,mobile,Telmob S.A. (Onatel)
BF,1,+2262053XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,11,+226610XXXXX,mobile,Telmob S.A. (Onatel)
BF,11,+226611XXXXX,mobile,Telmob S.A. (Onatel)
BF,11,+226612XXXXX,mobile,Telmob S.A. (Onatel)
BF,12,+226613XXXXX,mobile,Telmob S.A. (Onatel)
BF,12,+226614XXXXX,mobile,Telmob S.A. (Onatel)
BF,12,+226615XXXXX,mobile,Telmob S.A. (Onatel)
BF,12,+226616XXXXX,mobile,Telmob S.A. (Onatel)
BF,12,+226617XXXXX,mobile,Telmob S.A. (Onatel)
BF,12,+226618XXXXX,mobile,Telmob S.A. (Onatel)
BF,12,+226619XXXXX,mobile,Telmob S.A. (Onatel)
BF,12,+226620XXXXX,mobile,Telmob S.A. (Onatel)
BF,12,+226621XXXXX,mobile,Telmob S.A. (Onatel)
BF,12,+226622XXXXX,mobile,Telmob S.A. (Onatel)
BF,13,+226623XXXXX,mobile,Telmob S.A. (Onatel)
BF,2,+2262090XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,13,+226624XXXXX,mobile,Telmob S.A. (Onatel)
BF,7,+2262535XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,13,+226625XXXXX,mobile,Telmob S.A. (Onatel)
BF,13,+226626XXXXX,mobile,Telmob S.A. (Onatel)
BF,13,+226627XXXXX,mobile,Telmob S.A. (Onatel)
BF,7,+2262536XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,13,+226628XXXXX,mobile,Telmob S.A. (Onatel)
BF,13,+226629XXXXX,mobile,Telmob S.A. (Onatel)
BF,13,+226630XXXXX,mobile,Telmob S.A. (Onatel)
BF,13,+226631XXXXX,mobile,Telmob S.A. (Onatel)
BF,13,+226632XXXXX,mobile,Telmob S.A. (Onatel)
BF,14,+226633XXXXX,mobile,Telmob S.A. (Onatel)
BF,14,+226634XXXXX,mobile,Telmob S.A. (Onatel)
BF,14,+226635XXXXX,mobile,Telmob S.A. (Onatel)
BF,14,+226636XXXXX,mobile,Telmob S.A. (Onatel)
BF,14,+226637XXXXX,mobile,Telmob S.A. (Onatel)
BF,1,+2262053XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,14,+226638XXXXX,mobile,Telmob S.A. (Onatel)
BF,2,+2262091XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,14,+226639XXXXX,mobile,Telmob S.A. (Onatel)
BF,14,+226640XXXXX,mobile,Orange Burkina Faso S.A.
BF,14,+226641XXXXX,mobile,Orange Burkina Faso S.A.
BF,14,+226642XXXXX,mobile,Orange Burkina Faso S.A.
BF,6,+22625XXXXXX,geographic,
BF,15,+226643XXXXX,mobile,Orange Burkina Faso S.A.
BF,7,+2262537XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,15,+226644XXXXX,mobile,Orange Burkina Faso S.A.
BF,15,+226645XXXXX,mobile,Orange Burkina Faso S.A.
BF,15,+226646XXXXX,mobile,Orange Burkina Faso S.A.
BF,15,+226647XXXXX,mobile,Orange Burkina Faso S.A.
BF,7,+2262538XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,15,+226648XXXXX,mobile,Orange Burkina Faso S.A.
BF,15,+226649XXXXX,mobile,Orange Burkina Faso S.A.
BF,15,+226650XXXXX,mobile,Orange Burkina Faso S.A.
BF,7,+2262539XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,15,+226651XXXXX,mobile,Orange Burkina Faso S.A.
BF,15,+226652XXXXX,mobile,Orange Burkina Faso S.A.
BF,16,+226653XXXXX,mobile,Orange Burkina Faso S.A.
BF,16,+226654XXXXX,mobile,Orange Burkina Faso S.A.
BF,16,+226655XXXXX,mobile,Orange Burkina Faso S.A.
BF,16,+226656XXXXX,mobile,Orange Burkina Faso S.A.
BF,7,+2262540XXXX,geographic,Office National des Télécommunications S.A. (Onatel)
BF,16,+226657XXXXX,mobile,Orange Burkina Faso S.A.
BF,16,+226658XXXXX,mobile,Orange Burkina Faso S.A.
BF,16,+226659XXXXX,mobile,Orange Burkina Faso S.A.
BF,16,+226660XXXXX,mobile,Orange Burkina Faso S.A.
BF,16,+226661XXXXX,mobile,Orange Burkina Faso S.A.
BF,16,+226662XXXXX,mobile,Orange Burkina Faso S.A.
BF,17,+226663XXXXX,mobile,Orange Burkina Faso S.A.
