Country,Page,Range,Type,Provider
BG,142,35941489XX(X),geographic,
BG,142,3594149XXX(X),geographic,
BG,115,3593721XXX(X),geographic,
BG,115,3593721XXX(X),geographic,
BG,142,3594149XXX(X),geographic,
BG,115,3593721XXX(X),geographic,
BG,145,3594327XXX(X),geographic,
BG,142,3594152XXX(X),geographic,
BG,115,3593722XXX(X),geographic,
BG,145,3594329XXX(X),geographic,
BG,142,3594153XXX(X),geographic,
BG,115,3593722XXX(X),geographic,
BG,142,3594154XXX(X),geographic,
BG,145,3594330XXX(X),geographic,
BG,272,3596071XXX(X),geographic,
BG,115,3593722XXX(X),geographic,
BG,145,3594330XXX(X),geographic,
BG,13,3593035XXX(X),geographic,
BG,142,3594155XXX(X),geographic,
BG,145,3594330XXX(X),geographic,
BG,145,3594331XXX(X),geographic,
BG,137,35941333XX(X),geographic,
BG,114,3593718XXX(X),geographic,
BG,115,3593724XXX(X),geographic,
BG,203,3595363XXX(X),geographic,
BG,270,3596068XXX(X),geographic,
BG,13,3593035XXX(X),geographic,
BG,203,3595363XXX(X),geographic,
BG,179,3595119XXX(X),geographic,
BG,145,3594331XXX(X),geographic,
BG,142,3594155XXX(X),geographic,
BG,284,3596151XXX(X),geographic,
BG,115,3593725XXX(X),geographic,
BG,272,3596071XXX(X),geographic,
BG,142,3594156XXX(X),geographic,
BG,263,35960388XX(X),geographic,
BG,272,3596071XXX(X),geographic,
BG,111,35937XXXXX(X),geographic,
BG,270,3596068XXX(X),geographic,
BG,142,3594157XXX(X),geographic,
BG,129,3593931XXX(X),geographic,
BG,155,3594525XXX(X),geographic,
BG,270,3596068XXX(X),geographic,
BG,279,35961304XX(X),geographic,
BG,111,3593700XXX(X),geographic,
BG,228,3595718XXX(X),geographic,
BG,115,3593726XXX(X),geographic,
BG,108,3593691XXX(X),geographic,
BG,275,35961106XX(X),geographic,
BG,111,3593700XXX(X),geographic,
BG,13,3593035XXX(X),geographic,
BG,275,35961107XX(X),geographic,
BG,111,3593701XXX(X),geographic,
BG,203,3595364XXX(X),geographic,
BG,125,3593772XXX(X),geographic,
BG,203,3595364XXX(X),geographic,
BG,114,3593719XXX(X),geographic,
BG,270,3596069XXX(X),geographic,
BG,228,3595718XXX(X),geographic,
BG,114,3593719XXX(X),geographic,
BG,16,3593039XXX(X),geographic,
BG,286,3596153XXX(X),geographic,
BG,179,3595119XXX(X),geographic,
BG,286,3596153XXX(X),geographic,
BG,145,3594331XXX(X),geographic,
BG,284,3596151XXX(X),geographic,
BG,263,35960388XX(X),geographic,
BG,163,3594715XXX(X),geographic,
BG,145,3594332XXX(X),geographic,
BG,279,35961305XX(X),geographic,
BG,286,3596154XXX(X),geographic,
BG,269,3596061XXX(X),geographic,
BG,284,3596152XXX(X),geographic,
BG,279,35961306XX(X),geographic,
BG,263,35960389XX(X),geographic,
BG,260,3596035XXX(X),geographic,
BG,247,3595912XXX(X),geographic,
BG,109,3593691XXX(X),geographic,
BG,179,3595119XXX(X),geographic,
BG,272,3596071XXX(X),geographic,
BG,182,3595133XXX(X),geographic,
BG,263,3596039XXX(X),geographic,
BG,247,3595913XXX(X),geographic,
BG,227,3595714XXX(X),geographic,
BG,284,3596152XXX(X),geographic,
BG,115,3593727XXX(X),geographic,
BG,219,3595556XXX(X),geographic,
BG,163,3594715XXX(X),geographic,
BG,109,3593691XXX(X),geographic,
BG,145,3594332XXX(X),geographic,
BG,140,3594138XXX(X),geographic,
BG,182,3595134XXX(X),geographic,
BG,269,3596062XXX(X),geographic,
BG,277,3596118XXX(X),geographic,
BG,179,3595120XXX(X),geographic,
BG,227,3595714XXX(X),geographic,
BG,113,3593709XXX(X),geographic,
BG,284,3596152XXX(X),geographic,
BG,155,3594526XXX(X),geographic,
BG,163,3594716XXX(X),geographic,
BG,193,3595315XXX(X),geographic,
BG,269,3596063XXX(X),geographic,
BG,113,3593710XXX(X),geographic,
BG,277,3596118XXX(X),geographic,
BG,283,35961503XX(X),geographic,
BG,284,3596152XXX(X),geographic,
BG,275,35961108XX(X),geographic,
BG,113,3593710XXX(X),geographic,
BG,129,3593932XXX(X),geographic,
BG,13,3593035XXX(X),geographic,
BG,269,3596063XXX(X),geographic,
BG,283,35961503XX(X),geographic,
BG,267,3596046XXX(X),geographic,
BG,278,3596125XXX(X),geographic,
BG,113,3593711XXX(X),geographic,
BG,275,35961109XX(X),geographic,
BG,129,3593933XXX(X),geographic,
BG,284,3596152XXX(X),geographic,
BG,275,35961109XX(X),geographic,
BG,101,3593672XXX(X),geographic,
BG,121,3593755XXX(X),geographic,
BG,268,3596049XXX(X),geographic,
BG,13,3593035XXX(X),geographic,
BG,203,3595365XXX(X),geographic,
BG,278,3596126XXX(X),geographic,
BG,244,3595774XXX(X),geographic,
BG,101,3593672XXX(X),geographic,
BG,283,3596151XXX(X),geographic,
BG,15,3593036XXX(X),geographic,
BG,204,3595368XXX(X),geographic,
BG,161,3594593XXX(X),geographic,
BG,121,3593756XXX(X),geographic,
BG,188,3595169XXX(X),geographic,
BG,267,3596046XXX(X),geographic,
BG,287,3596157XXX(X),geographic,
BG,108,3593691XXX(X),geographic,
BG,125,3593773XXX(X),geographic,
BG,278,3596128XXX(X),geographic,
BG,244,3595775XXX(X),geographic,
BG,270,3596071XXX(X),geographic,
BG,269,3596064XXX(X),geographic,
BG,129,3593934XXX(X),geographic,
BG,228,3595718XXX(X),geographic,
BG,278,3596129XXX(X),geographic,
BG,113,3593711XXX(X),geographic,
BG,199,3595342XXX(X),geographic,
BG,284,3596152XXX(X),geographic,
BG,278,3596129XXX(X),geographic,
BG,270,3596071XXX(X),geographic,
BG,108,3593691XXX(X),geographic,
BG,111,3593702XXX(X),geographic,
BG,114,3593719XXX(X),geographic,
BG,287,3596158XXX(X),geographic,
BG,228,3595718XXX(X),geographic,
BG,281,35961397XX(X),geographic,
BG,284,3596152XXX(X),geographic,
BG,118,35937422XX(X),geographic,
BG,136,35941279XX(X),geographic,
BG,125,3593774XXX(X),geographic,
