Country,Page,Range,Type,Provider
BH,7,+9738009XXXX,freephone,Menatelecom
BH,7,+97380100XXX,freephone,Viva
BH,1,973,proper,
BH,7,+97380408XXX,freephone,Viacloud WLL
BH,7,+9738080XXXX,freephone,Ascentech Telecom WLL
BH,2,+97331XXXXXX,mobile,Royal Court
BH,2,+9731603XXXX,geographic,Nuetel Communications S.P.C
BH,2,+973320XXXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,2,+9731606XXXX,geographic,Nuetel Communications S.P.C
BH,8,+9738778XXXX,premiumrate,2Connect WLL
BH,3,+973321XXXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,3,+973322XXXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,3,+973323XXXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,3,+973380XXXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,3,+973381XXXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,3,+973382XXXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,3,+973383XXXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,3,+973384XXXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,3,+973387XXXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,3,+973388XXXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,4,+973389XXXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,4,+97339XXXXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,7,+97380888XXX,freephone,Rapid Telecommunication WLL
BH,4,+9736670XXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,4,+9736671XXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,4,+9736672XXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,4,+9736673XXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,5,+9736674XXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,4,+9735XXXXXXX,virtualprivatenetwork,
BH,5,+9736675XXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,5,+9736676XXXX,mobile,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,4,+9736XXXXXXX,universalaccess,
BH,4,+9736111XXXX,wirelessgeographic,Bahrain Broadband Company
BH,8,+97390XXXXXX,premiumrate,
BH,4,+9736500XXXX,wirelessgeographic,Viacloud
BH,1,+9731XXXXXXX,geographic,
BH,8,+9739000XXXX,premiumrate,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,8,+97390010XXX,premiumrate,Nuetel Communications S.P.C.
BH,1,+973130XXXXX,geographic,Menatelecom
BH,8,+9739009XXXX,premiumrate,Etisalcom Bahrain Company WLL
BH,1,+9731310XXXX,geographic,VIVA Bahrain B.S.C.
BH,6,+9737111XXXX,wirelessgeographic,Bahrain Broadband Company
BH,8,+97395XXXXXX,premiumrate,
BH,1,+973133XXXXX,geographic,Etisalcom Bahrain Company
BH,7,+97384XXXXXX,sharedcost,
BH,2,+9731607XXXX,geographic,Nuetel Communications S.P.C
BH,6,+9737178XXXX,wirelessgeographic,VIVA Bahrain B.S.C.
BH,8,+9739505XXXX,premiumrate,2Connect WLL
BH,8,+9739515XXXX,premiumrate,2Connect WLL
BH,6,+97377XXXXXX,wirelessgeographic,Menatelecom
BH,6,+97380XXXXXX,freephone,
BH,7,+9738448XXXX,sharedcost,2Connect WLL
BH,1,+9731344XXXX,geographic,Rawabi Telecommunications & Software (RTS)
BH,6,+9738000XXXX,freephone,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,2,+973165XXXXX,geographic,2Connect WLL
BH,2,+973166XXXXX,geographic,Lightspeed Communications
BH,8,+97397XXXXXX,premiumrate,
BH,2,+97317XXXXXX,geographic,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,1,+973136XXXXX,geographic,Zain Bahrain B.S.C.
BH,7,+97387XXXXXX,premiumrate,
BH,2,+9733XXXXXXX,mobile,
BH,7,+97387000XXX,premiumrate,VIVA Bahrain B.S.C.
BH,6,+9738002XXXX,freephone,Nuetel Communications S.P.C
BH,1,+9731600XXXX,geographic,Nuetel Communications S.P.C
BH,6,+9738003XXXX,freephone,Etisalcom Bahrain Company
BH,7,+97387700XXX,premiumrate,VIVA Bahrain B.S.C.
BH,6,+9738004XXXX,freephone,Rawabi Telecommunications & Software (RTS)
BH,6,+9738006XXXX,freephone,Lightspeed Communications
BH,2,+97332XXXXXX,pager,
BH,1,+9731601XXXX,geographic,Nuetel Communications S.P.C
BH,6,+9738008XXXX,freephone,2Connect WLL
BH,1,+9731602XXXX,geographic,Nuetel Communications S.P.C
BH,5,+9736677XXXX,wirelessgeographic,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,5,+9736678XXXX,wirelessgeographic,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,5,+9736679XXXX,wirelessgeographic,Bahrain Telecommunications Company (BATELCO) B.S.C
BH,5,+9736966XXXX,wirelessgeographic,Rapid Telecommunications
BH,5,+9736969XXXX,wirelessgeographic,Rapid Telecommunications
BH,5,+9736996XXXX,wirelessgeographic,Rapid Telecommunications
BH,5,+9736999XXXX,wirelessgeographic,Rapid Telecommunications
