Country,Page,Range,Type,Provider
BN,7,673524XXXX,geographic,Jabatan Telekom Brunei
BN,7,673525XXXX,geographic,Jabatan Telekom Brunei
BN,6,673423XXXX,geographic,Jabatan Telekom Brunei
BN,6,673423XXXX,geographic,Jabatan Telekom Brunei
BN,6,673424XXXX,geographic,Jabatan Telekom Brunei
BN,7,673526XXXX,geographic,Jabatan Telekom Brunei
BN,7,673527XXXX,geographic,Jabatan Telekom Brunei
BN,6,673424XXXX,geographic,Jabatan Telekom Brunei
BN,6,673424XXXX,geographic,Jabatan Telekom Brunei
BN,7,6737XXXXXX,mobile,
BN,7,6738XXXXXX,mobile,
BN,1,673,proper,
BN,1,6732XXXXXX,geographic,
BN,6,673424XXXX,geographic,Jabatan Telekom Brunei
BN,3,673243XXXX,geographic,Jabatan Telekom Brunei
BN,3,673244XXXX,geographic,Jabatan Telekom Brunei
BN,2,673231XXXX,geographic,Jabatan Telekom Brunei
BN,6,673426XXXX,geographic,Jabatan Telekom Brunei
BN,4,673268XXXX,geographic,Jabatan Telekom Brunei
BN,2,673232XXXX,geographic,Jabatan Telekom Brunei
BN,6,6735XXXXXX,geographic,
BN,3,673245XXXX,geographic,Jabatan Telekom Brunei
BN,2,673233XXXX,geographic,Jabatan Telekom Brunei
BN,1,673220XXXX,geographic,Jabatan Telekom Brunei
BN,4,673268XXXX,geographic,Jabatan Telekom Brunei
BN,5,673323XXXX,geographic,Jabatan Telekom Brunei
BN,1,673221XXXX,geographic,Jabatan Telekom Brunei
BN,4,673268XXXX,geographic,Jabatan Telekom Brunei
BN,2,673234XXXX,geographic,Jabatan Telekom Brunei
BN,2,673236XXXX,geographic,IBC
BN,5,673323XXXX,geographic,Jabatan Telekom Brunei
BN,1,673222XXXX,geographic,Jabatan Telekom Brunei
BN,2,673238XXXX,geographic,Jabatan Telekom Brunei
BN,5,673324XXXX,geographic,Jabatan Telekom Brunei
BN,5,673333XXXX,geographic,Jabatan Telekom Brunei
BN,5,673334XXXX,geographic,Jabatan Telekom Brunei
BN,5,673336XXXX,geographic,Jabatan Telekom Brunei
BN,5,673337XXXX,geographic,Brunei Shell Petroleum
BN,8,67385XXXXX,pager,
BN,3,673246XXXX,geographic,Jabatan Telekom Brunei
BN,6,673522XXXX,geographic,Jabatan Telekom Brunei
BN,3,673247XXXX,geographic,Jabatan Telekom Brunei
BN,1,673228XXXX,mobile,DST Communications Sdn Bhd
BN,2,673229XXXX,mobile,DST Communications Sdn Bhd
BN,7,673810XXXX,mobile,B-Mobile Communications
BN,7,673811XXXX,mobile,B-Mobile Communications
BN,7,673812XXXX,mobile,B-Mobile Communications
BN,7,673813XXXX,mobile,B-Mobile Communications
BN,8,673814XXXX,mobile,B-Mobile Communications
BN,5,6734XXXXXX,geographic,
BN,8,673815XXXX,mobile,B-Mobile Communications
BN,8,673816XXXX,mobile,B-Mobile Communications
BN,8,673817XXXX,mobile,B-Mobile Communications
BN,8,673818XXXX,mobile,B-Mobile Communications
BN,8,673819XXXX,mobile,B-Mobile Communications
BN,8,67386XXXXX,mobile,DST Communications Sdn Bhd
BN,8,67387XXXXX,mobile,DST Communications Sdn Bhd
BN,8,67388XXXXX,mobile,DST Communications Sdn Bhd
BN,6,673523XXXX,geographic,Jabatan Telekom Brunei
BN,1,673223XXXX,geographic,Jabatan Telekom Brunei
BN,1,673224XXXX,geographic,Jabatan Telekom Brunei
BN,2,673239XXXX,geographic,Jabatan Telekom Brunei
BN,1,673225XXXX,geographic,Jabatan Telekom Brunei
BN,3,673261XXXX,geographic,Jabatan Telekom Brunei
BN,1,673226XXXX,geographic,Jabatan Telekom Brunei
BN,3,673264XXXX,geographic,Jabatan Telekom Brunei
BN,2,673241XXXX,geographic,DST Communications Sdn Bhd
BN,5,673422XXXX,geographic,Jabatan Telekom Brunei
BN,5,673423XXXX,geographic,Jabatan Telekom Brunei
BN,3,673265XXXX,geographic,Jabatan Telekom Brunei
BN,4,673269XXXX,geographic,Jabatan Telekom Brunei
BN,3,673266XXXX,geographic,Jabatan Telekom Brunei
BN,2,673242XXXX,geographic,Jabatan Telekom Brunei
BN,3,673267XXXX,geographic,Jabatan Telekom Brunei
BN,4,673277XXXX,geographic,Jabatan Telekom Brunei
BN,4,673278XXXX,geographic,Jabatan Telekom Brunei
BN,4,673279XXXX,geographic,Jabatan Telekom Brunei
BN,4,6733XXXXXX,geographic,
BN,4,673322XXXX,geographic,Jabatan Telekom Brunei
BN,4,673323XXXX,geographic,Jabatan Telekom Brunei
