Country,Page,Range,Type,Provider
BN,1,673228XXXX,mobile,DST Communications Sdn Bhd
BN,2,673229XXXX,mobile,DST Communications Sdn Bhd
BN,7,673810XXXX,mobile,B-Mobile Communications
BN,7,673811XXXX,mobile,B-Mobile Communications
BN,7,673812XXXX,mobile,B-Mobile Communications
BN,7,673813XXXX,mobile,B-Mobile Communications
BN,8,673814XXXX,mobile,B-Mobile Communications
BN,8,673815XXXX,mobile,B-Mobile Communications
BN,8,673816XXXX,mobile,B-Mobile Communications
BN,8,673817XXXX,mobile,B-Mobile Communications
BN,8,673818XXXX,mobile,B-Mobile Communications
BN,8,673819XXXX,mobile,B-Mobile Communications
BN,8,67388XXXXX,mobile,DST Communications Sdn Bhd
BN,8,67387XXXXX,mobile,DST Communications Sdn Bhd
BN,8,67386XXXXX,mobile,DST Communications Sdn Bhd
