Country,Page,Range,Type,Provider
BO,7,591391XXXXX,geographic,Entel
BO,7,591392XXXXX,geographic,Cotas
BO,9,5913942XXXX,geographic,Cotas
BO,10,5913964XXXX,geographic,Cotas
BO,4,59133XXXXXX,geographic,Cotas
BO,7,5913923XXXX,geographic,Cotas
BO,9,5913944XXXX,geographic,Cotas
BO,12,5914413XXXX,geographic,Entel
BO,12,591442XXXXX,geographic,
BO,9,5913948XXXX,geographic,Cotas
BO,13,5914691XXXX,geographic,Entel
BO,9,5913952XXXX,geographic,Cotas
BO,12,5914611XXXX,geographic,Entel
BO,13,5914691XXXX,geographic,Entel
BO,7,5913923XXXX,geographic,Cotas
BO,19,591901XXXXXX,sharedcost,
BO,3,591281XXXXX,geographic,Entel
BO,2,591255XXXXX,geographic,Entel
BO,19,591902XXXXXX,sharedcost,
BO,7,5913923XXXX,geographic,Cotas
BO,10,5913965XXXX,geographic,Cotas
BO,2,5912557XXXX,geographic,Entel
BO,19,591903XXXXXX,sharedcost,
BO,3,5912823XXXX,geographic,Cotecar
BO,19,591904XXXXXX,sharedcost,
BO,2,591258XXXXX,geographic,Entel
BO,3,5912824XXXX,geographic,Entel
BO,19,591905XXXXXX,sharedcost,
BO,4,59133XXXXXX,geographic,Cotas
BO,3,5912839XXXX,geographic,Entel
BO,19,591906XXXXXX,sharedcost,
BO,11,5913976XXXX,geographic,Cotas
BO,11,5913978XXXX,geographic,Cotas
BO,5,5913313XXXX,geographic,Entel
BO,5,5913385XXXX,geographic,Cotas
BO,5,591346XXXXX,geographic,Coteautri
BO,6,5913852XXXX,geographic,Coteri
BO,8,5913924XXXX,geographic,Cotas
BO,12,591462XXXXX,geographic,Entel
BO,5,5913465XXXX,geographic,
BO,9,5913954XXXX,geographic,Cotas
BO,2,5912596XXXX,geographic,Cotevi
BO,6,5913855XXXX,geographic,
BO,10,5913965XXXX,geographic,Cotas
BO,4,59133XXXXXX,geographic,Cotas
BO,1,591,proper,
BO,2,5912597XXXX,geographic,Entel
BO,12,591464XXXXX,geographic,Cotes
BO,8,5913924XXXX,geographic,Cotas
BO,5,5913482XXXX,geographic,Entel
BO,5,5913484XXXX,geographic,Cotemo
BO,8,5913924XXXX,geographic,Cotas
BO,11,5913979XXXX,geographic,Cotas
BO,5,5913488XXXX,geographic,
BO,6,5913855XXXX,geographic,Cotegua
BO,9,5913954XXXX,geographic,Cotas
BO,6,5913857XXXX,geographic,Entel
BO,5,5913825XXXX,geographic,Entel
BO,19,591907XXXXXX,sharedcost,
BO,8,5913924XXXX,geographic,Cotas
BO,19,591908XXXXXX,sharedcost,
BO,1,5912XXXXXXX,geographic,
BO,10,5913965XXXX,geographic,Cotas
BO,2,5912612XXXX,geographic,Entel
BO,4,59133XXXXXX,geographic,Cotas
BO,2,591262XXXXX,geographic,Cotap
BO,10,5913966XXXX,geographic,Cotas
BO,3,5912862XXXX,geographic,Entel
BO,10,5913966XXXX,geographic,Cotas
BO,3,5913XXXXXXX,geographic,
BO,11,5914XXXXXXX,geographic,
BO,2,5912629XXXX,geographic,Cotap
BO,7,5913923XXXX,geographic,Cotas
BO,10,591397XXXXX,geographic,Cotas
BO,7,5913924XXXX,geographic,Cotas
BO,2,5912693XXXX,geographic,Entel
BO,12,5914647XXXX,geographic,Entel
BO,10,591397XXXXX,geographic,Cotas
BO,9,5913962XXXX,geographic,Cotas
BO,6,5913886XXXX,geographic,Entel
BO,2,5912694XXXX,geographic,Entel
BO,19,591909XXXXXX,sharedcost,
BO,8,5913924XXXX,geographic,Cotas
BO,9,5913962XXXX,geographic,Cotas
BO,4,59133XXXXXX,geographic,Cotas
BO,13,591706XXXXX,mobile,Viva Gsm
BO,13,591707XXXXX,mobile,Viva Gsm
BO,13,591708XXXXX,mobile,Viva Gsm
BO,13,59170XXXXXX,mobile,Viva
BO,13,5917106XXXX,mobile,Entel (TDMA)
BO,13,5917107XXXX,mobile,Entel (TDMA)
BO,3,5913XXXXXXX,geographic,
BO,6,5913892XXXX,geographic,Entel
BO,13,591710XXXXX,mobile,Entel (TDMA)
BO,13,59171XXXXXX,mobile,Entel (TDMA)
BO,14,5917111XXXX,mobile,Entel (TDMA)
BO,14,5917111XXXX,mobile,Entel (TDMA)
BO,14,5917112XXXX,mobile,Entel (TDMA)
BO,14,5917113XXXX,mobile,Entel (TDMA)
BO,14,5917114XXXX,mobile,Entel (TDMA)
BO,7,5913924XXXX,geographic,Cotas
BO,14,591711XXXXX,mobile,Entel (TDMA)
BO,14,591711XXXXX,mobile,Entel (TDMA)
BO,3,5913XXXXXXX,geographic,
BO,14,591714XXXXX,mobile,Entel (TDMA)
BO,14,591715XXXXX,mobile,Entel (TDMA)
BO,14,591716XXXXX,mobile,Entel (TDMA)
BO,15,5917168XXXX,mobile,Entel (TDMA)
BO,15,591717XXXXX,mobile,Entel (TDMA)
BO,7,5913924XXXX,geographic,Cotas
BO,15,591717XXXXX,mobile,Entel (TDMA)
BO,15,5917181XXXX,mobile,Entel (TDMA)
BO,15,5917188XXXX,mobile,Entel (TDMA)
BO,15,5917189XXXX,mobile,Entel (TDMA)
BO,7,5913924XXXX,geographic,Cotas
BO,4,59133XXXXXX,geographic,Cotas
BO,15,591718XXXXX,mobile,Entel (TDMA)
BO,15,591718XXXXX,mobile,Entel (TDMA)
BO,15,591718XXXXX,mobile,Entel (TDMA)
BO,15,591719XXXXX,mobile,Entel (TDMA)
BO,16,5917194XXXX,mobile,Entel (TDMA)
BO,16,5917195XXXX,mobile,Entel (TDMA)
BO,6,5913892XXXX,geographic,
BO,16,5917196XXXX,mobile,Entel (TDMA)
BO,16,5917197XXXX,mobile,Entel (TDMA)
BO,16,591720XXXXX,mobile,Entel (GSM)
BO,6,5913892XXXX,geographic,Entel
BO,16,591721XXXXX,mobile,Entel (GSM)
BO,10,5913972XXXX,geographic,Cotas
BO,16,591722XXXXX,mobile,Entel (GSM)
