Country,Page,Range,Type,Provider
BQ,4,599701XXXX,geographic,Antillano Por NV
BQ,4,599715XXXX,geographic,Telbo NV
BQ,4,599717XXXX,geographic,Telbo NV
BQ,4,599718XXXX,geographic,Telbo NV
BQ,1,599,proper,
BQ,1,5993XXXXXX,geographic,
BQ,4,599720XXXX,geographic,Flamingo TV Bonaire BV
BQ,1,5993180XXX,geographic,Eutel NV
BQ,4,599725XXXX,geographic,Antillano Por NV
BQ,3,5994163XXX,geographic,Satel NV
BQ,1,5993182XXX,geographic,Eutel NV
BQ,4,599750XXXX,geographic,Flamingo TV Bonaire BV
BQ,1,5993183XXX,geographic,Eutel NV
BQ,1,5993181XXX,mobile,Eutel NV (Radcomm)
BQ,1,5993184XXX,mobile,Eutel NV (Radcomm)
BQ,1,5993185XXX,mobile,Eutel NV (Radcomm)
BQ,1,5993186XXX,mobile,Eutel NV (formerly Telcell)
BQ,1,5993187XXX,mobile,Eutel NV
BQ,2,5993188XXX,mobile,Eutel NV
BQ,2,5993191XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,2,5993194XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,2,5993195XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,2,5993197XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,2,5993198XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,2,5994161XXX,mobile,Satel NV
BQ,3,5994164XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,3,5994165XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,3,5994166XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,3,5994167XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,3,5994168XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,4,599770XXXX,mobile,Telbo NV
BQ,4,599771XXXX,mobile,Telbo NV
BQ,4,599772XXXX,mobile,Telbo NV
BQ,5,599773XXXX,mobile,Telbo NV
BQ,5,599774XXXX,mobile,Telbo NV
BQ,5,599775XXXX,mobile,Telbo NV
BQ,5,599776XXXX,mobile,Telbo NV
BQ,5,599777XXXX,mobile,Telbo NV
BQ,5,59978XXXXX,mobile,Telbo NV
BQ,5,599790XXXX,mobile,Setel NV
BQ,5,599795XXXX,mobile,Setel NV
BQ,5,599796XXXX,mobile,Setel NV
BQ,3,5994169XXX,geographic,Satel NV
BQ,3,5994170XXX,geographic,Satel NV
BQ,3,5997XXXXXX,geographic,
BQ,3,599700XXXX,geographic,Antillano Por NV
BQ,2,5994XXXXXX,geographic,
BQ,2,5994160XXX,geographic,Satel NV
BQ,2,5994162XXX,geographic,Satel NV
