Country,Page,Range,Type,Provider
BQ,3,5994167XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,3,5994168XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,3,5994164XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,3,5994165XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,3,5994166XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,2,5994161XXX,mobile,Satel NV
BQ,2,5993188XXX,mobile,Eutel NV
BQ,1,5993184XXX,mobile,Eutel NV (Radcomm)
BQ,1,5993185XXX,mobile,Eutel NV (Radcomm)
BQ,1,5993186XXX,mobile,Eutel NV (formerly Telcell)
BQ,1,5993187XXX,mobile,Eutel NV
BQ,1,5993181XXX,mobile,Eutel NV (Radcomm)
BQ,2,5993195XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,2,5993197XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,2,5993198XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,2,5993191XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,2,5993194XXX,mobile,Windward Island Cellular Company NV (WICC)
BQ,5,599796XXXX,mobile,Setel NV
BQ,5,599795XXXX,mobile,Setel NV
BQ,5,599790XXXX,mobile,Setel NV
BQ,5,599777XXXX,mobile,Telbo NV
BQ,4,599770XXXX,mobile,Telbo NV
BQ,5,59978XXXXX,mobile,Telbo NV
