Country,Page,Range,Type,Provider
BS,1,1,proper,
BS,1,1242XXXXXXX,geographic,
BS,1,12422250XXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,6,12423472XXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,10,1242396XXXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,3,1242326XXXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,8,1242365XXXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,6,12423473XXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,18,1242640XXXX,geographic,JazzTel Bahamas Ltd
BS,5,1242341XXXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,4,1242335XXXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,3,1242327XXXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,19,12426991XXX,geographic,Systems Resource Group Ltd (SRG)
BS,10,1242397XXXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,5,1242342XXXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,1,12422251XXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,7,1242354XXXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,1,12422252XXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,6,12423474XXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,10,12424XXXXXX,mobile,
BS,8,1242366XXXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,19,12426992XXX,geographic,Systems Resource Group Ltd (SRG)
BS,7,1242355XXXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,5,1242344XXXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,19,12426993XXX,geographic,Systems Resource Group Ltd (SRG)
BS,5,12423441XXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,7,1242356XXXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,5,12423442XXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,19,12426994XXX,geographic,Systems Resource Group Ltd (SRG)
BS,17,12426XXXXXX,geographic,
BS,7,1242357XXXX,mobile,Bahamas Telecommunications Company Ltd (BTC)
BS,7,1242359XXXX,mobile,Bahamas Telecommunications Company Ltd (BTC)
BS,8,1242375XXXX,mobile,Bahamas Telecommunications Company Ltd (BTC)
BS,9,1242395XXXX,mobile,Bahamas Telecommunications Company Ltd (BTC)
BS,3,1242328XXXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,6,12423475XXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,10,1242421XXXX,mobile,Bahamas Telecommunications Company Ltd (BTC)
BS,10,1242422XXXX,mobile,Bahamas Telecommunications Company Ltd (BTC)
BS,10,1242423XXXX,mobile,Bahamas Telecommunications Company Ltd (BTC)
BS,10,1242424XXXX,mobile,Bahamas Telecommunications Company Ltd (BTC)
BS,10,1242425XXXX,mobile,Bahamas Telecommunications Company Ltd (BTC)
BS,19,12426995XXX,geographic,Systems Resource Group Ltd (SRG)
BS,10,1242426XXXX,mobile,Bahamas Telecommunications Company Ltd (BTC)
BS,10,1242427XXXX,mobile,Bahamas Telecommunications Company Ltd (BTC)
BS,7,1242358XXXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,11,1242428XXXX,mobile,Bahamas Telecommunications Company Ltd (BTC)
BS,5,12423443XXX,geographic,Bahamas Telecommunications Company Ltd (BTC)
BS,11,1242429XXXX,mobile,Bahamas Telecommunications Company Ltd (BTC)
