Country,Page,Range,Type,Provider
BT,16,97576713XX,geographic,Bhutan Telecom (DAMA)
BT,16,97576714XX,geographic,Bhutan Telecom (DAMA)
BT,2,9752XXXXXX,geographic,
BT,16,9758XXXXXX,geographic,
BT,11,9755250XXX,geographic,Bhutan Telecom
BT,16,975823XXXX,geographic,Bhutan Telecom
BT,10,97552400XX,wirelessgeographic,Bhutan Telecom (CorDECT)
BT,16,975824XXXX,geographic,Bhutan Telecom
BT,15,9757XXXXXX,geographic,
BT,10,97552401XX,wirelessgeographic,Bhutan Telecom (CorDECT)
BT,13,97562403XX,wirelessgeographic,Bhutan Telecom (CorDECT)
BT,16,97582400XX,wirelessgeographic,Bhutan Telecom (CorDECT)
BT,11,9755251XXX,geographic,Bhutan Telecom
BT,10,97552402XX,wirelessgeographic,Bhutan Telecom (CorDECT)
BT,12,9755380XXX,geographic,Bhutan Telecom
BT,2,975232XXXX,geographic,Bhutan Telecom
BT,13,97562404XX,wirelessgeographic,Bhutan Telecom (CorDECT)
BT,16,97582401XX,wirelessgeographic,Bhutan Telecom (CorDECT)
BT,16,97582402XX,wirelessgeographic,Bhutan Telecom (CorDECT)
BT,3,9752370XXX,geographic,Bhutan Telecom
BT,19,97584602XX,wirelessgeographic,Bhutan Telecom (CorDECT)
BT,16,97582403XX,wirelessgeographic,Bhutan Telecom (CorDECT)
BT,19,97584603XX,wirelessgeographic,Bhutan Telecom (CorDECT)
BT,12,9755381XXX,geographic,Bhutan Telecom
BT,3,9752371XXX,geographic,Bhutan Telecom
BT,16,97582404XX,wirelessgeographic,Bhutan Telecom (CorDECT)
BT,10,97552403XX,wirelessgeographic,Bhutan Telecom (CorDECT)
BT,11,9755252XXX,geographic,Bhutan Telecom
BT,12,9755382XXX,geographic,Bhutan Telecom
BT,19,97584604XX,wirelessgeographic,Bhutan Telecom (CorDECT)
BT,3,9752376XXX,geographic,Bhutan Telecom
BT,15,9757250XXX,geographic,Bhutan Telecom
BT,12,9755383XXX,geographic,Bhutan Telecom
