Country,Page,Range,Type,Provider
BW,1,267,VoIPtelephony,
BW,12,+2673XXXXXX,geographic,
BW,1,267,VoIPtelephony,
BW,11,+267297XXXX,geographic,Botswana Telecommunications Authority (BTA)
BW,12,+26730XXXXX,wirelessgeographic,
BW,33,+26765XXXXX,geographic,
BW,22,+26753XXXXX,geographic,
BW,10,+26729XXXXX,geographic,
BW,1,267,proper,
BW,21,+267490XXXX,geographic,Botswana Telecommunications Authority (BTA)
BW,13,+267313XXXX,geographic,Botswana Telecommunications Authority (BTA)
BW,11,+267298XXXX,geographic,Botswana Telecommunications Authority (BTA)
BW,33,+26765XXXXX,geographic,
BW,1,267,VoIPtelephony,
BW,12,+26731XXXXX,geographic,
BW,22,+26753XXXXX,geographic,
BW,10,+26729XXXXX,geographic,
BW,12,+26731XXXXX,geographic,
BW,21,+267491XXXX,geographic,Botswana Telecommunications Authority (BTA)
BW,10,+26729XXXXX,geographic,
BW,14,+267363XXXX,geographic,Botswana Telecommunications Authority (BTA)
BW,22,+26753XXXXX,geographic,
BW,26,+26757XXXXX,geographic,
BW,17,+26747XXXXX,geographic,
BW,13,+267315XXXX,geographic,Botswana Telecommunications Authority (BTA)
BW,21,+267492XXXX,geographic,Botswana Telecommunications Authority (BTA)
BW,33,+26765XXXXX,geographic,
BW,22,+26753XXXXX,geographic,
BW,11,+2673XXXXXX,geographic,
BW,20,+26749XXXXX,geographic,
BW,1,267,VoIPtelephony,
BW,23,+267538XXXX,geographic,Botswana Telecommunications Authority (BTA)
BW,11,+2673XXXXXX,geographic,
BW,20,+26749XXXXX,geographic,
BW,1,267,VoIPtelephony,
BW,19,+26749XXXXX,geographic,
BW,21,+267493XXXX,geographic,Botswana Telecommunications Authority (BTA)
BW,20,+26749XXXXX,geographic,
BW,11,+2673XXXXXX,geographic,
BW,26,+26757XXXXX,geographic,
BW,19,+26749XXXXX,geographic,
BW,1,267,VoIPtelephony,
BW,29,+26759XXXXX,geographic,
BW,14,+267364XXXX,geographic,Botswana Telecommunications Authority (BTA)
BW,21,+267494XXXX,geographic,Botswana Telecommunications Authority (BTA)
BW,10,+26729XXXXX,geographic,
BW,17,+26747XXXXX,geographic,
BW,23,+267539XXXX,geographic,Botswana Telecommunications Authority (BTA)
