Country,Page,Range,Type,Provider
BW,37,267713XXXXX,mobile,Mascom Wireless
BW,37,267712XXXXX,mobile,Mascom Wireless
BW,37,267715XXXXX,mobile,Mascom Wireless
BW,37,267714XXXXX,mobile,Mascom Wireless
BW,37,267717XXXXX,mobile,Mascom Wireless
BW,37,267716XXXXX,mobile,Mascom Wireless
BW,38,267719XXXXX,mobile,Mascom Wireless
BW,38,267718XXXXX,mobile,Mascom Wireless
BW,37,267711XXXXX,mobile,Mascom Wireless
BW,37,267710XXXXX,mobile,Mascom Wireless
BW,38,267724XXXXX,mobile,Orange Botswana
BW,38,267723XXXXX,mobile,Orange Botswana
BW,38,267726XXXXX,mobile,Orange Botswana
BW,38,267725XXXXX,mobile,Orange Botswana
BW,39,267728XXXXX,mobile,Orange Botswana
BW,38,267727XXXXX,mobile,Orange Botswana
BW,39,267729XXXXX,mobile,Orange Botswana
BW,38,267720XXXXX,mobile,Orange Botswana
BW,38,267722XXXXX,mobile,Orange Botswana
BW,38,267721XXXXX,mobile,Orange Botswana
BW,39,267735XXXXX,mobile,Botswana Telecommunications Corporation (BTC)
BW,39,267734XXXXX,mobile,Botswana Telecommunications Corporation (BTC)
BW,39,267737XXXXX,mobile,Botswana Telecommunications Corporation (BTC)
BW,39,267736XXXXX,mobile,Botswana Telecommunications Corporation (BTC)
BW,40,267739XXXXX,mobile,Botswana Telecommunications Corporation (BTC)
BW,40,267738XXXXX,mobile,Botswana Telecommunications Corporation (BTC)
BW,39,267731XXXXX,mobile,Botswana Telecommunications Corporation (BTC)
BW,39,267730XXXXX,mobile,Botswana Telecommunications Corporation (BTC)
BW,39,267733XXXXX,mobile,Botswana Telecommunications Corporation (BTC)
BW,39,267732XXXXX,mobile,Botswana Telecommunications Corporation (BTC)
BW,40,267746XXXXX,mobile,Mascom Wireless
BW,40,267745XXXXX,mobile,Mascom Wireless
BW,41,267748XXXXX,mobile,Orange Botswana
BW,40,267747XXXXX,mobile,Mascom Wireless
BW,41,267749XXXXX,mobile,Botswana Telecommunications Corporation (BTC)
BW,40,267740XXXXX,mobile,Mascom Wireless
BW,40,267742XXXXX,mobile,Mascom Wireless
BW,40,267741XXXXX,mobile,Mascom Wireless
BW,40,267744XXXXX,mobile,Orange Botswana
BW,40,267743XXXXX,mobile,Orange Botswana
BW,41,267757XXXXX,mobile,Orange Botswana
BW,41,267756XXXXX,mobile,Mascom Wireless
BW,42,267759XXXXX,mobile,Mascom Wireless
BW,42,267758XXXXX,mobile,Botswana Telecommunications Corporation (BTC)
BW,41,267751XXXXX,mobile,Orange Botswana
BW,41,267750XXXXX,mobile,Orange Botswana
BW,41,267753XXXXX,mobile,Orange Botswana
BW,41,267752XXXXX,mobile,Orange Botswana
BW,41,267755XXXXX,mobile,Mascom Wireless
BW,41,267754XXXXX,mobile,Mascom Wireless
BW,43,267768XXXXX,mobile,Botswana Telecommunications Corporation (BTC)
BW,42,267767XXXXX,mobile,Mascom Wireless
BW,43,267769XXXXX,mobile,Orange Botswana
BW,42,267760XXXXX,mobile,Mascom Wireless
BW,42,267762XXXXX,mobile,Mascom Wireless
BW,42,267761XXXXX,mobile,Mascom Wireless
BW,42,267764XXXXX,mobile,Orange Botswana
BW,42,267763XXXXX,mobile,Orange Botswana
BW,42,267766XXXXX,mobile,Mascom Wireless
BW,42,267765XXXXX,mobile,Orange Botswana
BW,43,267778XXXXX,mobile,Mascom Wireless
BW,43,267771XXXXX,mobile,Mascom Wireless
BW,43,267770XXXXX,mobile,Mascom Wireless
BW,43,267775XXXXX,mobile,Orange Botswana
BW,43,267774XXXXX,mobile,Orange Botswana
BW,43,267777XXXXX,mobile,Mascom Wireless
BW,43,267776XXXXX,mobile,Mascom Wireless
