Country,Page,Range,Type,Provider
BZ,1,501,proper,
BZ,1,+5012XXXXXX,geographic,
BZ,1,+50120XXXXX,geographic,Belize Telecommunication Ltd (prepaid)
BZ,6,+5015237XXX,geographic,Belize Telecommunication Ltd
BZ,4,+50142XXXXX,geographic,Belize Telecommunication Ltd
BZ,6,+5015238XXX,geographic,Belize Telecommunication Ltd
BZ,4,+5014209XXX,geographic,Belize Telecommunication Ltd
BZ,2,+501220XXXX,geographic,Belize Telecommunication Ltd
BZ,4,+501422XXXX,geographic,Belize Telecommunication Ltd
BZ,1,+50120XXXXX,geographic,Belize Telecommunication Ltd
BZ,4,+501423XXXX,geographic,Belize Telecommunication Ltd
BZ,6,+5016XXXXXX,mobile,
BZ,2,+501225XXXX,geographic,Belize Telecommunication Ltd
BZ,4,+5014234XXX,geographic,Belize Telecommunication Ltd
BZ,2,+5012259XXX,geographic,Belize Telecommunication Ltd
BZ,2,+501226XXXX,geographic,Belize Telecommunication Ltd
BZ,8,+5017XXXXXX,geographic,
BZ,2,+501226XXXX,geographic,Belize Telecommunication Ltd
BZ,1,+501205XXXX,geographic,Belize Telecommunication Ltd (prepaid)
BZ,4,+5015XXXXXX,geographic,
BZ,8,+501702XXXX,geographic,Belize Telecommunication Ltd (prepaid)
BZ,10,+501823XXXX,geographic,Belize Telecommunication Ltd
BZ,4,+50150XXXXX,geographic,Belize Telecommunication Ltd (prepaid)
BZ,1,+5012059XXX,geographic,Belize Telecommunication Ltd (prepaid)
BZ,1,+501206XXXX,geographic,Belize Telecommunication Ltd (prepaid)
BZ,10,+501824XXXX,geographic,Belize Telecommunication Ltd
BZ,2,+5013XXXXXX,geographic,
BZ,7,+501617XXXX,pager,Belize Telecommunication Ltd
BZ,8,+5017092XXX,geographic,Belize Telecommunication Ltd (prepaid)
BZ,4,+501502XXXX,geographic,Belize Telecommunication Ltd (prepaid)
BZ,1,+501206XXXX,geographic,Belize Telecommunication Ltd (prepaid)
BZ,9,+501802XXXX,geographic,Belize Telecommunication Ltd (prepaid)
BZ,1,+501209XXXX,geographic,Belize Telecommunication Ltd (prepaid)
BZ,1,+50122XXXXX,geographic,Belize Telecommunication Ltd
BZ,8,+50172XXXXX,geographic,Belize Telecommunication Ltd
BZ,9,+501803XXXX,geographic,Belize Telecommunication Ltd (prepaid)
BZ,4,+5015032XXX,geographic,Belize Telecommunication Ltd (prepaid)
BZ,2,+50130XXXXX,geographic,Belize Telecommunication Ltd
BZ,3,+50132XXXXX,geographic,Belize Telecommunication Ltd
BZ,5,+5015037XXX,geographic,Belize Telecommunication Ltd (prepaid)
