Country,Page,Range,Type,Provider
BZ,7,501620XXXX,mobile,Belize Telecommunication Ltd (prepaid)
BZ,7,501621XXXX,mobile,Belize Telecommunication Ltd (prepaid)
BZ,7,501622XXXX,mobile,SPEEDNET (prepaid)
BZ,7,501623XXXX,mobile,SPEEDNET (prepaid)
BZ,7,501624XXXX,mobile,SPEEDNET (prepaid)
BZ,7,501625XXXX,mobile,SPEEDNET (prepaid)
BZ,6,50160XXXXX,mobile,Belize Telecommunication Ltd (prepaid)
BZ,6,50161XXXXX,mobile,Belize Telecommunication Ltd
BZ,7,50166XXXXX,mobile,SPEEDNET-CDMA (prepaid)
BZ,7,50167XXXXX,mobile,SPEEDNET-CDMA
