Country,Page,Range,Type,Provider
CA,1022,1519678XXXX,geographic,Bell Canada
CA,1018,1519638XXXX,geographic,Bell Canada
CA,1022,1519679XXXX,geographic,Bell Canada
CA,1004,1519492XXXX,geographic,Rogers Communications Canada Inc. (Wireless)
CA,1018,1519639XXXX,geographic,Rogers Communications Canada Inc. (Wireless)
CA,1022,1519680XXXX,geographic,Bell Canada
CA,1001,1519461XXXX,geographic,Bell Canada
CA,1022,1519681XXXX,geographic,Bell Canada
CA,1000,1519451XXXX,geographic,Bell Canada
CA,1028,1519740XXXX,geographic,Bell Canada
CA,1006,1519513XXXX,geographic,Rogers Communications Canada Inc. (Cable)
CA,1018,1519640XXXX,geographic,Bell Canada
CA,1001,1519462XXXX,geographic,Bell Canada
CA,1022,1519682XXXX,geographic,Bell Canada
CA,1001,1519463XXXX,geographic,Bell Canada
CA,1022,1519683XXXX,geographic,Bell Canada
CA,101,1226437XXXX,geographic,Bragg Communications Inc.
CA,1001,1519464XXXX,geographic,Bell Canada
CA,1020,1519658XXXX,geographic,Bell Canada
CA,1018,1519641XXXX,geographic,Bell Canada
CA,1000,1519452XXXX,geographic,Bell Canada
CA,1030,1519760XXXX,geographic,Fido Solutions Inc.
CA,1022,1519684XXXX,geographic,Bell Canada
CA,1018,1519642XXXX,geographic,Bell Canada
CA,1028,1519741XXXX,geographic,Bell Canada
CA,1008,1519534XXXX,geographic,Bell Canada
CA,1030,1519761XXXX,geographic,Bell Canada
CA,1019,1519648XXXX,geographic,Bell Canada
CA,1002,1519471XXXX,geographic,Bell Canada
CA,1006,1519514XXXX,geographic,Rogers Communications Canada Inc. (Cable)
CA,1022,1519685XXXX,geographic,Bell Canada
CA,1001,1519466XXXX,geographic,Rogers Communications Canada Inc. (Wireless)
CA,1014,1519596XXXX,geographic,Amtelecom Limited Partnership
CA,1007,1519524XXXX,geographic,Bell Canada
CA,1028,1519742XXXX,geographic,Bell Canada
CA,1030,1519762XXXX,geographic,Bell Canada
CA,1018,1519643XXXX,geographic,Bell Canada
CA,1020,1519659XXXX,geographic,Bell Canada
CA,1008,1519535XXXX,geographic,Bell Canada
CA,1002,1519472XXXX,geographic,Bell Canada
CA,1019,1519649XXXX,geographic,Bell Canada
CA,1012,1519576XXXX,geographic,Bell Canada
CA,1000,1519453XXXX,geographic,Bell Canada
CA,1022,1519686XXXX,geographic,Bell Canada
CA,101,1226438XXXX,geographic,Bragg Communications Inc.
