Country,Page,Range,Type,Provider
CG,1,242,proper,
CG,5,24280110XXXX,freephone,Global Reach Telecom
CG,4,2422222XXXXX,geographic,Congo Telecom
CG,4,2422223XXXXX,geographic,Congo Telecom
CG,5,24280111XXXX,freephone,Global Reach Telecom
CG,5,24280112XXXX,freephone,Global Reach Telecom
CG,4,2422224XXXXX,geographic,Congo Telecom
CG,4,2422225XXXXX,geographic,Congo Telecom
CG,5,24280113XXXX,freephone,Global Reach Telecom
CG,5,24280114XXXX,freephone,Global Reach Telecom
CG,4,2422225XXXXX,geographic,Congo Telecom
CG,5,24281XXXXXXX,sharedcost,
CG,5,2428300XXXXX,internetserviceprovider,
CG,4,2422225XXXXX,geographic,Congo Telecom
CG,5,24288XXXXXXX,premiumrate,
CG,4,2422228XXXXX,geographic,Congo Telecom
CG,1,24201XXXXXXX,mobile,Equateur Telecom Congo S.A. (Azur Congo)
CG,1,2420444XXXXX,mobile,CYRUS S.A.
CG,1,242044XXXXXX,mobile,Warid Congo S.A.
CG,1,24204XXXXXXX,mobile,Warid Congo S.A.
CG,1,2420550XXXXX,mobile,Celtel Congo S.A. (Zain)
CG,4,2422229XXXXX,geographic,Congo Telecom
CG,6,242999XXXXXX,universalaccess,
CG,1,2420551XXXXX,mobile,Celtel Congo S.A. (Zain)
CG,5,2428900XXXXX,nationalgeographic,
CG,1,2420552XXXXX,mobile,Celtel Congo S.A. (Zain)
CG,1,2420553XXXXX,mobile,Celtel Congo S.A. (Zain)
CG,1,24205XXXXXXX,mobile,Celtel Congo S.A. (Zain)
CG,2,2420554XXXXX,mobile,Celtel Congo S.A. (Zain)
CG,3,24222XXXXXXX,geographic,Congo Telecom
CG,2,2420555XXXXX,mobile,Celtel Congo S.A. (Zain)
CG,2,2420556XXXXX,mobile,Celtel Congo S.A. (Zain)
CG,4,242800XXXXXX,freephone,
CG,5,242900XXXXXX,universalaccess,
CG,2,2420557XXXXX,mobile,Celtel Congo S.A. (Zain)
CG,3,2422221XXXXX,geographic,Congo Telecom
CG,2,2420558XXXXX,mobile,Celtel Congo S.A. (Zain)
CG,2,2420559XXXXX,mobile,Celtel Congo S.A. (Zain)
CG,2,2420660XXXXX,mobile,MTN Congo S.A. (Libertis Telecom)
CG,4,24280020XXXX,freephone,Global Reach Telecom
CG,2,2420661XXXXX,mobile,MTN Congo S.A. (Libertis Telecom)
CG,3,2422222XXXXX,geographic,Congo Telecom
CG,2,2420662XXXXX,mobile,MTN Congo S.A. (Libertis Telecom)
CG,2,24206XXXXXXX,mobile,MTN Congo S.A. (Libertis Telecom)
CG,3,2420663XXXXX,mobile,MTN Congo S.A. (Libertis Telecom)
CG,3,2420664XXXXX,mobile,MTN Congo S.A. (Libertis Telecom)
CG,3,2420665XXXXX,mobile,MTN Congo S.A. (Libertis Telecom)
CG,3,2420666XXXXX,mobile,MTN Congo S.A. (Libertis Telecom)
CG,3,2420667XXXXX,mobile,MTN Congo S.A. (Libertis Telecom)
CG,3,2420668XXXXX,mobile,MTN Congo S.A. (Libertis Telecom)
CG,3,2420669XXXXX,mobile,MTN Congo S.A. (Libertis Telecom)
