Country,Page,Range,Type,Provider
CH,106,+4131765XXXX,geographic,Swisscom (Schweiz) AG
CH,10,+4121601XXXX,geographic,Swisscom (Schweiz) AG
CH,105,+4131751XXXX,geographic,Swisscom (Schweiz) AG
CH,106,+4131767XXXX,geographic,Swisscom (Schweiz) AG
CH,109,+4131849XXXX,geographic,Swisscom (Schweiz) AG
CH,107,+4131782XXXX,geographic,Swisscom (Schweiz) AG
CH,10,+4121612XXXX,geographic,Swisscom (Schweiz) AG
CH,109,+4131850XXXX,geographic,Swisscom (Schweiz) AG
CH,103,+4131711XXXX,geographic,Swisscom (Schweiz) AG
CH,107,+4131790XXXX,geographic,Swisscom (Schweiz) AG
CH,105,+4131752XXXX,geographic,Swisscom (Schweiz) AG
CH,111,+4131910XXXX,geographic,Swisscom (Schweiz) AG
CH,100,+4131566XXXX,geographic,VTX Services SA
CH,106,+4131768XXXX,geographic,Swisscom (Schweiz) AG
CH,109,+4131852XXXX,geographic,Swisscom (Schweiz) AG
CH,10,+4121613XXXX,geographic,Swisscom (Schweiz) AG
CH,103,+4131712XXXX,geographic,Swisscom (Schweiz) AG
CH,111,+4131911XXXX,geographic,Swisscom (Schweiz) AG
CH,100,+4131567XXXX,geographic,Dialoga Servicios Interactivos S.A.
CH,109,+4131853XXXX,geographic,Swisscom (Schweiz) AG
CH,106,+4131769XXXX,geographic,Swisscom (Schweiz) AG
CH,107,+4131791XXXX,geographic,Swisscom (Schweiz) AG
CH,110,+4131872XXXX,geographic,Swisscom (Schweiz) AG
CH,108,+4131819XXXX,geographic,Swisscom (Schweiz) AG
CH,105,+4131754XXXX,geographic,Swisscom (Schweiz) AG
CH,10,+4121614XXXX,geographic,Swisscom (Schweiz) AG
CH,103,+4131720XXXX,geographic,Swisscom (Schweiz) AG
CH,111,+4131914XXXX,geographic,Swisscom (Schweiz) AG
CH,109,+4131858XXXX,geographic,Swisscom (Schweiz) AG
CH,100,+4131577XXXX,geographic,TcNet GmbH
CH,108,+4131822XXXX,geographic,Swisscom (Schweiz) AG
CH,106,+4131770XXXX,geographic,Swisscom (Schweiz) AG
CH,111,+4131915XXXX,geographic,Swisscom (Schweiz) AG
CH,117,+4132322XXXX,geographic,Swisscom (Schweiz) AG
CH,103,+4131721XXXX,geographic,Swisscom (Schweiz) AG
CH,102,+4131666XXXX,geographic,Swisscom (Schweiz) AG
CH,101,+4131630XXXX,geographic,Swisscom (Schweiz) AG
CH,107,+4131792XXXX,geographic,Swisscom (Schweiz) AG
CH,110,+4131879XXXX,geographic,Swisscom (Schweiz) AG
CH,109,+4131859XXXX,geographic,Swisscom (Schweiz) AG
CH,105,+4131755XXXX,geographic,Swisscom (Schweiz) AG
CH,102,+4131667XXXX,geographic,Swisscom (Schweiz) AG
CH,108,+4131825XXXX,geographic,Swisscom (Schweiz) AG
CH,10,+4121616XXXX,geographic,Swisscom (Schweiz) AG
CH,111,+4131917XXXX,geographic,Swisscom (Schweiz) AG
CH,103,+4131722XXXX,geographic,Swisscom (Schweiz) AG
CH,100,+4131580XXXX,geographic,Verizon Switzerland AG
CH,117,+4132323XXXX,geographic,Swisscom (Schweiz) AG
CH,123,+4132462XXXX,geographic,Swisscom (Schweiz) AG
CH,107,+4131802XXXX,geographic,Swisscom (Schweiz) AG
CH,101,+4131631XXXX,geographic,Swisscom (Schweiz) AG
CH,102,+4131668XXXX,geographic,Swisscom (Schweiz) AG
CH,109,+4131862XXXX,geographic,Swisscom (Schweiz) AG
CH,100,+4131581XXXX,geographic,Verizon Switzerland AG
CH,105,+4131756XXXX,geographic,Swisscom (Schweiz) AG
CH,110,+4131882XXXX,geographic,Swisscom (Schweiz) AG
CH,10,+4121617XXXX,geographic,Swisscom (Schweiz) AG
CH,115,+4131981XXXX,geographic,Swisscom (Schweiz) AG
CH,103,+4131724XXXX,geographic,Swisscom (Schweiz) AG
CH,117,+4132324XXXX,geographic,Swisscom (Schweiz) AG
