Country,Page,Range,Type,Provider
CI,1,225,proper,
CI,4,+225243XXXXX,geographic,Côte d’Ivoire Telecom
CI,3,+22522XXXXXX,geographic,
CI,2,+22520XXXXXX,geographic,
CI,1,+22501XXXXXX,mobile,Atlantique Cellulaire (MOOV)
CI,3,+225220XXXXX,geographic,Arobase Telecom
CI,4,+225244XXXXX,geographic,Côte d’Ivoire Telecom
CI,3,+225224XXXXX,geographic,Côte d’Ivoire Telecom
CI,6,+225350XXXXX,geographic,Arobase Telecom
CI,2,+225200XXXXX,geographic,Arobase Telecom
CI,4,+225245XXXXX,geographic,Côte d’Ivoire Telecom
CI,5,+22532XXXXXX,geographic,
CI,6,+225359XXXXX,geographic,Côte d’Ivoire Telecom
CI,3,+225225XXXXX,geographic,Côte d’Ivoire Telecom
CI,4,+22530XXXXXX,geographic,
CI,2,+225202XXXXX,geographic,Côte d’Ivoire Telecom
CI,5,+225320XXXXX,geographic,Arobase Telecom
CI,2,+225203XXXXX,geographic,Côte d’Ivoire Telecom
CI,3,+22523XXXXXX,geographic,
CI,2,+22521XXXXXX,geographic,
CI,1,+22502XXXXXX,mobile,Atlantique Cellulaire (MOOV)
CI,5,+225327XXXXX,geographic,Côte d’Ivoire Telecom
CI,6,+22536XXXXXX,geographic,
CI,4,+225300XXXXX,geographic,Arobase Telecom
CI,1,+22503XXXXXX,mobile,Atlantique Cellulaire (MOOV)
CI,6,+225360XXXXX,geographic,Arobase Telecom
CI,5,+22533XXXXXX,geographic,
CI,2,+225210XXXXX,geographic,Arobase Telecom
CI,4,+225306XXXXX,geographic,Côte d’Ivoire Telecom
CI,3,+225230XXXXX,geographic,Arobase Telecom
CI,2,+225212XXXXX,geographic,Côte d’Ivoire Telecom
CI,2,+225213XXXXX,geographic,Côte d’Ivoire Telecom
CI,1,+22504XXXXXX,mobile,MTN Côte d'Ivoire
CI,3,+225234XXXXX,geographic,Côte d’Ivoire Telecom
CI,1,+22505XXXXXX,mobile,MTN Côte d'Ivoire
CI,4,+22531XXXXXX,geographic,
CI,5,+225330XXXXX,geographic,Arobase Telecom
CI,1,+22506XXXXXX,mobile,MTN Côte d'Ivoire
CI,4,+225310XXXXX,geographic,Arobase Telecom
CI,2,+225215XXXXX,geographic,Côte d’Ivoire Telecom
CI,3,+225235XXXXX,geographic,Côte d’Ivoire Telecom
CI,5,+225337XXXXX,geographic,Côte d’Ivoire Telecom
CI,3,+22524XXXXXX,geographic,
CI,1,+22507XXXXXX,mobile,Orange Côte d'Ivoire
CI,1,+22508XXXXXX,mobile,Orange Côte d'Ivoire
CI,5,+22534XXXXXX,geographic,
CI,6,+225368XXXXX,geographic,Côte d’Ivoire Telecom
CI,4,+225316XXXXX,geographic,Côte d’Ivoire Telecom
CI,1,+22509XXXXXX,mobile,Orange Côte d'Ivoire
CI,3,+225240XXXXX,geographic,Arobase Telecom
CI,2,+225217XXXXX,geographic,Côte d’Ivoire Telecom
CI,6,+22540XXXXXX,mobile,Atlantique Cellulaire (MOOV)
CI,6,+22544XXXXXX,mobile,MTN Côte d'Ivoire
CI,6,+22545XXXXXX,mobile,MTN Côte d'Ivoire
CI,6,+22546XXXXXX,mobile,MTN Côte d'Ivoire
CI,6,+22547XXXXXX,mobile,Orange Côte d'Ivoire
CI,7,+22548XXXXXX,mobile,Orange Côte d'Ivoire
CI,7,+22549XXXXXX,mobile,Orange Côte d'Ivoire
CI,5,+225340XXXXX,geographic,Arobase Telecom
CI,7,+22550XXXXXX,mobile,Warid
CI,7,+22554XXXXXX,mobile,MTN Côte d'Ivoire
CI,7,+22557XXXXXX,mobile,Orange Côte d'Ivoire
CI,7,+22560XXXXXX,mobile,Oricel Côte d'Ivoire
CI,4,+225319XXXXX,geographic,Côte d’Ivoire Telecom
CI,7,+22566XXXXXX,mobile,Comium Ivory Coast Inc (KoZ)
CI,7,+22567XXXXXX,mobile,Comium Ivory Coast Inc (KoZ)
CI,5,+225347XXXXX,geographic,Côte d’Ivoire Telecom
CI,7,+22569XXXXXX,mobile,Aircomm
CI,7,+22577XXXXXX,mobile,Orange Côte d'Ivoire
CI,8,+22578XXXXXX,mobile,Orange Côte d'Ivoire
CI,5,+22535XXXXXX,geographic,
