Country,Page,Range,Type,Provider
CI,1,22506XXXXXX,mobile,MTN Côte d'Ivoire
CI,1,22507XXXXXX,mobile,Orange Côte d'Ivoire
CI,1,22508XXXXXX,mobile,Orange Côte d'Ivoire
CI,1,22509XXXXXX,mobile,Orange Côte d'Ivoire
CI,1,22501XXXXXX,mobile,Atlantique Cellulaire (MOOV)
CI,1,22502XXXXXX,mobile,Atlantique Cellulaire (MOOV)
CI,1,22503XXXXXX,mobile,Atlantique Cellulaire (MOOV)
CI,1,22504XXXXXX,mobile,MTN Côte d'Ivoire
CI,1,22505XXXXXX,mobile,MTN Côte d'Ivoire
CI,6,22544XXXXXX,mobile,MTN Côte d'Ivoire
CI,6,22545XXXXXX,mobile,MTN Côte d'Ivoire
CI,6,22546XXXXXX,mobile,MTN Côte d'Ivoire
CI,6,22547XXXXXX,mobile,Orange Côte d'Ivoire
CI,7,22548XXXXXX,mobile,Orange Côte d'Ivoire
CI,7,22549XXXXXX,mobile,Orange Côte d'Ivoire
CI,6,22540XXXXXX,mobile,Atlantique Cellulaire (MOOV)
CI,7,22566XXXXXX,mobile,Comium Ivory Coast Inc (KoZ)
CI,7,22567XXXXXX,mobile,Comium Ivory Coast Inc (KoZ)
CI,7,22569XXXXXX,mobile,Aircomm
CI,7,22560XXXXXX,mobile,Oricel Côte d'Ivoire
CI,7,22554XXXXXX,mobile,MTN Côte d'Ivoire
CI,7,22557XXXXXX,mobile,Orange Côte d'Ivoire
CI,7,22550XXXXXX,mobile,Warid
CI,7,22577XXXXXX,mobile,Orange Côte d'Ivoire
CI,8,22578XXXXXX,mobile,Orange Côte d'Ivoire
