Country,Page,Range,Type,Provider
CK,2,68242XXX,geographic,
CK,3,68257XXX,voicemail(geographic),
CK,2,68243XXX,geographic,
CK,1,682,proper,
CK,2,68244XXX,geographic,
CK,1,6822XXXX,geographic,
CK,2,68245XXX,geographic,
CK,3,68259XXX,voicemail(geographic),
CK,1,68231XXX,geographic,
CK,2,68250XXX,mobile,Telecom Cook Islands (prepaid)
CK,2,68251XXX,mobile,Telecom Cook Islands (prepaid)
CK,2,68252XXX,mobile,Telecom Cook Islands (prepaid)
CK,2,68253XXX,mobile,Telecom Cook Islands (prepaid)
CK,2,68254XXX,mobile,Telecom Cook Islands (postpaid)
CK,2,68255XXX,mobile,Telecom Cook Islands (postpaid)
CK,3,68256XXX,mobile,Telecom Cook Islands (prepaid)
CK,3,68258XXX,mobile,Telecom Cook Islands (prepaid)
CK,3,6827XXXX,mobile,Telecom Cook Islands (prepaid)
CK,1,68232XXX,geographic,
CK,1,68233XXX,geographic,
CK,1,68234XXX,geographic,
CK,1,68235XXX,geographic,
CK,1,68236XXX,geographic,
CK,1,68237XXX,geographic,
CK,1,68241XXX,geographic,
