Country,Page,Range,Type,Provider
CM,16,237222426XXX,geographic,Camtel
CM,11,237222284XXX,geographic,Camtel
CM,16,2372224470XX,geographic,Camtel
CM,16,2372224471XX,geographic,Camtel
CM,11,23722229XXXX,geographic,Camtel
CM,11,237222290XXX,geographic,Camtel
CM,16,2372224472XX,geographic,Camtel
CM,11,237222291XXX,geographic,Camtel
CM,17,237222462XXX,geographic,Camtel
CM,16,2372224473XX,geographic,Camtel
CM,13,2372223223XX,geographic,Camtel
CM,13,2372223224XX,geographic,Camtel
CM,17,237222463XXX,geographic,Camtel
CM,11,237222292XXX,geographic,Camtel
CM,20,2372231XXXX,geographic,Camtel
CM,16,2372224474XX,geographic,Camtel
CM,25,2372333055XX,geographic,Camtel
CM,17,237222464XXX,geographic,Camtel
CM,16,23722245XXXX,geographic,Camtel
CM,29,2372333413XX,geographic,Camtel
CM,12,23722232XXXX,geographic,Camtel
CM,14,2372223548XX,geographic,Camtel
CM,23,2372332677XX,geographic,Camtel
CM,15,2372223715XX,geographic,Camtel
CM,20,23723317XXXX,geographic,Camtel
CM,29,2372333414XX,geographic,Camtel
CM,16,237222455XXX,geographic,Camtel
CM,26,237233322XXX,geographic,Camtel
CM,25,2372333056XX,geographic,Camtel
CM,15,2372223716XX,geographic,Camtel
CM,14,2372223549XX,geographic,Camtel
CM,13,23722233XXXX,geographic,Camtel
CM,11,237222293XXX,geographic,Camtel
CM,29,23723335XXXX,geographic,Camtel
CM,20,23723318XXXX,geographic,Camtel
CM,23,2372332678XX,geographic,Camtel
CM,37,237650XXXXX,mobile,MTN
CM,26,237233323XXX,geographic,Camtel
CM,24,237233296XXX,geographic,Camtel
CM,17,2372224781XX,geographic,Camtel
CM,32,23723343XXXX,geographic,Camtel
CM,16,23722246XXXX,geographic,Camtel
CM,12,2372223210XX,geographic,Camtel
CM,25,2372333057XX,geographic,Camtel
CM,1,237,proper,
CM,31,23723337XXXX,geographic,Camtel
CM,11,23722230XXXX,geographic,Camtel
CM,10,2372222625XX,geographic,Camtel
CM,30,237233360XXX,geographic,Camtel
CM,26,237233324XXX,geographic,Camtel
CM,20,23723319XXXX,geographic,Camtel
CM,29,237233354XXX,geographic,Camtel
CM,17,2372224782XX,geographic,Camtel
CM,32,23723343XXXX,geographic,Camtel
CM,10,237222264XXX,geographic,Camtel
CM,14,237222355XXX,geographic,Camtel
CM,28,237233334XXX,geographic,Camtel
CM,2,2372221115XX,geographic,Camtel
CM,19,2372224820XX,geographic,Camtel
CM,23,2372332679XX,geographic,Camtel
CM,15,2372223717XX,geographic,Camtel
CM,25,23723331XXXX,geographic,Camtel
CM,12,2372223211XX,geographic,Camtel
CM,11,23722230XXXX,geographic,Camtel
CM,26,237233325XXX,geographic,Camtel
CM,1,2372XXXXXXX,geographic,Camtel
CM,24,237233297XXX,geographic,Camtel
CM,21,23723321XXXX,geographic,Camtel
CM,13,2372223350XX,geographic,Camtel
CM,31,23723337XXXX,geographic,Camtel
CM,33,237233451XXX,geographic,Camtel
CM,16,237222461XXX,geographic,Camtel
CM,20,23723320XXXX,geographic,Camtel
CM,10,23722227XXXX,geographic,Camtel
CM,17,2372224783XX,geographic,Camtel
CM,28,237233335XXX,geographic,Camtel
CM,25,237233313XXX,geographic,Camtel
CM,23,23723327XXXX,geographic,Camtel
CM,32,23723344XXXX,geographic,Camtel
CM,29,2372333550XX,geographic,Camtel
CM,12,2372223212XX,geographic,Camtel
CM,14,237222369XXX,geographic,Camtel
CM,2,2372221116XX,geographic,Camtel
CM,11,23722231XXXX,geographic,Camtel
CM,37,237651XXXXX,mobile,MTN
CM,19,2372224821XX,geographic,Camtel
CM,15,23722238XXXX,geographic,Camtel
CM,30,237233361XXX,geographic,Camtel
CM,1,23722XXXXXX,geographic,Camtel
CM,13,23722234XXXX,geographic,Camtel
CM,28,237233336XXX,geographic,Camtel
CM,24,2372332970XX,geographic,Camtel
CM,22,2372332215XX,geographic,Camtel
CM,27,2372333310XX,geographic,Camtel
CM,31,23723339XXXX,geographic,Camtel
CM,21,2372332157XX,geographic,Camtel
CM,26,237233326XXX,geographic,Camtel
CM,17,2372224784XX,geographic,Camtel
CM,32,237233441XXX,geographic,Camtel
CM,23,2372332770XX,geographic,Camtel
CM,33,2372334520XX,geographic,Camtel
CM,20,2372332050XX,geographic,Camtel
CM,25,23723332XXXX,geographic,Camtel
CM,29,2372333551XX,geographic,Camtel
CM,34,237233474XXX,geographic,Camtel
CM,2,2372221117XX,geographic,Camtel
CM,37,237652XXXXX,mobile,MTN
CM,15,237222395XXX,geographic,Camtel
CM,13,237222347XXX,geographic,Camtel
CM,11,23722231XXXX,geographic,Camtel
CM,14,23722237XXXX,geographic,Camtel
CM,19,2372224822XX,geographic,Camtel
CM,24,2372332971XX,geographic,Camtel
CM,27,2372333311XX,geographic,Camtel
CM,31,23723339XXXX,geographic,Camtel
CM,22,2372332216XX,geographic,Camtel
CM,12,2372223213XX,geographic,Camtel
CM,30,237233362XXX,geographic,Camtel
CM,23,2372332771XX,geographic,Camtel
CM,35,237233495XXX,geographic,Camtel
CM,10,237222271XXX,geographic,Camtel
CM,26,237233326XXX,geographic,Camtel
CM,21,2372332158XX,geographic,Camtel
CM,29,2372333552XX,geographic,Camtel
CM,20,2372332051XX,geographic,Camtel
CM,28,237233337XXX,geographic,Camtel
CM,34,23723348XXXX,geographic,Camtel
CM,35,237233496XXX,geographic,Camtel
CM,38,237653XXXXX,mobile,MTN
CM,32,237233442XXX,geographic,Camtel
CM,29,2372333553XX,geographic,Camtel
CM,18,2372224788XX,geographic,Camtel
CM,33,2372334521XX,geographic,Camtel
CM,25,2372333210XX,geographic,Camtel
CM,2,23722212XXXX,geographic,Camtel
CM,28,237233338XXX,geographic,Camtel
CM,35,2372334970XX,geographic,Camtel
CM,22,2372332217XX,geographic,Camtel
CM,19,2372224823XX,geographic,Camtel
CM,30,237233363XXX,geographic,Camtel
CM,15,2372223970XX,geographic,Camtel
CM,14,2372223710XX,geographic,Camtel
CM,38,237654XXXXX,mobile,MTN
CM,26,237233327XXX,geographic,Camtel
CM,28,237233339XXX,geographic,Camtel
CM,33,23723346XXXX,geographic,Camtel
CM,1,237222XXXXX,geographic,Camtel
CM,10,237222272XXX,geographic,Camtel
CM,2,2372221205XX,geographic,Camtel
CM,34,237233484XXX,geographic,Camtel
CM,19,2372224824XX,geographic,Camtel
CM,20,2372332052XX,geographic,Camtel
CM,13,237222348XXX,geographic,Camtel
CM,18,2372224789XX,geographic,Camtel
CM,32,237233443XXX,geographic,Camtel
CM,17,2372224785XX,geographic,Camtel
CM,23,2372332772XX,geographic,Camtel
CM,35,2372334971XX,geographic,Camtel
CM,30,237233364XXX,geographic,Camtel
CM,27,2372333312XX,geographic,Camtel
CM,15,2372223971XX,geographic,Camtel
CM,38,237655XXXXX,mobile,Orange
CM,22,23723326XXXX,geographic,Camtel
CM,30,237233366XXX,geographic,Camtel
CM,25,2372333211XX,geographic,Camtel
CM,36,237233504XXX,geographic,Camtel
CM,37,2373334XXXX,geographic,Camtel
CM,24,23723330XXXX,geographic,Camtel
CM,35,2372334972XX,geographic,Camtel
CM,1,23722211XXXX,geographic,Camtel
CM,12,2372223214XX,geographic,Camtel
CM,2,2372221206XX,geographic,Camtel
CM,32,237233444XXX,geographic,Camtel
CM,14,2372223711XX,geographic,Camtel
CM,15,23722240XXXX,geographic,Camtel
CM,24,2372333050XX,geographic,Camtel
CM,28,23723334XXXX,geographic,Camtel
CM,34,237233489XXX,geographic,Camtel
CM,20,2372332053XX,geographic,Camtel
CM,26,237233328XXX,geographic,Camtel
CM,27,2372333313XX,geographic,Camtel
CM,13,2372223545XX,geographic,Camtel
CM,10,237222273XXX,geographic,Camtel
CM,37,2373335XXXX,geographic,Camtel
CM,29,2372333554XX,geographic,Camtel
CM,33,237233464XXX,geographic,Camtel
CM,31,23723340XXXX,geographic,Camtel
CM,35,2372334973XX,geographic,Camtel
CM,30,2372333663XX,geographic,Camtel
CM,25,2372333212XX,geographic,Camtel
CM,18,2372224790XX,geographic,Camtel
CM,36,23723351XXXX,geographic,Camtel
CM,27,2372333314XX,geographic,Camtel
CM,15,23722241XXXX,geographic,Camtel
CM,38,237656XXXXX,mobile,Orange
CM,21,2372332159XX,geographic,Camtel
CM,31,23723340XXXX,geographic,Camtel
CM,32,237233445XXX,geographic,Camtel
CM,24,2372333051XX,geographic,Camtel
CM,1,2372221110XX,geographic,Camtel
CM,13,2372223546XX,geographic,Camtel
CM,20,2372332054XX,geographic,Camtel
CM,14,2372223712XX,geographic,Camtel
CM,26,237233329XXX,geographic,Camtel
CM,28,2372333410XX,geographic,Camtel
CM,30,2372333664XX,geographic,Camtel
CM,6,23722219XXXX,geographic,Camtel
CM,2,2372221207XX,geographic,Camtel
CM,35,237233500XXX,geographic,Camtel
CM,10,237222274XXX,geographic,Camtel
CM,17,2372224786XX,geographic,Camtel
CM,5,2372221802XX,geographic,Camtel
CM,34,23723349XXXX,geographic,Camtel
CM,33,23723347XXXX,geographic,Camtel
CM,23,2372332773XX,geographic,Camtel
CM,31,23723341XXXX,geographic,Camtel
CM,19,23722250XXXX,geographic,Camtel
CM,37,2373336XXXX,geographic,Camtel
CM,32,237233446XXX,geographic,Camtel
CM,1,2372221111XX,geographic,Camtel
CM,22,237233262XXX,geographic,Camtel
CM,18,2372224791XX,geographic,Camtel
CM,29,23723336XXXX,geographic,Camtel
CM,15,237222414XXX,geographic,Camtel
CM,21,23723322XXXX,geographic,Camtel
CM,14,2372223713XX,geographic,Camtel
CM,27,2372333315XX,geographic,Camtel
CM,5,2372221803XX,geographic,Camtel
CM,38,237657XXXXX,mobile,Orange
CM,6,2372221950XX,geographic,Camtel
CM,30,237233367XXX,geographic,Camtel
CM,24,2372333052XX,geographic,Camtel
CM,19,23722251XXXX,geographic,Camtel
CM,10,23722228XXXX,geographic,Camtel
CM,38,237658XXXXX,mobile,Orange
CM,23,23723328XXXX,geographic,Camtel
CM,17,2372224787XX,geographic,Camtel
CM,13,2372223547XX,geographic,Camtel
CM,3,2372221217XX,geographic,Camtel
CM,2,2372221208XX,geographic,Camtel
CM,35,237233501XXX,geographic,Camtel
CM,33,237233470XXX,geographic,Camtel
CM,25,2372333213XX,geographic,Camtel
CM,38,237659XXXXX,mobile,Orange
CM,1,2372221112XX,geographic,Camtel
CM,2,2372221209XX,geographic,Camtel
CM,34,237233490XXX,geographic,Camtel
CM,32,23723345XXXX,geographic,Camtel
CM,24,2372333053XX,geographic,Camtel
CM,26,23723333XXXX,geographic,Camtel
CM,10,2372222826XX,geographic,Camtel
CM,12,2372223215XX,geographic,Camtel
CM,36,23723398XXXX,geographic,RASCOM
CM,7,23722223XXXX,geographic,Camtel
CM,22,2372332630XX,geographic,Camtel
CM,3,2372221218XX,geographic,Camtel
CM,19,23722298XXXX,geographic,RASCOM
CM,38,23766XXXXXX,mobile,Nexttel
CM,33,237233471XXX,geographic,Camtel
CM,37,2373337XXXX,geographic,Camtel
CM,27,2372333316XX,geographic,Camtel
CM,30,237233368XXX,geographic,Camtel
CM,24,2372333054XX,geographic,Camtel
CM,28,2372333411XX,geographic,Camtel
CM,35,237233502XXX,geographic,Camtel
CM,23,23723329XXXX,geographic,Camtel
CM,38,2376745XXXX,mobile,MTN
CM,18,2372224792XX,geographic,Camtel
CM,7,23722223XXXX,geographic,Camtel
CM,31,23723341XXXX,geographic,Camtel
CM,8,2372222540XX,geographic,Camtel
CM,3,2372221219XX,geographic,Camtel
CM,1,2372221113XX,geographic,Camtel
CM,12,2372223220XX,geographic,Camtel
CM,22,2372332631XX,geographic,Camtel
CM,21,2372332210XX,geographic,Camtel
CM,36,23723399XXXX,geographic,GILAT
CM,19,23722299XXXX,geographic,GILAT
CM,33,237233472XXX,geographic,Camtel
CM,38,23767XXXXXX,mobile,MTN
CM,2,2372221216XX,geographic,Camtel
CM,34,237233491XXX,geographic,Camtel
CM,7,23722224XXXX,geographic,Camtel
CM,5,2372221804XX,geographic,Camtel
CM,35,237233503XXX,geographic,Camtel
CM,27,2372333317XX,geographic,Camtel
CM,10,237222283XXX,geographic,Camtel
CM,6,2372221951XX,geographic,Camtel
CM,22,2372332674XX,geographic,Camtel
CM,4,2372221441XX,geographic,Camtel
CM,12,2372223221XX,geographic,Camtel
CM,28,2372333412XX,geographic,Camtel
CM,8,2372222541XX,geographic,Camtel
CM,5,2372221825XX,geographic,Camtel
CM,36,237242XXXXXX,wirelessgeographic,Camtel
CM,39,2376746XXXX,mobile,MTN
