Country,Page,Range,Type,Provider
CM,37,237650XXXXX,mobile,MTN
CM,37,237651XXXXX,mobile,MTN
CM,37,237652XXXXX,mobile,MTN
CM,38,237653XXXXX,mobile,MTN
CM,38,237654XXXXX,mobile,MTN
CM,38,237655XXXXX,mobile,Orange
CM,38,237656XXXXX,mobile,Orange
CM,38,237657XXXXX,mobile,Orange
CM,38,237658XXXXX,mobile,Orange
CM,38,237659XXXXX,mobile,Orange
CM,38,23766XXXXXX,mobile,Nexttel
CM,38,2376745XXXX,mobile,MTN
CM,38,23767XXXXXX,mobile,MTN
CM,39,2376746XXXX,mobile,MTN
CM,39,2376747XXXX,mobile,MTN
CM,39,2376748XXXX,mobile,MTN
CM,39,2376749XXXX,mobile,MTN
CM,39,237675XXXXX,mobile,MTN
CM,39,2376940XXXX,mobile,Orange
CM,39,2376941XXXX,mobile,Orange
CM,39,2376942XXXX,mobile,Orange
CM,39,2376943XXXX,mobile,Orange
CM,39,23769XXXXXX,mobile,Orange
CM,40,2376944XXXX,mobile,Orange
CM,40,237696XXXXX,mobile,Orange
CM,40,2376998XXXX,mobile,Orange
CM,40,2376999XXXX,mobile,Orange
CM,40,237699XXXXX,mobile,Orange
CM,40,237776XXXXX,mobile,MTN
CM,40,237777XXXXX,mobile,MTN
CM,40,23777XXXXXX,mobile,MTN
