Country,Page,Range,Type,Provider
CO,252,+57284718XX,geographic,Colombia Telecomunicaciones S.A.
CO,255,+57284895XX,geographic,Colombia Telecomunicaciones S.A.
CO,250,+57284055XX,geographic,Colombia Telecomunicaciones S.A.
CO,253,+57284735XX,geographic,Colombia Telecomunicaciones S.A.
CO,252,+57284719XX,geographic,Colombia Telecomunicaciones S.A.
CO,255,+57284900XX,geographic,Colombia Telecomunicaciones S.A.
CO,250,+5728460XXX,geographic,Colombia Telecomunicaciones S.A.
CO,256,+57284933XX,geographic,Colombia Telecomunicaciones S.A.
CO,257,+57284985XX,geographic,Colombia Telecomunicaciones S.A.
CO,250,+5728461XXX,geographic,Colombia Telecomunicaciones S.A.
CO,255,+57284901XX,geographic,Colombia Telecomunicaciones S.A.
CO,256,+57284934XX,geographic,Colombia Telecomunicaciones S.A.
CO,252,+57284720XX,geographic,Colombia Telecomunicaciones S.A.
CO,251,+57284700XX,geographic,Colombia Telecomunicaciones S.A.
CO,253,+57284736XX,geographic,Colombia Telecomunicaciones S.A.
CO,260,+57291018XX,geographic,Colombia Telecomunicaciones S.A.
CO,255,+57284902XX,geographic,Colombia Telecomunicaciones S.A.
CO,250,+57284665XX,geographic,Colombia Telecomunicaciones S.A.
CO,257,+57288XXXXX,geographic,Colombia Telecomunicaciones S.A.
CO,251,+57284701XX,geographic,Colombia Telecomunicaciones S.A.
CO,253,+57284737XX,geographic,Colombia Telecomunicaciones S.A.
CO,256,+57284935XX,geographic,Colombia Telecomunicaciones S.A.
CO,258,+57290916XX,geographic,Colombia Telecomunicaciones S.A.
CO,255,+57284903XX,geographic,Colombia Telecomunicaciones S.A.
CO,260,+57291019XX,geographic,Colombia Telecomunicaciones S.A.
CO,258,+57290917XX,geographic,Colombia Telecomunicaciones S.A.
CO,261,+57292303XX,geographic,Colombia Telecomunicaciones S.A.
CO,264,+57293631XX,geographic,Colombia Telecomunicaciones S.A.
CO,250,+57284666XX,geographic,Colombia Telecomunicaciones S.A.
CO,251,+57284702XX,geographic,Colombia Telecomunicaciones S.A.
CO,252,+57284730XX,geographic,Colombia Telecomunicaciones S.A.
CO,257,+57289XXXXX,geographic,Colombia Telecomunicaciones S.A.
CO,258,+57290918XX,geographic,Colombia Telecomunicaciones S.A.
CO,260,+57291020XX,geographic,Colombia Telecomunicaciones S.A.
CO,253,+57284738XX,geographic,Colombia Telecomunicaciones S.A.
CO,261,+57292649XX,geographic,Colombia Telecomunicaciones S.A.
CO,252,+57284731XX,geographic,Colombia Telecomunicaciones S.A.
CO,274,+574XXXXXXX,geographic,
CO,255,+57284904XX,geographic,Colombia Telecomunicaciones S.A.
CO,263,+57292920XX,geographic,Colombia Telecomunicaciones S.A.
CO,262,+57292789XX,geographic,Colombia Telecomunicaciones S.A.
CO,257,+57290XXXXX,geographic,Colombia Telecomunicaciones S.A.
CO,258,+57290918XX,geographic,Colombia Telecomunicaciones S.A.
CO,264,+57293632XX,geographic,Colombia Telecomunicaciones S.A.
CO,259,+57290928XX,geographic,Colombia Telecomunicaciones S.A.
CO,251,+57284703XX,geographic,Colombia Telecomunicaciones S.A.
CO,256,+5728495XXX,geographic,Colombia Telecomunicaciones S.A.
CO,260,+57291688XX,geographic,Colombia Telecomunicaciones S.A.
CO,250,+57284667XX,geographic,Colombia Telecomunicaciones S.A.
CO,253,+57284739XX,geographic,Colombia Telecomunicaciones S.A.
CO,261,+57292650XX,geographic,Colombia Telecomunicaciones S.A.
CO,274,+574XXXXXXX,geographic,
CO,255,+57284905XX,geographic,Colombia Telecomunicaciones S.A.
CO,258,+57290919XX,geographic,Colombia Telecomunicaciones S.A.
CO,262,+57292790XX,geographic,Colombia Telecomunicaciones S.A.
CO,252,+57284732XX,geographic,Colombia Telecomunicaciones S.A.
CO,263,+57292921XX,geographic,Colombia Telecomunicaciones S.A.
CO,257,+57290910XX,geographic,Colombia Telecomunicaciones S.A.
CO,259,+57290929XX,geographic,Colombia Telecomunicaciones S.A.
CO,264,+573XXXXXXXXX,mobile,
CO,268,+574XXXXXXX,geographic,
CO,250,+57284668XX,geographic,Colombia Telecomunicaciones S.A.
CO,270,+574XXXXXXX,geographic,
CO,274,+574XXXXXXX,geographic,
CO,261,+57292679XX,geographic,Colombia Telecomunicaciones S.A.
CO,253,+57284739XX,geographic,Colombia Telecomunicaciones S.A.
CO,262,+57292839XX,geographic,Colombia Telecomunicaciones S.A.
CO,254,+57284773XX,geographic,Colombia Telecomunicaciones S.A.
CO,263,+57292922XX,geographic,Colombia Telecomunicaciones S.A.
CO,256,+5728496XXX,geographic,Colombia Telecomunicaciones S.A.
CO,258,+57290920XX,geographic,Colombia Telecomunicaciones S.A.
CO,252,+57284732XX,geographic,Colombia Telecomunicaciones S.A.
CO,255,+57284930XX,geographic,Colombia Telecomunicaciones S.A.
CO,261,+57292680XX,geographic,Colombia Telecomunicaciones S.A.
CO,250,+57284669XX,geographic,Colombia Telecomunicaciones S.A.
CO,257,+57290911XX,geographic,Colombia Telecomunicaciones S.A.
CO,274,+574XXXXXXX,geographic,
CO,253,+57284740XX,geographic,Colombia Telecomunicaciones S.A.
CO,260,+57291689XX,geographic,Colombia Telecomunicaciones S.A.
CO,259,+57290930XX,geographic,Colombia Telecomunicaciones S.A.
CO,255,+57284931XX,geographic,Colombia Telecomunicaciones S.A.
CO,251,+5728471XXX,geographic,Colombia Telecomunicaciones S.A.
CO,252,+57284733XX,geographic,Colombia Telecomunicaciones S.A.
CO,257,+57290912XX,geographic,Colombia Telecomunicaciones S.A.
CO,250,+57284670XX,geographic,Colombia Telecomunicaciones S.A.
CO,268,+574XXXXXXX,geographic,
CO,261,+57292720XX,geographic,Colombia Telecomunicaciones S.A.
CO,260,+57291690XX,geographic,Colombia Telecomunicaciones S.A.
CO,258,+57290920XX,geographic,Colombia Telecomunicaciones S.A.
CO,255,+57284932XX,geographic,Colombia Telecomunicaciones S.A.
