Country,Page,Range,Type,Provider
CR,151,5065738XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,151,5065737XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,151,5065736XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,151,5065735XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,151,5065734XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,151,5065733XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,151,5065732XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,151,5065731XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,151,5065739XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,150,5065730XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,150,5065727XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,150,5065726XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,150,5065725XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,150,5065724XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,150,5065723XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,150,5065722XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,150,5065721XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,149,5065720XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,150,5065729XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,150,5065728XXXX,mobile,Televisora de Costa Rica S.A. (Teletica)
CR,149,506570XXXXX,mobile,OMV
CR,149,506571XXXXX,mobile,OMV
CR,149,506501XXXXX,mobile,OMV
CR,149,506500XXXXX,mobile,OMV
CR,171,50683XXXXXX,mobile,Instituto Costarricense de Electricidad (ICE)
CR,171,50684XXXXXX,mobile,Instituto Costarricense de Electricidad (ICE)
CR,171,50689XXXXXX,mobile,Instituto Costarricense de Electricidad (ICE)
CR,171,50688XXXXXX,mobile,Instituto Costarricense de Electricidad (ICE)
CR,151,5066XXXXXXX,mobile,TelefÃ³nica MÃ³viles Costa Rica (movistar)
CR,159,5067XXXXXXX,mobile,Claro Costa Rica Telecomunicaciones S.A. (AlÃ³)
