Country,Page,Range,Type,Provider
CU,2,53213556XX,mobile,Cubacel
CU,100,5332542XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,105,533320XXXX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,114,53333091XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,102,5332595XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,106,53332272XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,105,5333211XXX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,102,5332596XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,107,53332351XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,10,5321963XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,104,5332961XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,106,53332273XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,101,5332554XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,105,5333212XXX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,106,53332274XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,107,53332352XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,115,5333367XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,102,533263XXX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,10,5321964XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,111,53332732XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,101,5332555XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,112,53333011XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,102,533264XXX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,101,5332556XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,100,5332543XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,105,5333213XXX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,10,5321965XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,116,53333983XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,113,53333023XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,107,53332353XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,106,53332275XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,104,5332962XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,118,5333535XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,3,53213690XX,mobile,Cubacel
CU,114,5333331XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,103,53326883X,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,115,5333391XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,105,5333214XXX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,134,5341631XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,111,53332733XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,112,53333012XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,101,5332557XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,10,5321971XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,102,533265XXX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,114,5333332XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,112,53333013XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,113,53333024XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,116,53334334XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,106,53332276XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,111,53332734XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,100,5332544XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,105,5333222XXX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,107,53332354XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,115,5333392XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,104,5332963XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,134,5341632XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,10,5321972XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,118,5333536XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,118,5333537XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,10,5321973XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,105,5333223XXX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,121,5333664XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,103,53326884X,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,100,5332545XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,101,5332571XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,119,5333546XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,10,5321981XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,114,5333333XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,118,5333538XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,115,5333393XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,108,53332373XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,101,5332581XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,102,5332661XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,22,5322688XXX,mobile,Cubacel
CU,11,5321985XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,121,5333665XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,118,5333539XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,104,5332964XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,115,5333394XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,124,5333874X,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,106,53332277XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,108,5333251XXX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,139,5341969XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,121,5333666XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,111,53332782XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,110,5333270XXX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,118,5333541XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,102,5332662XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,104,5332965XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,13,5322263XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,128,53413425XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,134,5341633XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,110,5333271XXX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,115,5333395XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,121,5333671XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,101,5332591XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,108,5333252XXX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,114,5333361XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,13,5322264XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,118,5333542XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
CU,139,5341971XX,geographic,Empresa de Telecomunicaciones de Cuba S.A. (ETECSA)
