Country,Page,Range,Type,Provider
CV,2,+238232XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,2,+238235XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,4,+238269XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,4,+238330XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,2,+238236XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,1,238,proper,
CV,5,+238331XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,1,+238221XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,5,+238332XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,4,+238271XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,2,+238237XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,5,+238333XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,5,+238334XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,4,+238272XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,2,+238238XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,5,+238335XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,5,+238336XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,5,+238337XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,5,+238338XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,6,+2385XXXXXX,mobile,
CV,5,+238339XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,5,+23843XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,1,+238222XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,6,+23851XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,6,+238520XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,6,+238521XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,1,+238223XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,4,+238273XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,2,+238241XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,6,+238522XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,6,+238523XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,1,+238224XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,6,+238524XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,6,+23858XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,6,+23859XXXXX,mobile,Cabo Verde Telecom S.A. (CVMóvel)
CV,4,+238281XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,6,+23891XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,7,+23892XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,7,+23893XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,3,+238256XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,7,+23895XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,7,+23897XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,7,+23898XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,1,+238225XXXX,geographic,Cabo Verde Telecom S.A. (CVTelecom)
CV,7,+238991XXXX,mobile,Cabo Verde Telecom S.A. (CVMóvel)
