Country,Page,Range,Type,Provider
CV,6,238520XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,6,238524XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,6,238523XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,6,238522XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,6,238521XXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,6,23859XXXXX,mobile,Cabo Verde Telecom S.A. (CVMóvel)
CV,6,23851XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,6,23858XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,7,23895XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,7,23898XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,7,23897XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,7,23899XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,7,23892XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,6,23891XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
CV,7,23893XXXXX,mobile,Unitel T+ Telecomunicações#comma Sociedade Unipessoal S.A.
