Country,Page,Range,Type,Provider
CW,2,5999444XXXX,geographic,Antelecom N.V. (UTS)
CW,2,599946XXXXX,geographic,Antelecom N.V. (UTS)
CW,2,599950XXXXX,geographic,Antelecom N.V. (UTS)
CW,6,5999789XXXX,geographic,Curaçao Cable Television N.V. (Flow Curaçao)
CW,4,5999733XXXX,geographic,Antelecom N.V. (UTS)
CW,6,59998XXXXXX,geographic,Antelecom N.V. (UTS)
CW,4,5999734XXXX,geographic,Antelecom N.V. (UTS)
CW,6,5999820XXXX,geographic,Scarlet N.V.
CW,4,5999735XXXX,geographic,Antelecom N.V. (UTS)
CW,5,5999747XXXX,geographic,Antelecom N.V. (UTS)
CW,1,599,proper,
CW,4,5999736XXXX,geographic,Antelecom N.V. (UTS)
CW,6,5999833XXXX,geographic,Antelecom N.V. (UTS)
CW,1,5996XXXXXX,premiumrate,Antillephone
CW,4,5999737XXXX,geographic,Antelecom N.V. (UTS)
CW,4,5999738XXXX,geographic,Antelecom N.V. (UTS)
CW,5,5999748XXXX,geographic,Antelecom N.V. (UTS)
CW,1,5999XXXXXXX,geographic,
CW,6,5999839XXXX,geographic,Antelecom N.V. (UTS)
CW,5,5999749XXXX,geographic,Antelecom N.V. (UTS)
CW,2,599951XXXXX,mobile,Antelecom N.V. (UTS)
CW,2,599952XXXXX,mobile,Antelecom N.V. (UTS)
CW,2,5999530XXXX,mobile,Antelecom N.V. (UTS)
CW,4,5999739XXXX,geographic,Antelecom N.V. (UTS)
CW,2,5999531XXXX,mobile,Antelecom N.V. (UTS)
CW,2,599954XXXXX,mobile,Antelecom N.V. (UTS)
CW,6,599984XXXXX,geographic,Santa Barbara Utilities N.V.
CW,5,5999763XXXX,geographic,Antelecom N.V. (UTS)
CW,2,599955XXXXX,pager,Antelecom N.V. (UTS)
CW,2,599956XXXXX,mobile,Antelecom N.V. (UTS)
CW,3,599957XXXXX,mobile,Antelecom N.V. (UTS)
CW,3,599965XXXXX,mobile,Polycom N.V. (Digicel)
CW,3,599966XXXXX,mobile,Polycom N.V. (Digicel)
CW,3,599967XXXXX,mobile,Polycom N.V. (Digicel)
CW,1,5999430XXXX,geographic,Antelecom N.V. (UTS)
CW,3,599968XXXXX,mobile,Polycom N.V. (Digicel)
CW,3,599969XXXXX,mobile,Polycom N.V. (Digicel)
CW,3,5999721XXXX,geographic,Smitcoms N.V.
CW,6,599986XXXXX,geographic,Antelecom N.V. (UTS)
CW,5,5999765XXXX,geographic,Antelecom N.V. (UTS)
CW,6,5999870XXXX,geographic,Antelecom N.V. (UTS)
CW,1,5999431XXXX,geographic,Antelecom N.V. (UTS)
CW,4,5999744XXXX,geographic,Antelecom N.V. (UTS)
CW,3,5999724XXXX,geographic,Curaçao Telecom N.V.
CW,5,5999766XXXX,geographic,Scarlet N.V.
CW,7,5999887XXXX,geographic,Antelecom N.V. (UTS)
CW,3,5999730XXXX,geographic,Antelecom N.V. (UTS)
CW,4,5999745XXXX,geographic,Antelecom N.V. (UTS)
CW,6,5999871XXXX,geographic,Antelecom N.V. (UTS)
CW,5,5999767XXXX,geographic,Antelecom N.V. (UTS)
CW,7,5999888XXXX,geographic,Antelecom N.V. (UTS)
CW,4,5999746XXXX,geographic,Antelecom N.V. (UTS)
CW,3,5999732XXXX,geographic,Antelecom N.V. (UTS)
CW,1,5999432XXXX,geographic,Antelecom N.V. (UTS)
CW,7,5999889XXXX,geographic,Antelecom N.V. (UTS)
CW,1,5999433XXXX,geographic,Antelecom N.V. (UTS)
CW,5,5999777XXXX,geographic,Antelecom N.V. (UTS)
CW,6,5999885XXXX,geographic,Antelecom N.V. (UTS)
CW,5,5999787XXXX,geographic,Curaçao Cable Television N.V. (Flow Curaçao)
CW,1,5999434XXXX,geographic,Antelecom N.V. (UTS)
CW,5,5999788XXXX,geographic,Curaçao Cable Television N.V. (Flow Curaçao)
CW,1,5999435XXXX,geographic,Antelecom N.V. (UTS)
CW,1,5999441XXXX,geographic,Antelecom N.V. (UTS)
