Country,Page,Range,Type,Provider
CW,2,5999531XXXX,mobile,Antelecom N.V. (UTS)
CW,2,5999530XXXX,mobile,Antelecom N.V. (UTS)
CW,2,599956XXXXX,mobile,Antelecom N.V. (UTS)
CW,3,599957XXXXX,mobile,Antelecom N.V. (UTS)
CW,2,599951XXXXX,mobile,Antelecom N.V. (UTS)
CW,2,599954XXXXX,mobile,Antelecom N.V. (UTS)
CW,2,599952XXXXX,mobile,Antelecom N.V. (UTS)
CW,3,599969XXXXX,mobile,Polycom N.V. (Digicel)
CW,3,599967XXXXX,mobile,Polycom N.V. (Digicel)
CW,3,599968XXXXX,mobile,Polycom N.V. (Digicel)
CW,3,599965XXXXX,mobile,Polycom N.V. (Digicel)
CW,3,599966XXXXX,mobile,Polycom N.V. (Digicel)
