Country,Page,Range,Type,Provider
CY,3,35724XXXXXX,geographic,
CY,4,357700XXXXX,universalaccess,
CY,4,35777XXXXXX,universalaccess,
CY,2,35722XXXXXX,geographic,
CY,4,357800XXXXX,freephone,
CY,3,35724XXXXXX,geographic,
CY,2,35722XXXXXX,geographic,
CY,2,35722XXXXXX,geographic,
CY,3,35725XXXXXX,geographic,
CY,2,35722XXXXXX,geographic,
CY,3,35725XXXXXX,geographic,
CY,4,357801XXXXX,sharedcost,
CY,5,357808XXXXX,sharedcost,
CY,2,35723XXXXXX,geographic,
CY,4,357802XXXXX,sharedcost,
CY,2,35723XXXXXX,geographic,
CY,3,35725XXXXXX,geographic,
CY,5,35780901XXX,internetserviceprovider,
CY,1,357,proper,
CY,5,35780902XXX,internetserviceprovider,
CY,3,35726XXXXXX,geographic,
CY,6,3579096XXXX,premiumrate,
CY,4,357803XXXXX,sharedcost,
CY,5,357900XXXXX,premiumrate,
CY,6,35795XXXXXX,mobile,PrimeTel PLC
CY,6,35796XXXXXX,mobile,MTN (Areeba Ltd)
CY,2,35723XXXXXX,geographic,
CY,3,35726XXXXXX,geographic,
CY,6,357976XXXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,1,35712196XXXXXX,voicemail(mobile),MTN (Areeba Ltd)
CY,6,357977XXXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,6,357990XXXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,6,357991XXXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,3,35726XXXXXX,geographic,
CY,2,35723XXXXXX,geographic,
CY,7,357992XXXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,7,357993XXXXX,mobile,CYTAmobile-Vodafone
CY,7,357994XXXXX,mobile,CYTAmobile-Vodafone
CY,7,357995XXXXX,mobile,CYTAmobile-Vodafone
CY,7,357996XXXXX,mobile,CYTAmobile-Vodafone
CY,7,3579971XXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,7,3579974XXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,8,3579975XXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,1,35712322XXX,voicemail(geographic),
CY,5,357909XXXXX,premiumrate,
CY,8,3579976XXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,8,3579977XXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,8,3579978XXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,3,35726XXXXXX,geographic,
CY,8,3579979XXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,6,3579097XXXX,premiumrate,
CY,8,357998XXXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,8,357999XXXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,3,35750XXXXXX,virtualprivatenetwork,
CY,4,357804XXXXX,sharedcost,
CY,6,3579098XXXX,premiumrate,
CY,2,35724XXXXXX,geographic,
CY,5,35790902XXX,internetserviceprovider,
CY,4,357805XXXXX,sharedcost,
CY,1,35712397XXXXXX,voicemail(mobile),CYTAmobile-Vodafone (prepaid)
CY,6,3579099XXXX,premiumrate,
CY,5,35790902626,internetserviceprovider,Cytanet
CY,2,35724XXXXXX,geographic,
CY,1,35712399XXXXXX,voicemail(mobile),CYTAmobile-Vodafone (prepaid)
CY,5,3579093XXXX,premiumrate,
CY,7,3579970XXXX,pager,
CY,5,3579094XXXX,premiumrate,
CY,1,3571461XXXX,VoIPtelephony,CYTAPAC
CY,4,357806XXXXX,sharedcost,
CY,1,3571462XXXX,VoIPtelephony,CYTAPC
CY,4,357807XXXXX,sharedcost,
CY,1,35716XXXX,routingcode,
CY,5,3579095XXXX,premiumrate,
CY,7,3579972XXXX,pager,
CY,1,35722XXXXXX,geographic,
CY,7,3579973XXXX,pager,
CY,1,35722XXXXXX,geographic,
