Country,Page,Range,Type,Provider
CY,7,3579974XXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,7,3579971XXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,8,3579978XXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,8,3579977XXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,8,3579976XXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,8,3579975XXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,8,3579979XXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,6,357977XXXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,6,357976XXXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,6,357991XXXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,6,357990XXXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,8,357999XXXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,8,357998XXXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,7,357996XXXXX,mobile,CYTAmobile-Vodafone
CY,7,357995XXXXX,mobile,CYTAmobile-Vodafone
CY,7,357994XXXXX,mobile,CYTAmobile-Vodafone
CY,7,357993XXXXX,mobile,CYTAmobile-Vodafone
CY,7,357992XXXXX,mobile,CYTAmobile-Vodafone (prepaid)
CY,6,35796XXXXXX,mobile,MTN (Areeba Ltd)
CY,6,35795XXXXXX,mobile,PrimeTel PLC
