Country,Page,Range,Type,Provider
DE,4,49169XXX,mobile,e*Message Wireless Information Services Deutschland GmbH 
DE,4,49168XXX,mobile,e*Message Wireless Information Services Deutschland GmbH 
DE,4,49164XXX,mobile,e*Message Wireless Information Services Deutschland GmbH 
DE,4,49169XXXX,mobile,e*Message Wireless Information Services Deutschland GmbH 
DE,4,49168XXXX,mobile,e*Message Wireless Information Services Deutschland GmbH 
DE,4,49164XXXX,mobile,e*Message Wireless Information Services Deutschland GmbH 
DE,4,49169XXXXX,mobile,e*Message Wireless Information Services Deutschland GmbH 
DE,4,49168XXXXX,mobile,e*Message Wireless Information Services Deutschland GmbH 
DE,4,49164XXXXX,mobile,e*Message Wireless Information Services Deutschland GmbH 
DE,3,4915678XXXXXX,mobile,Argon Networks UG
DE,3,4915555XXXXXX,mobile,Tismi BV
DE,1,4915020XXXXXX,mobile,Interactive Digital Media GmbH
DE,3,4915888XXXXXX,mobile,TelcoVillage GmbH
DE,1,4915080XXXXXX,mobile,Easy World Call GmbH
DE,4,49169XXXXXX,mobile,e*Message Wireless Information Services Deutschland GmbH 
DE,4,49168XXXXXX,mobile,e*Message Wireless Information Services Deutschland GmbH 
DE,4,49164XXXXXX,mobile,e*Message Wireless Information Services Deutschland GmbH 
DE,5,49175XXXXXXX,mobile,Telekom Deutschland GmbH (T-Mobile)
DE,5,49174XXXXXXX,mobile,Vodafone GmbH
DE,5,49173XXXXXXX,mobile,Vodafone GmbH
DE,4,49172XXXXXXX,mobile,Vodafone GmbH
DE,4,49171XXXXXXX,mobile,Telekom Deutschland GmbH (T-Mobile)
DE,4,49170XXXXXXX,mobile,Telekom Deutschland GmbH (T-Mobile)
DE,5,49179XXXXXXX,mobile,TelefÃ³nica Germany GmbH & Co. OHG
DE,5,49178XXXXXXX,mobile,E-Plus Mobilfunk GmbH & Co. KG
DE,5,49177XXXXXXX,mobile,E-Plus Mobilfunk GmbH & Co. KG
DE,4,49163XXXXXXX,mobile,E-Plus Mobilfunk GmbH & Co. KG
DE,4,49162XXXXXXX,mobile,Vodafone GmbH
DE,4,49160XXXXXXX,mobile,Telekom Deutschland GmbH (T-Mobile)
DE,3,491570XXXXXXX,mobile,E-Plus Mobilfunk GmbH & Co. KG / MVNO Telogic Germany GmbH
DE,3,491575XXXXXXX,mobile,E-Plus Mobilfunk GmbH & Co. KG 
DE,3,491573XXXXXXX,mobile,E-Plus Mobilfunk GmbH & Co. KG
DE,3,491579XXXXXXX,mobile,E-Plus Mobilfunk GmbH & Co. KG / MVNO Sipgate Wireless GmbH
DE,3,491577XXXXXXX,mobile,E-Plus Mobilfunk GmbH & Co. KG
DE,3,491578XXXXXXX,mobile,E-Plus Mobilfunk GmbH & Co. KG
DE,2,491514XXXXXXX,mobile,Telekom Deutschland GmbH (T-Mobile)
DE,1,491511XXXXXXX,mobile,Telekom Deutschland GmbH (T-Mobile)
DE,1,491512XXXXXXX,mobile,Telekom Deutschland GmbH (T-Mobile)
DE,2,491517XXXXXXX,mobile,Telekom Deutschland GmbH (T-Mobile)
DE,2,491515XXXXXXX,mobile,Telekom Deutschland GmbH (T-Mobile)
DE,2,491516XXXXXXX,mobile,Telekom Deutschland GmbH (T-Mobile)
DE,1,491505XXXXXXX,mobile,Group 3G UMTS Holding GmbH
DE,2,491520XXXXXXX,mobile,Vodafone GmbH
DE,2,491521XXXXXXX,mobile,Vodafone GmbH / MVNO Lycamobile Germany
DE,2,491525XXXXXXX,mobile,Vodafone GmbH
DE,2,491522XXXXXXX,mobile,Vodafone GmbH
DE,2,491523XXXXXXX,mobile,Vodafone GmbH
DE,3,491529XXXXXXX,mobile,Vodafone GmbH / MVNO Truphone GmbH
DE,2,491526XXXXXXX,mobile,Vodafone GmbH
DE,4,491590XXXXXXX,mobile,TelefÃ³nica Germany GmbH & Co. OHG
DE,5,49176XXXXXXXX,mobile,TelefÃ³nica Germany GmbH & Co. OHG
DE,4,49160XXXXXXXX,mobile,Telekom Deutschland GmbH (T-Mobile)
