Country,Page,Range,Type,Provider
DJ,1,253,proper,
DJ,3,+2532750XXXX,wirelessgeographic,Djibouti Télécom S.A.
DJ,3,+2532751XXXX,wirelessgeographic,Djibouti Télécom S.A.
DJ,1,+2532XXXXXXX,geographic,
DJ,2,+2532136XXXX,geographic,Djibouti Télécom S.A.
DJ,2,+2532139XXXX,geographic,Djibouti Télécom S.A.
DJ,3,+2532752XXXX,wirelessgeographic,Djibouti Télécom S.A.
DJ,2,+2532145XXXX,geographic,Djibouti Télécom S.A.
DJ,1,+2532125XXXX,geographic,Djibouti Télécom S.A.
DJ,2,+2532157XXXX,wirelessgeographic,Djibouti Télécom S.A.
DJ,2,+2532158XXXX,wirelessgeographic,Djibouti Télécom S.A.
DJ,1,+2532129XXXX,geographic,Djibouti Télécom S.A.
DJ,3,+2532753XXXX,wirelessgeographic,Djibouti Télécom S.A.
DJ,3,+2537760XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,1,+2532130XXXX,geographic,Djibouti Télécom S.A.
DJ,3,+2537761XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,3,+25377XXXXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,3,+25377XXXXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,4,+2537762XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,4,+2537763XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,2,+2532742XXXX,geographic,Djibouti Télécom S.A.
DJ,4,+2537764XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,4,+2537765XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,4,+2537766XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,3,+2532754XXXX,wirelessgeographic,Djibouti Télécom S.A.
DJ,4,+2537767XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,4,+2537768XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,4,+2537769XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,4,+2537770XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,4,+2537771XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,5,+2537772XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,5,+2537773XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,5,+2537774XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,5,+2537775XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,5,+2537776XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,1,+2532131XXXX,geographic,Djibouti Télécom S.A.
DJ,5,+2537777XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,5,+2537778XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,5,+2537779XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,2,+2532742XXXX,geographic,Djibouti Télécom S.A.
DJ,5,+2537780XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,5,+2537781XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,6,+2537782XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,6,+2537783XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,3,+2537XXXXXXX,mobile,
DJ,6,+2537784XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,6,+2537785XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,6,+2537786XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,6,+2537787XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,6,+2537788XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,6,+2537789XXXX,mobile,Evatis (Djibouti Télécom S.A.)
DJ,2,+2532742XXXX,geographic,Djibouti Télécom S.A.
DJ,1,+2532131XXXX,geographic,Djibouti Télécom S.A.
DJ,1,+2532132XXXX,geographic,Djibouti Télécom S.A.
DJ,2,+2532742XXXX,geographic,Djibouti Télécom S.A.
DJ,1,+2532134XXXX,geographic,Djibouti Télécom S.A.
DJ,1,+2532135XXXX,geographic,Djibouti Télécom S.A.
DJ,2,+2532742XXXX,geographic,Djibouti Télécom S.A.
