Country,Page,Range,Type,Provider
DK,115,+455486XXXX,geographic,TDC A/S
DK,115,+455487XXXX,geographic,TDC A/S
DK,103,+4553XXXXXX,mobile,
DK,115,+455488XXXX,geographic,TDC A/S
DK,115,+45549XXXXX,geographic,TDC A/S
DK,115,+4555XXXXXX,geographic,
DK,116,+455537XXXX,geographic,TDC A/S
DK,113,+455442XXXX,geographic,TDC A/S
DK,1,+45201XXXXX,mobile,TDC A/S
DK,1,+45202XXXXX,mobile,TDC A/S
DK,126,+455695XXXX,geographic,TDC A/S
DK,1,+45203XXXXX,mobile,TDC A/S
DK,1,+45204XXXXX,mobile,TDC A/S
DK,1,+45205XXXXX,mobile,TDC A/S
DK,120,+455598XXXX,geographic,TDC A/S
DK,1,+45206XXXXX,mobile,Telenor
DK,1,+45207XXXXX,mobile,Telenor
DK,1,+45208XXXXX,mobile,Telenor
DK,2,+45209XXXXX,mobile,Telenor
DK,2,+45211XXXXX,mobile,TDC A/S
DK,2,+45212XXXXX,mobile,TDC A/S
DK,113,+455443XXXX,geographic,TDC A/S
DK,114,+455464XXXX,geographic,TDC A/S
DK,2,+45213XXXXX,mobile,TDC A/S
DK,2,+45214XXXXX,mobile,TDC A/S
DK,2,+45215XXXXX,mobile,TDC A/S
DK,2,+45216XXXXX,mobile,TDC A/S
DK,2,+45217XXXXX,mobile,TDC A/S
DK,115,+455531XXXX,geographic,TDC A/S
DK,2,+45218XXXXX,mobile,TDC A/S
DK,3,+45219XXXXX,mobile,TDC A/S
DK,116,+455538XXXX,geographic,TDC A/S
DK,3,+45221XXXXX,mobile,Telenor
DK,3,+45222XXXXX,mobile,Telenor
DK,3,+45223XXXXX,mobile,Telenor
DK,120,+455599XXXX,geographic,TDC A/S
DK,3,+45224XXXXX,mobile,Telenor
DK,3,+45225XXXXX,mobile,Telenor
DK,3,+45226XXXXX,mobile,Telenor
DK,3,+45227XXXXX,mobile,Telenor
DK,3,+45228XXXXX,mobile,Telenor
DK,4,+45229XXXXX,mobile,Telenor
DK,4,+45231XXXXX,mobile,TDC A/S
DK,4,+45232XXXXX,mobile,TDC A/S
DK,4,+45233XXXXX,mobile,TDC A/S
DK,115,+455532XXXX,geographic,TDC A/S
DK,4,+45234XXXXX,mobile,TDC A/S
DK,126,+455696XXXX,geographic,TDC A/S
DK,4,+45235XXXXX,mobile,TDC A/S
DK,4,+45236XXXXX,mobile,TDC A/S
DK,4,+45237XXXXX,mobile,TDC A/S
DK,113,+455444XXXX,geographic,TDC A/S
DK,4,+45238XXXXX,mobile,TDC A/S
DK,5,+452390XXXX,mobile,TDC A/S
DK,5,+452391XXXX,mobile,TDC A/S
DK,5,+452392XXXX,mobile,TDC A/S
DK,5,+452393XXXX,mobile,TDC A/S
DK,5,+452394XXXX,mobile,TDC A/S
DK,5,+452395XXXX,mobile,Telia
DK,5,+452396XXXX,mobile,TDC A/S
DK,5,+452397XXXX,mobile,TDC A/S
DK,5,+452398XXXX,mobile,TDC A/S
DK,5,+452399XXXX,mobile,TDC A/S
DK,6,+45241XXXXX,mobile,TDC A/S
DK,114,+455465XXXX,geographic,TDC A/S
DK,6,+45242XXXXX,mobile,TDC A/S
DK,127,+45576XXXXX,geographic,TDC A/S
DK,6,+45243XXXXX,mobile,TDC A/S
DK,6,+45244XXXXX,mobile,TDC A/S
DK,115,+455534XXXX,geographic,TDC A/S
DK,6,+45245XXXXX,mobile,TDC A/S
DK,124,+455665XXXX,geographic,TDC A/S
DK,120,+4556XXXXXX,geographic,
DK,123,+455648XXXX,geographic,TDC A/S
DK,6,+45246XXXXX,mobile,TDC A/S
DK,6,+45247XXXXX,mobile,TDC A/S
DK,6,+45248XXXXX,mobile,TDC A/S
DK,6,+45249XXXXX,mobile,TDC A/S
DK,125,+455679XXXX,geographic,TDC A/S
DK,7,+45251XXXXX,mobile,Telenor
DK,7,+45252XXXXX,mobile,Telenor
DK,7,+45253XXXXX,mobile,Telenor
DK,124,+455666XXXX,geographic,TDC A/S
DK,7,+45254XXXXX,mobile,Telenor
DK,7,+45255XXXXX,mobile,Telenor
DK,7,+45256XXXXX,mobile,Telenor
DK,7,+45257XXXXX,mobile,Telenor
DK,7,+45258XXXXX,mobile,Telenor
DK,7,+452590XXXX,mobile,MI Carrier Services
DK,8,+452591XXXX,mobile,CoolTEL
DK,123,+455649XXXX,geographic,TDC A/S
DK,8,+452592XXXX,mobile,CoolTEL
DK,120,+455612XXXX,geographic,TDC A/S
DK,127,+45578XXXXX,geographic,TDC A/S
DK,114,+455466XXXX,geographic,TDC A/S
DK,133,+455945XXXX,geographic,TDC A/S
DK,130,+455884XXXX,geographic,TDC A/S
DK,126,+455697XXXX,geographic,TDC A/S
DK,8,+452593XXXX,mobile,Compatel Ltd
DK,117,+455547XXXX,geographic,TDC A/S
DK,8,+452594XXXX,mobile,Firmafon ApS
DK,8,+452595XXXX,mobile,CoolTEL
DK,113,+455445XXXX,geographic,TDC A/S
DK,8,+452596XXXX,mobile,Viptel ApS
DK,122,+455636XXXX,geographic,TDC A/S
DK,116,+455539XXXX,geographic,TDC A/S
DK,8,+452597XXXX,mobile,Hi3G
DK,8,+4525980XXX,mobile,Uni-tel A/S
DK,8,+4525981XXX,mobile,MobiWeb Ltd
DK,8,+4525982XXX,mobile,Jay.net A/S
DK,9,+4525983XXX,mobile,42 Telecom AB
DK,124,+455667XXXX,geographic,TDC A/S
DK,112,+4554XXXXXX,geographic,
DK,127,+4558XXXXXX,geographic,
