Country,Page,Range,Type,Provider
DK,208,4581370XXX,mobile,Flexonet A/S
DK,208,4581373XXX,mobile,M Mobility A/S
DK,208,4581372XXX,mobile,Interfone International A/S
DK,208,4581371XXX,mobile,CLX Networks AB
DK,16,4531315XXX,mobile,Hi3G
DK,16,4531314XXX,mobile,Hi3G
DK,16,4531317XXX,mobile,Hi3G
DK,16,4531316XXX,mobile,Hi3G
DK,16,4531311XXX,mobile,Hi3G
DK,16,4531310XXX,mobile,Hi3G
DK,16,4531313XXX,mobile,Hi3G
DK,16,4531312XXX,mobile,MI Carrier Services
DK,17,4531319XXX,mobile,Hi3G
DK,16,4531318XXX,mobile,Hi3G
DK,9,4525990XXX,mobile,Danovation ApS
DK,9,4525991XXX,mobile,Danovation ApS
DK,9,4525992XXX,mobile,Danovation ApS
DK,10,4525993XXX,mobile,Danovation ApS
DK,10,4525994XXX,mobile,Danovation ApS
DK,10,4525995XXX,mobile,Danovation ApS
DK,10,4525996XXX,mobile,Danovation ApS
DK,10,4525997XXX,mobile,Danovation ApS
DK,10,4525998XXX,mobile,Danovation ApS
DK,10,4525999XXX,mobile,Danovation ApS
DK,8,4525980XXX,mobile,Uni-tel A/S
DK,8,4525981XXX,mobile,MobiWeb Ltd
DK,8,4525982XXX,mobile,Jay.net A/S
DK,9,4525983XXX,mobile,42 Telecom AB
DK,9,4525984XXX,mobile,CoolTEL
DK,9,4525985XXX,mobile,42 Telecom AB
DK,9,4525986XXX,mobile,42 Telecom AB
DK,9,4525987XXX,mobile,Netfors Unified Messaging
DK,9,4525988XXX,mobile,CoolTEL
DK,9,4525989XXX,mobile,Ipnordic A/S
DK,138,456149XXXX,mobile,TDC A/S
DK,138,456145XXXX,mobile,TDC A/S
DK,138,456146XXXX,mobile,Telia
DK,138,456147XXXX,mobile,TDC A/S
DK,138,456148XXXX,mobile,TDC A/S
DK,138,456141XXXX,mobile,TDC A/S
DK,138,456142XXXX,mobile,TDC A/S
DK,138,456143XXXX,mobile,TDC A/S
DK,138,456144XXXX,mobile,TDC A/S
DK,137,456140XXXX,mobile,TDC A/S
DK,135,456057XXXX,mobile,Hi3G
DK,136,456058XXXX,mobile,Hi3G
DK,136,456059XXXX,mobile,Hi3G
DK,135,456053XXXX,mobile,Hi3G
DK,135,456054XXXX,mobile,Hi3G
DK,135,456055XXXX,mobile,Hi3G
DK,135,456056XXXX,mobile,Hi3G
DK,135,456050XXXX,mobile,Telenor
DK,135,456051XXXX,mobile,Hi3G
DK,135,456052XXXX,mobile,Hi3G
DK,137,456097XXXX,mobile,Tripple Track Europe ApS
DK,137,456098XXXX,mobile,Telavox ApS
DK,137,456099XXXX,mobile,Mach Connectivity ApS
DK,136,456093XXXX,mobile,Telenor
DK,136,456094XXXX,mobile,Telenor
DK,137,456095XXXX,mobile,Telenor
DK,137,456096XXXX,mobile,Tripple Track Europe ApS
DK,136,456090XXXX,mobile,Lebara Ltd
DK,136,456091XXXX,mobile,Telenor
DK,136,456092XXXX,mobile,Telenor
DK,163,457117XXXX,mobile,CBB Mobil
DK,163,457118XXXX,mobile,CBB Mobil
DK,163,457119XXXX,mobile,CBB Mobil
DK,162,457113XXXX,mobile,CBB Mobil
DK,163,457114XXXX,mobile,CBB Mobil
DK,163,457115XXXX,mobile,CBB Mobil
DK,163,457116XXXX,mobile,CBB Mobil
DK,162,457110XXXX,mobile,CBB Mobil
DK,162,457111XXXX,mobile,CBB Mobil
DK,162,457112XXXX,mobile,CBB Mobil
DK,167,457157XXXX,mobile,Lycamobile Denmark Ltd
DK,167,457158XXXX,mobile,Lycamobile Denmark Ltd
DK,167,457159XXXX,mobile,Lycamobile Denmark Ltd
DK,166,457153XXXX,mobile,Lycamobile Denmark Ltd
DK,167,457154XXXX,mobile,Lycamobile Denmark Ltd
DK,167,457155XXXX,mobile,Lycamobile Denmark Ltd
DK,167,457156XXXX,mobile,Lycamobile Denmark Ltd
DK,166,457150XXXX,mobile,Lycamobile Denmark Ltd
DK,166,457151XXXX,mobile,Lycamobile Denmark Ltd
DK,166,457152XXXX,mobile,Lycamobile Denmark Ltd
DK,166,457146XXXX,mobile,Lycamobile Denmark Ltd
DK,166,457147XXXX,mobile,Lycamobile Denmark Ltd
DK,166,457148XXXX,mobile,Lycamobile Denmark Ltd
DK,166,457149XXXX,mobile,Lycamobile Denmark Ltd
DK,165,457142XXXX,mobile,Lycamobile Denmark Ltd
DK,165,457143XXXX,mobile,Lycamobile Denmark Ltd
DK,166,457144XXXX,mobile,Lycamobile Denmark Ltd
DK,166,457145XXXX,mobile,Lycamobile Denmark Ltd
DK,165,457140XXXX,mobile,Lycamobile Denmark Ltd
DK,165,457141XXXX,mobile,Lycamobile Denmark Ltd
DK,165,457139XXXX,mobile,Lycamobile Denmark Ltd
DK,165,457135XXXX,mobile,Lycamobile Denmark Ltd
DK,165,457136XXXX,mobile,Lycamobile Denmark Ltd
DK,165,457137XXXX,mobile,Lycamobile Denmark Ltd
DK,165,457138XXXX,mobile,Lycamobile Denmark Ltd
DK,164,457131XXXX,mobile,Lycamobile Denmark Ltd
DK,164,457132XXXX,mobile,Lycamobile Denmark Ltd
DK,164,457133XXXX,mobile,Lycamobile Denmark Ltd
DK,165,457134XXXX,mobile,Lycamobile Denmark Ltd
DK,164,457130XXXX,mobile,Lycamobile Denmark Ltd
DK,164,457128XXXX,mobile,CBB Mobil
DK,164,457129XXXX,mobile,CBB Mobil
DK,164,457124XXXX,mobile,CBB Mobil
DK,164,457125XXXX,mobile,CBB Mobil
DK,164,457126XXXX,mobile,CBB Mobil
DK,164,457127XXXX,mobile,CBB Mobil
DK,163,457120XXXX,mobile,CBB Mobil
DK,163,457121XXXX,mobile,CBB Mobil
DK,163,457122XXXX,mobile,CBB Mobil
DK,163,457123XXXX,mobile,CBB Mobil
DK,171,457197XXXX,mobile,Mundio Mobile
DK,171,457198XXXX,mobile,Mundio Mobile
DK,171,457199XXXX,mobile,Firmafon ApS
DK,170,457193XXXX,mobile,CBB Mobil
DK,170,457194XXXX,mobile,Telenor
DK,171,457195XXXX,mobile,Telenor
DK,171,457196XXXX,mobile,Mundio Mobile
DK,170,457186XXXX,mobile,Lycamobile Denmark Ltd
DK,170,457187XXXX,mobile,Lycamobile Denmark Ltd
DK,170,457188XXXX,mobile,Lycamobile Denmark Ltd
DK,170,457189XXXX,mobile,Lycamobile Denmark Ltd
DK,169,457182XXXX,mobile,Lycamobile Denmark Ltd
DK,169,457183XXXX,mobile,Lycamobile Denmark Ltd
DK,169,457184XXXX,mobile,Lycamobile Denmark Ltd
DK,170,457185XXXX,mobile,Lycamobile Denmark Ltd
DK,170,457190XXXX,mobile,Phone-IT A/S
DK,170,457191XXXX,mobile,Telecom X ApS
DK,170,457192XXXX,mobile,Justfone A/S
DK,169,457179XXXX,mobile,Telenor
DK,169,457175XXXX,mobile,Telenor
DK,169,457176XXXX,mobile,Telenor
DK,169,457177XXXX,mobile,TDC A/S
DK,169,457178XXXX,mobile,Telenor
DK,168,457171XXXX,mobile,Maxtel.dk ApS
DK,168,457172XXXX,mobile,YouSee
DK,168,457173XXXX,mobile,CBB Mobil
DK,169,457180XXXX,mobile,Lycamobile Denmark Ltd
DK,169,457181XXXX,mobile,Lycamobile Denmark Ltd
DK,168,457168XXXX,mobile,Lycamobile Denmark Ltd
DK,168,457169XXXX,mobile,Lycamobile Denmark Ltd
DK,168,457164XXXX,mobile,Lycamobile Denmark Ltd
DK,168,457165XXXX,mobile,Lycamobile Denmark Ltd
DK,168,457166XXXX,mobile,Lycamobile Denmark Ltd
DK,168,457167XXXX,mobile,Lycamobile Denmark Ltd
DK,167,457160XXXX,mobile,Lycamobile Denmark Ltd
DK,167,457161XXXX,mobile,Lycamobile Denmark Ltd
DK,167,457162XXXX,mobile,Lycamobile Denmark Ltd
DK,167,457163XXXX,mobile,Lycamobile Denmark Ltd
DK,168,457170XXXX,mobile,YouSee
DK,207,458129XXXX,mobile,CBB Mobil
DK,207,458126XXXX,mobile,CBB Mobil
DK,207,458125XXXX,mobile,CBB Mobil
DK,207,458128XXXX,mobile,CBB Mobil
DK,207,458127XXXX,mobile,CBB Mobil
DK,206,458122XXXX,mobile,CBB Mobil
DK,206,458121XXXX,mobile,CBB Mobil
DK,207,458124XXXX,mobile,CBB Mobil
DK,206,458123XXXX,mobile,CBB Mobil
DK,206,458120XXXX,mobile,CBB Mobil
DK,206,458119XXXX,mobile,CBB Mobil
DK,206,458118XXXX,mobile,CBB Mobil
DK,206,458115XXXX,mobile,CBB Mobil
DK,206,458114XXXX,mobile,CBB Mobil
DK,206,458117XXXX,mobile,CBB Mobil
DK,206,458116XXXX,mobile,CBB Mobil
DK,205,458111XXXX,mobile,Evercall ApS
DK,205,458110XXXX,mobile,Ipvision A/S
DK,205,458113XXXX,mobile,CBB Mobil
DK,205,458112XXXX,mobile,CBB Mobil
DK,211,458169XXXX,mobile,CBB Mobil
DK,211,458166XXXX,mobile,CBB Mobil
DK,211,458165XXXX,mobile,CBB Mobil
DK,211,458168XXXX,mobile,CBB Mobil
DK,211,458167XXXX,mobile,CBB Mobil
DK,210,458162XXXX,mobile,CBB Mobil
DK,210,458161XXXX,mobile,YouSee
DK,210,458164XXXX,mobile,CBB Mobil
DK,210,458163XXXX,mobile,CBB Mobil
DK,211,458171XXXX,mobile,YouSee
DK,211,458170XXXX,mobile,CBB Mobil
DK,210,458159XXXX,mobile,CBB Mobil
DK,210,458158XXXX,mobile,CBB Mobil
DK,210,458155XXXX,mobile,CBB Mobil
DK,209,458154XXXX,mobile,CBB Mobil
DK,210,458157XXXX,mobile,CBB Mobil
DK,210,458156XXXX,mobile,CBB Mobil
DK,209,458151XXXX,mobile,CBB Mobil
DK,209,458150XXXX,mobile,CBB Mobil
DK,209,458153XXXX,mobile,CBB Mobil
DK,209,458152XXXX,mobile,CBB Mobil
DK,210,458160XXXX,mobile,CBB Mobil
