Country,Page,Range,Type,Provider
DM,4,+1767504XXXX,geographic,Marpin Telecoms & Broadcasting Co Ltd
DM,5,+1767703XXXX,geographic,SAT Telecommunications Ltd
DM,3,+1767442XXXX,geographic,Cable & Wireless PLC (LIME)
DM,1,1,proper,
DM,2,+1767420XXXX,geographic,Digicel Dominica Ltd
DM,5,+1767704XXXX,geographic,SAT Telecommunications Ltd
DM,2,+1767421XXXX,geographic,Digicel Dominica Ltd
DM,1,+1767XXXXXXX,geographic,
DM,5,+1767705XXXX,geographic,SAT Telecommunications Ltd
DM,3,+1767445XXXX,geographic,Cable & Wireless PLC (LIME)
DM,3,+1767446XXXX,geographic,Cable & Wireless PLC (LIME)
DM,2,+1767440XXXX,geographic,Cable & Wireless PLC (LIME)
DM,1,+1767225XXXX,mobile,Cable & Wireless PLC (LIME)
DM,1,+1767235XXXX,mobile,Cable & Wireless PLC (LIME)
DM,1,+1767245XXXX,mobile,Cable & Wireless PLC (LIME)
DM,5,+1767706XXXX,geographic,SAT Telecommunications Ltd
DM,1,+1767265XXXX,mobile,Cable & Wireless PLC (LIME)
DM,1,+1767275XXXX,mobile,Cable & Wireless PLC (LIME)
DM,1,+1767276XXXX,mobile,Cable & Wireless PLC (LIME)
DM,2,+1767277XXXX,mobile,Cable & Wireless PLC (LIME)
DM,2,+1767285XXXX,mobile,Cable & Wireless PLC (LIME)
DM,2,+1767295XXXX,mobile,Cable & Wireless PLC (LIME)
DM,2,+1767315XXXX,mobile,Digicel Dominica Ltd
DM,2,+1767316XXXX,mobile,Digicel Dominica Ltd
DM,2,+1767317XXXX,mobile,Digicel Dominica Ltd
DM,4,+1767611XXXX,mobile,Digicel Dominica Ltd
DM,4,+1767612XXXX,mobile,Digicel Dominica Ltd
DM,4,+1767613XXXX,mobile,Digicel Dominica Ltd
DM,4,+1767614XXXX,mobile,Digicel Dominica Ltd
DM,4,+1767615XXXX,mobile,Digicel Dominica Ltd
DM,4,+1767616XXXX,mobile,Digicel Dominica Ltd
DM,4,+1767617XXXX,mobile,Digicel Dominica Ltd
DM,2,+1767441XXXX,geographic,Cable & Wireless PLC (LIME)
DM,3,+1767447XXXX,geographic,Cable & Wireless PLC (LIME)
DM,3,+1767448XXXX,geographic,Cable & Wireless PLC (LIME)
DM,3,+1767449XXXX,geographic,Cable & Wireless PLC (LIME)
DM,1,+1767255XXXX,geographic,Cable & Wireless PLC (LIME)
DM,4,+1767701XXXX,geographic,SAT Telecommunications Ltd
DM,4,+1767702XXXX,geographic,SAT Telecommunications Ltd
DM,3,+1767500XXXX,geographic,Marpin Telecoms & Broadcasting Co Ltd
DM,1,+1767266XXXX,geographic,Cable & Wireless PLC (LIME)
DM,3,+1767501XXXX,geographic,Marpin Telecoms & Broadcasting Co Ltd
DM,3,+1767502XXXX,geographic,Marpin Telecoms & Broadcasting Co Ltd
DM,3,+1767503XXXX,geographic,Marpin Telecoms & Broadcasting Co Ltd
