Country,Page,Range,Type,Provider
DZ,10,21396192XXXX,satellite,VSAT Divona
DZ,3,21331XXXXXX,geographic,Algérie Télécom
DZ,1,213,proper,
DZ,10,21398XXXXXXX,VoIPtelephony,
DZ,3,21332XXXXXX,geographic,Algérie Télécom
DZ,9,213802XXXXXX,premiumrate,
DZ,1,2131XXXXXXX,geographic,Consortium Algérien de Télécommunications (CAT / Lacom)
DZ,3,21332XXXXXX,geographic,Algérie Télécom
DZ,10,213982XXXXXX,VoIPtelephony,
DZ,3,21332XXXXXX,geographic,Algérie Télécom
DZ,5,21343XXXXXX,geographic,Algérie Télécom
DZ,4,21336XXXXXX,geographic,Algérie Télécom
DZ,5,21345XXXXXX,geographic,Algérie Télécom
DZ,1,21320XXXXXX,wirelessgeographic,Algérie Télécom
DZ,3,21333XXXXXX,geographic,Algérie Télécom
DZ,9,213803XXXXXX,premiumrate,
DZ,10,2139824XXXXX,VoIPtelephony,Icosnet
DZ,5,21345XXXXXX,geographic,Algérie Télécom
DZ,9,213804XXXXXX,premiumrate,
DZ,5,21346XXXXXX,geographic,Algérie Télécom
DZ,1,21321XXXXXX,geographic,Algérie Télécom
DZ,10,213983XXXXXX,VoIPtelephony,Algérie Télécom
DZ,4,21337XXXXXX,geographic,Algérie Télécom
DZ,5,21346XXXXXX,geographic,Algérie Télécom
DZ,1,21324XXXXXX,geographic,Algérie Télécom
DZ,4,21337XXXXXX,geographic,Algérie Télécom
DZ,9,213805XXXXXX,premiumrate,
DZ,4,21337XXXXXX,geographic,Algérie Télécom
DZ,9,213806XXXXXX,premiumrate,
DZ,3,21333XXXXXX,geographic,Algérie Télécom
DZ,5,21346XXXXXX,geographic,Algérie Télécom
DZ,4,21338XXXXXX,geographic,Algérie Télécom
DZ,6,21355XXXXXXX,mobile,Ooredoo Algeria (Nedjma)
DZ,6,213657XXXXXX,mobile,Mobilis
DZ,9,213808XXXXXX,premiumrate,
DZ,3,21334XXXXXX,geographic,Algérie Télécom
DZ,5,21348XXXXXX,geographic,Algérie Télécom
DZ,1,21324XXXXXX,geographic,Algérie Télécom
DZ,6,213658XXXXXX,mobile,Mobilis
DZ,9,213809XXXXXX,premiumrate,
DZ,6,21349XXXXXX,geographic,Algérie Télécom
DZ,3,21334XXXXXX,geographic,Algérie Télécom
DZ,2,21327XXXXXX,geographic,Algérie Télécom
DZ,6,213659XXXXXX,mobile,Mobilis
DZ,6,21365XXXXXXX,mobile,Mobilis
DZ,4,21338XXXXXX,geographic,Algérie Télécom
DZ,5,21348XXXXXX,geographic,Algérie Télécom
DZ,6,21366XXXXXXX,mobile,Mobilis
DZ,6,2136XXXXXXXX,mobile,Mobilis
DZ,7,213670XXXXXX,mobile,Mobilis
DZ,7,213671XXXXXX,mobile,Mobilis
DZ,6,21349XXXXXX,geographic,Algérie Télécom
DZ,2,21327XXXXXX,geographic,Algérie Télécom
DZ,7,213672XXXXXX,mobile,Mobilis
DZ,4,21338XXXXXX,geographic,Algérie Télécom
DZ,5,21349XXXXXX,geographic,Algérie Télécom
DZ,9,21396XXXXXXX,satellite,VSAT Divona
DZ,1,21325XXXXXX,geographic,Algérie Télécom
DZ,7,213673XXXXXX,mobile,Mobilis
DZ,3,21335XXXXXX,geographic,Algérie Télécom
DZ,7,213674XXXXXX,mobile,Mobilis
DZ,7,21367XXXXXXX,mobile,Mobilis
DZ,3,21335XXXXXX,geographic,Algérie Télécom
DZ,6,21349XXXXXX,geographic,Algérie Télécom
DZ,1,21325XXXXXX,geographic,Algérie Télécom
DZ,9,21396190XXXX,satellite,VSAT Algérie Télécom
DZ,7,213697XXXXXX,mobile,Mobilis
DZ,4,21340XXXXXX,wirelessgeographic,Algérie Télécom
DZ,2,21327XXXXXX,geographic,Algérie Télécom
DZ,5,21349XXXXXX,geographic,Algérie Télécom
DZ,7,213698XXXXXX,mobile,Mobilis
DZ,7,213699XXXXXX,mobile,Mobilis
DZ,4,21341XXXXXX,geographic,Algérie Télécom
DZ,7,21377XXXXXXX,mobile,Djezzy
DZ,4,21343XXXXXX,geographic,Algérie Télécom
DZ,9,21396191XXXX,satellite,VSAT Orascom Télécom Algérie
DZ,2,21329XXXXXX,geographic,Algérie Télécom
DZ,1,21326XXXXXX,geographic,Algérie Télécom
DZ,8,213790XXXXXX,mobile,Djezzy
DZ,8,213800XXXXXX,freephone,
DZ,8,213791XXXXXX,mobile,Djezzy
DZ,1,21326XXXXXX,geographic,Algérie Télécom
DZ,8,213801XXXXXX,premiumrate,
DZ,2,21329XXXXXX,geographic,Algérie Télécom
DZ,8,213792XXXXXX,mobile,Djezzy
DZ,8,213793XXXXXX,mobile,Djezzy
DZ,2,21329XXXXXX,geographic,Algérie Télécom
DZ,8,213794XXXXXX,mobile,Djezzy
DZ,2,21329XXXXXX,geographic,Algérie Télécom
DZ,8,213795XXXXXX,mobile,Djezzy
DZ,2,21329XXXXXX,geographic,Algérie Télécom
DZ,8,213796XXXXXX,mobile,Djezzy
DZ,2,21330XXXXXX,wirelessgeographic,Algérie Télécom
DZ,8,21379XXXXXXX,mobile,Djezzy
DZ,2,21331XXXXXX,geographic,Algérie Télécom
