Country,Page,Range,Type,Provider
EC,10,5932316XXXX,geographic,Andinatel
EC,10,5932317XXXX,geographic,Andinatel
EC,13,59327XXXXXXX,geographic,
EC,11,5932333XXXX,geographic,Andinatel
EC,13,59332312XXX,geographic,Andinatel
EC,11,5932334XXXX,geographic,Andinatel
EC,11,5932338XXXX,geographic,Andinatel
EC,14,59332658XXX,geographic,Andinatel
EC,13,59332380XXX,geographic,Andinatel
EC,11,5932340XXXX,geographic,Andinatel
EC,20,5934210XXXX,geographic,Pacifictel
EC,11,5932341XXXX,geographic,Andinatel
EC,10,5932319XXXX,geographic,Andinatel
EC,18,5933290XXXX,geographic,Andinatel
EC,20,5934211XXXX,geographic,Pacifictel
EC,14,59332660XXX,geographic,Andinatel
EC,11,5932345XXXX,geographic,Andinatel
EC,12,59326XXXXXXX,geographic,
EC,20,5934212XXXX,geographic,Pacifictel
EC,11,593237XXXXX,geographic,Andinatel
EC,18,59332904XXX,geographic,Andinatel
EC,10,5932320XXXX,geographic,Andinatel
EC,14,5933268XXXX,geographic,Andinatel
EC,13,5933239XXXX,geographic,Andinatel
EC,19,59332938XXX,geographic,Andinatel
EC,16,5933275XXXX,geographic,Andinatel
EC,20,593421800XX,geographic,Pacifictel
EC,10,5932321XXXX,geographic,Andinatel
EC,14,59332680XXX,geographic,Andinatel
EC,18,59332907XXX,geographic,Andinatel
EC,21,5934258XXXX,geographic,Pacifictel
EC,11,5932400XXXX,geographic,Level 3 Ecuador LVLT S.A.
EC,1,593,proper,
EC,24,5934276XXXX,geographic,Pacifictel
EC,12,59326XXXXXXX,geographic,
EC,20,593422XXXXX,geographic,Pacifictel
EC,10,5932322XXXX,geographic,Andinatel
EC,16,59332751XXX,geographic,Andinatel
EC,11,5932401XXXX,geographic,Level 3 Ecuador LVLT S.A.
EC,14,59332682XXX,geographic,Andinatel
EC,10,5932326XXXX,geographic,Andinatel
EC,13,593324XXXXX,geographic,Andinatel
EC,19,59332970XXX,geographic,Andinatel
EC,18,59332910XXX,geographic,Andinatel
EC,24,59342764XXX,geographic,Pacifictel
EC,23,5934272XXXX,geographic,Pacifictel
EC,12,59326XXXXXXX,geographic,
EC,21,5934260XXXX,geographic,Pacifictel
EC,14,59332684XXX,geographic,Andinatel
EC,16,59332760XXX,geographic,Andinatel
EC,11,59325XXXXXX,geographic,Ecutel
EC,13,5933245XXXX,geographic,Andinatel
EC,15,59332710XXX,geographic,Andinatel
EC,24,59342766XXX,geographic,Pacifictel
EC,19,59332972XXX,geographic,Andinatel
EC,17,5933283XXXX,geographic,Andinatel
EC,12,59326XXXXXXX,geographic,
EC,18,59332912XXX,geographic,Andinatel
EC,30,59352640XXX,geographic,Pacifictel
EC,23,5934272XXXX,geographic,Pacifictel
EC,22,5934268XXXX,geographic,Pacifictel
EC,1,59322XXXXXXX,geographic,
