Country,Page,Range,Type,Provider
EE,100,3726226XXX,geographic,Eesti Telefon
EE,100,3726227XXX,geographic,Eesti Telefon
EE,100,3726228XXX,geographic,Eesti Telefon
EE,100,3726229XXX,geographic,Eesti Telefon
EE,100,3726230XXX,geographic,Eesti Telefon
EE,100,3726231XXX,geographic,Eesti Telefon
EE,100,3726232XXX,geographic,Eesti Telefon
EE,100,3726233XXX,geographic,Eesti Telefon
EE,100,3726234XXX,geographic,Eesti Telefon
EE,103,3726266XXX,geographic,Eesti Telefon
EE,10,3723337XXX,geographic,Eesti Telefon
EE,103,3726267XXX,geographic,Eesti Telefon
EE,100,3726235XXX,geographic,Eesti Telefon
EE,106,3726305XXX,geographic,Eesti Telefon
EE,103,3726268XXX,geographic,Eesti Telefon
EE,10,3723338XXX,geographic,Eesti Telefon
EE,104,3726276XXX,geographic,Eesti Telefon
EE,106,3726306XXX,geographic,Eesti Telefon
EE,10,3723339XXX,geographic,Eesti Telefon
EE,107,3726315XXX,geographic,Eesti Telefon
EE,104,3726277XXX,geographic,Eesti Telefon
EE,109,3726335XXX,geographic,Eesti Telefon
EE,10,3723340XXX,geographic,Eesti Telefon
EE,107,3726316XXX,geographic,Riigi Infokommunikatsiooni Sihtasutus
EE,105,3726286XXX,geographic,Eesti Telefon
EE,108,3726325XXX,geographic,Eesti Telefon
EE,109,3726336XXX,geographic,Eesti Telefon
EE,119,3726435XXX,geographic,Eesti Telefon
EE,112,3726365XXX,geographic,Eesti Telefon
EE,10,3723341XXX,geographic,Eesti Telefon
EE,106,3726307XXX,geographic,Eesti Telefon
EE,116,3726405XXX,geographic,Eesti Telefon
EE,103,3726269XXX,geographic,Eesti Telefon
EE,110,3726345XXX,geographic,Eesti Telefon
EE,109,3726337XXX,geographic,Eesti Telefon
EE,119,3726436XXX,geographic,Eesti Telefon
EE,107,3726317XXX,geographic,Riigi Infokommunikatsiooni Sihtasutus
EE,104,3726278XXX,geographic,Eesti Telefon
EE,108,3726326XXX,geographic,Eesti Telefon
EE,114,3726385XXX,geographic,Eesti Telefon
EE,118,3726425XXX,geographic,Eesti Telefon
EE,105,3726287XXX,geographic,Eesti Telefon
EE,106,3726308XXX,geographic,Eesti Telefon
EE,109,3726338XXX,geographic,Eesti Telefon
EE,10,3723342XXX,geographic,Eesti Telefon
EE,112,3726366XXX,geographic,Eesti Telefon
EE,114,3726386XXX,geographic,Eesti Telefon
EE,116,3726406XXX,geographic,Eesti Telefon
EE,110,3726346XXX,geographic,Eesti Telefon
EE,101,3726236XXX,geographic,Eesti Telefon
EE,103,3726270XXX,geographic,Eesti Telefon
EE,107,3726318XXX,geographic,Eesti Telefon
EE,10,3723343XXX,geographic,Eesti Telefon
EE,105,3726288XXX,geographic,Eesti Telefon
EE,114,3726387XXX,geographic,Eesti Telefon
EE,106,3726309XXX,geographic,Eesti Telefon
EE,110,3726347XXX,geographic,Eesti Telefon
EE,116,3726407XXX,geographic,Eesti Telefon
EE,114,3726388XXX,geographic,Eesti Telefon
EE,112,3726367XXX,geographic,Eesti Telefon
EE,115,3726395XXX,geographic,Eesti Telefon
EE,108,3726327XXX,geographic,Eesti Telefon
EE,127,3726534XXX,geographic,Eesti Telefon
EE,102,3726256XXX,geographic,Eesti Telefon
