Country,Page,Range,Type,Provider
ER,1,291,proper,
ER,2,+291161XXXX,geographic,Telecommunications Service of Eritrea (TSE)
ER,1,+2911XXXXXX,geographic,
ER,1,+291111XXXX,geographic,Telecommunications Service of Eritrea (TSE)
ER,1,+291112XXXX,geographic,Telecommunications Service of Eritrea (TSE)
ER,1,+291115XXXX,geographic,Telecommunications Service of Eritrea (TSE)
ER,2,+291171XXXX,mobile,Eritel
ER,2,+291172XXXX,mobile,Eritel
ER,2,+291173XXXX,mobile,Eritel
ER,1,+291116XXXX,geographic,Telecommunications Service of Eritrea (TSE)
ER,2,+2917XXXXXX,mobile,Eritel
ER,2,+291164XXXX,geographic,Telecommunications Service of Eritrea (TSE)
ER,1,+291118XXXX,geographic,Telecommunications Service of Eritrea (TSE)
ER,2,+291166XXXX,geographic,Telecommunications Service of Eritrea (TSE)
ER,1,+291120XXXX,geographic,Telecommunications Service of Eritrea (TSE)
ER,1,+291140XXXX,geographic,Telecommunications Service of Eritrea (TSE)
ER,1,+291155XXXX,geographic,Telecommunications Service of Eritrea (TSE)
