Country,Page,Range,Type,Provider
ES,122,346685XXXXX,mobile,France Telecom EspaÃ±a#comma S.a. Unipersonal
ES,122,346686XXXXX,mobile,Fonyou Wireless#comma S.l. Unipersonal
ES,122,346688XXXXX,mobile,Fonyou Wireless#comma S.l. Unipersonal
ES,122,346681XXXXX,mobile,Scn Truphone#comma S.l.
ES,118,346443XXXXX,mobile,Kpn Spain#comma S.l. Unipersonal
ES,118,346442XXXXX,mobile,Kpn Spain#comma S.l. Unipersonal
ES,118,346445XXXXX,mobile,Kpn Spain#comma S.l. Unipersonal
ES,118,346444XXXXX,mobile,Kpn Spain#comma S.l. Unipersonal
ES,118,346447XXXXX,mobile,Kpn Spain#comma S.l. Unipersonal
ES,118,346446XXXXX,mobile,Kpn Spain#comma S.l. Unipersonal
ES,119,346449XXXXX,mobile,Kpn Spain#comma S.l. Unipersonal
ES,118,346448XXXXX,mobile,Kpn Spain#comma S.l. Unipersonal
ES,118,346441XXXXX,mobile,Kpn Spain#comma S.l. Unipersonal
ES,118,346440XXXXX,mobile,Kpn Spain#comma S.l. Unipersonal
ES,117,346401XXXXX,mobile,Jazz Telecom#comma S.a.u.
ES,117,346400XXXXX,mobile,Jazz Telecom#comma S.a.u.
ES,117,346403XXXXX,mobile,Jazz Telecom#comma S.a.u.
ES,117,346404XXXXX,mobile,World Wide Web Ibercom#comma S.a.
ES,117,346423XXXXX,mobile,Digi Spain Telecom#comma S.l.
ES,117,346422XXXXX,mobile,Digi Spain Telecom#comma S.l.
ES,117,346424XXXXX,mobile,Digi Spain Telecom#comma S.l.
ES,117,346427XXXXX,mobile,Digi Spain Telecom#comma S.l.
ES,117,346426XXXXX,mobile,Digi Spain Telecom#comma S.l.
ES,118,346429XXXXX,mobile,Digi Spain Telecom#comma S.l.
ES,117,346428XXXXX,mobile,Digi Spain Telecom#comma S.l.
ES,114,346322XXXXX,mobile,Lycamobile#comma S.l.
ES,113,346321XXXXX,mobile,Lycamobile#comma S.l.
ES,114,346324XXXXX,mobile,Lycamobile#comma S.l.
ES,114,346323XXXXX,mobile,Lycamobile#comma S.l.
ES,114,346326XXXXX,mobile,Lycamobile#comma S.l.
ES,114,346325XXXXX,mobile,Lycamobile#comma S.l.
ES,114,346328XXXXX,mobile,Lycamobile#comma S.l.
ES,114,346327XXXXX,mobile,Lycamobile#comma S.l.
ES,113,346320XXXXX,mobile,Lycamobile#comma S.l.
ES,114,346329XXXXX,mobile,Lycamobile#comma S.l.
ES,115,346344XXXXX,mobile,Vodafone Enabler EspaÃ±a#comma S.l.
ES,115,346343XXXXX,mobile,Vodafone Enabler EspaÃ±a#comma S.l.
ES,116,346346XXXXX,mobile,Vodafone EspaÃ±a#comma S.a.u.
ES,115,346345XXXXX,mobile,Vodafone EspaÃ±a#comma S.a.u.
ES,116,346348XXXXX,mobile,Vodafone EspaÃ±a#comma S.a.u.
ES,116,346347XXXXX,mobile,Vodafone EspaÃ±a#comma S.a.u.
ES,116,346349XXXXX,mobile,Vodafone EspaÃ±a#comma S.a.u.
ES,115,346340XXXXX,mobile,Lebara Ltd Uk
ES,115,346342XXXXX,mobile,Vodafone EspaÃ±a#comma S.a.u.
ES,115,346341XXXXX,mobile,Vodafone Enabler EspaÃ±a#comma S.l.
ES,113,346311XXXXX,mobile,Lycamobile#comma S.l.
ES,112,346310XXXXX,mobile,Lycamobile#comma S.l.
ES,113,346313XXXXX,mobile,Lycamobile#comma S.l.
ES,113,346312XXXXX,mobile,Lycamobile#comma S.l.
ES,113,346315XXXXX,mobile,Lycamobile#comma S.l.
ES,113,346314XXXXX,mobile,Lycamobile#comma S.l.
ES,113,346317XXXXX,mobile,Lycamobile#comma S.l.
ES,113,346316XXXXX,mobile,Lycamobile#comma S.l.
ES,113,346318XXXXX,mobile,Lycamobile#comma S.l.
ES,106,346016XXXXX,mobile,Least Cost Routing Telecom#comma S.l.
ES,106,346015XXXXX,mobile,Vodafone Enabler EspaÃ±a#comma S.l.
ES,106,346010XXXXX,mobile,Tenaria#comma S.a.
ES,106,346012XXXXX,mobile,Tenaria#comma S.a.
ES,106,346011XXXXX,mobile,Tenaria#comma S.a.
ES,109,346036XXXXX,mobile,Vodafone EspaÃ±a#comma S.a.u.
ES,109,346035XXXXX,mobile,Vodafone EspaÃ±a#comma S.a.u.
ES,109,346038XXXXX,mobile,Vodafone EspaÃ±a#comma S.a.u.
ES,109,346037XXXXX,mobile,Vodafone EspaÃ±a#comma S.a.u.
ES,109,346039XXXXX,mobile,Vodafone Enabler EspaÃ±a#comma S.l.
ES,108,346030XXXXX,mobile,Vodafone Enabler EspaÃ±a#comma S.l.
ES,109,346032XXXXX,mobile,Lebara Ltd Uk
ES,108,346031XXXXX,mobile,Vodafone Enabler EspaÃ±a#comma S.l.
ES,109,346034XXXXX,mobile,Vodafone EspaÃ±a#comma S.a.u.
ES,109,346033XXXXX,mobile,Vodafone Enabler EspaÃ±a#comma S.l.
ES,107,346025XXXXX,mobile,Vodafone Enabler EspaÃ±a#comma S.l.
ES,107,346024XXXXX,mobile,Vodafone Enabler EspaÃ±a#comma S.l.
ES,108,346027XXXXX,mobile,Vodafone Enabler EspaÃ±a#comma S.l.
ES,108,346026XXXXX,mobile,Lebara Ltd Uk
ES,108,346028XXXXX,mobile,Lycamobile#comma S.l.
ES,107,346021XXXXX,mobile,Lycamobile#comma S.l.
ES,107,346020XXXXX,mobile,Lycamobile#comma S.l.
ES,107,346023XXXXX,mobile,Lycamobile#comma S.l.
ES,107,346022XXXXX,mobile,Neo-sky 2002#comma S.a.
ES,111,346113XXXXX,mobile,Vodafone Enabler EspaÃ±a#comma S.l.
ES,111,346112XXXXX,mobile,Lebara Ltd Uk
ES,111,346116XXXXX,mobile,Vodafone Enabler EspaÃ±a#comma S.l.
ES,110,346111XXXXX,mobile,Vodafone Enabler EspaÃ±a#comma S.l.
ES,134,346982XXXXX,mobile,More Minutes Communications#comma S.l.
ES,133,346981XXXXX,mobile,R Cable Y Telecomunicaciones Galicia#comma S.a.
ES,134,346984XXXXX,mobile,More Minutes Communications#comma S.l.
ES,134,346983XXXXX,mobile,More Minutes Communications#comma S.l.
ES,134,346986XXXXX,mobile,More Minutes Communications#comma S.l.
ES,134,346985XXXXX,mobile,More Minutes Communications#comma S.l.
ES,135,346988XXXXX,mobile,More Minutes Communications#comma S.l.
ES,135,346987XXXXX,mobile,France Telecom EspaÃ±a#comma S.a. Unipersonal
ES,133,346980XXXXX,mobile,More Minutes Communications#comma S.l.
ES,135,346989XXXXX,mobile,Vodafone Enabler EspaÃ±a#comma S.l.
ES,129,346931XXXXX,mobile,The Phone House MÃ³vil#comma S.l.u.
ES,129,346930XXXXX,mobile,The Phone House MÃ³vil#comma S.l.u.
ES,130,346933XXXXX,mobile,The Phone House MÃ³vil#comma S.l.u.
