Country,Page,Range,Type,Provider
ET,11,251116860XXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,11,251116870XXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,11,251116880XXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,12,25122116XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,11,25122XXXXXXX,geographic,
ET,12,25122118XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,11,25122XXXXXXX,geographic,
ET,11,25122111XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,18,25125774XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,12,25122119XXXX,wirelessgeographic,Ethiopian Telecommunications Corporation (ETC)
ET,13,25122330XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,13,25122331XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,15,25122668XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,12,25122220XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,11,25122112XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,16,25125333XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,19,25133111XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,11,25122113XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,10,25111660XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,18,25125775XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,13,25122332XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,15,25125XXXXXXX,geographic,
ET,12,25122221XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,16,25125334XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,19,25133112XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,17,25125551XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,21,25133339XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,18,25125776XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,12,25122223XXXX,geographic,Ethiopian Telecommunications Corporation (ETC)
ET,15,25125XXXXXXX,geographic,
