Country,Page,Range,Type,Provider
FI,100,35814826XX(XX),geographic,Telia Finland Oyj
FI,103,35814858XX(XX),geographic,Telia Finland Oyj
FI,100,35814827XX(XX),geographic,Telia Finland Oyj
FI,103,35814859XX(XX),geographic,Telia Finland Oyj
FI,108,35815180XX(XX),geographic,MPY Palvelut Oyj
FI,100,35814828XX(XX),geographic,Telia Finland Oyj
FI,101,35814836XX(XX),geographic,Telia Finland Oyj
FI,103,35814860XX(XX),geographic,Telia Finland Oyj
FI,100,35814829XX(XX),geographic,Telia Finland Oyj
FI,103,35814861XX(XX),geographic,Telia Finland Oyj
FI,109,35815198XX(XX),geographic,MPY Palvelut Oyj
FI,100,35814830XX(XX),geographic,Telia Finland Oyj
FI,112,35815228XX(XX),geographic,MPY Palvelut Oyj
FI,106,35814888XX(XX),geographic,Telia Finland Oyj
FI,108,35815182XX(XX),geographic,MPY Palvelut Oyj
FI,103,35814862XX(XX),geographic,Telia Finland Oyj
FI,107,35815165XX(XX),geographic,MPY Palvelut Oyj
FI,114,35815313XX(XX),geographic,MPY Palvelut Oyj
FI,104,35814868XX(XX),geographic,Telia Finland Oyj
FI,101,35814837XX(XX),geographic,Telia Finland Oyj
FI,108,35815183XX(XX),geographic,MPY Palvelut Oyj
FI,118,35815388XX(XX),geographic,DNA Oyj
FI,109,35815199XX(XX),geographic,MPY Palvelut Oyj
FI,106,35814889XX(XX),geographic,Telia Finland Oyj
FI,130,35815574XX(XX),geographic,Blue Lake Communications Oy
FI,103,35814863XX(XX),geographic,Telia Finland Oyj
FI,104,35814869XX(XX),geographic,Telia Finland Oyj
FI,107,35815170XX(XX),geographic,MPY Palvelut Oyj
FI,114,35815314XX(XX),geographic,MPY Palvelut Oyj
FI,109,35815200XX(XX),geographic,MPY Palvelut Oyj
FI,101,35814838XX(XX),geographic,Telia Finland Oyj
FI,112,35815229XX(XX),geographic,MPY Palvelut Oyj
FI,130,35815575XX(XX),geographic,Blue Lake Communications Oy
FI,118,35815389XX(XX),geographic,DNA Oyj
FI,104,35814870XX(XX),geographic,Telia Finland Oyj
FI,107,35815171XX(XX),geographic,MPY Palvelut Oyj
FI,114,35815315XX(XX),geographic,MPY Palvelut Oyj
FI,100,35814831XX(XX),geographic,Telia Finland Oyj
FI,101,35814839XX(XX),geographic,Telia Finland Oyj
FI,106,35815XXXXX(XX),geographic,
FI,108,35815184XX(XX),geographic,MPY Palvelut Oyj
FI,130,35815576XX(XX),geographic,Blue Lake Communications Oy
FI,11,35813256XX(XX),geographic,Elisa Oyj
FI,118,35815410XX(XX),geographic,Telia Finland Oyj
FI,107,35815172XX(XX),geographic,MPY Palvelut Oyj
FI,114,35815316XX(XX),geographic,MPY Palvelut Oyj
FI,109,35815201XX(XX),geographic,MPY Palvelut Oyj
FI,112,35815230XX(XX),geographic,MPY Palvelut Oyj
FI,103,35814864XX(XX),geographic,Telia Finland Oyj
FI,100,35814832XX(XX),geographic,Telia Finland Oyj
FI,10,35813246XX(XX),geographic,Elisa Oyj
FI,107,35815173XX(XX),geographic,MPY Palvelut Oyj
FI,130,35815577XX(XX),geographic,Blue Lake Communications Oy
FI,118,35815411XX(XX),geographic,Telia Finland Oyj
FI,109,35815202XX(XX),geographic,MPY Palvelut Oyj
FI,114,35815317XX(XX),geographic,MPY Palvelut Oyj
FI,102,35814846XX(XX),geographic,Telia Finland Oyj
FI,111,35815218XX(XX),geographic,MPY Palvelut Oyj
FI,11,35813257XX(XX),geographic,Elisa Oyj
FI,118,35815412XX(XX),geographic,Telia Finland Oyj
FI,114,35815318XX(XX),geographic,MPY Palvelut Oyj
FI,120,35815428XX(XX),geographic,Telia Finland Oyj
FI,10,35813247XX(XX),geographic,Elisa Oyj
FI,109,35815203XX(XX),geographic,MPY Palvelut Oyj
FI,102,35814847XX(XX),geographic,Telia Finland Oyj
FI,108,35815185XX(XX),geographic,MPY Palvelut Oyj
FI,114,35815319XX(XX),geographic,MPY Palvelut Oyj
FI,11,35813258XX(XX),geographic,Elisa Oyj
FI,111,35815219XX(XX),geographic,MPY Palvelut Oyj
FI,120,35815429XX(XX),geographic,DNA Oyj
FI,110,35815208XX(XX),geographic,MPY Palvelut Oyj
FI,109,35815204XX(XX),geographic,MPY Palvelut Oyj
FI,105,35814878XX(XX),geographic,Telia Finland Oyj
FI,130,35815578XX(XX),geographic,Blue Lake Communications Oy
FI,100,35814833XX(XX),geographic,Telia Finland Oyj
FI,132,35815622XX(XX),geographic,Telia Finland Oyj
FI,101,35814840XX(XX),geographic,Telia Finland Oyj
FI,104,35814871XX(XX),geographic,Telia Finland Oyj
FI,103,35814865XX(XX),geographic,Telia Finland Oyj
FI,118,35815413XX(XX),geographic,Telia Finland Oyj
FI,10,35813248XX(XX),geographic,Elisa Oyj
FI,108,35815188XX(XX),geographic,MPY Palvelut Oyj
FI,106,35815150XX(XX),geographic,MPY Palvelut Oyj
FI,105,35814879XX(XX),geographic,Telia Finland Oyj
FI,114,35815320XX(XX),geographic,MPY Palvelut Oyj
FI,132,35815623XX(XX),geographic,Telia Finland Oyj
FI,130,35815580XX(XX),geographic,Blue Lake Communications Oy
FI,100,35814834XX(XX),geographic,Telia Finland Oyj
FI,102,35814848XX(XX),geographic,Telia Finland Oyj
FI,10,35813249XX(XX),geographic,Elisa Oyj
FI,109,35815205XX(XX),geographic,MPY Palvelut Oyj
FI,133,35815635XX(XX),geographic,Telia Finland Oyj
FI,107,35815174XX(XX),geographic,MPY Palvelut Oyj
FI,101,35814841XX(XX),geographic,Telia Finland Oyj
FI,106,35815151XX(XX),geographic,MPY Palvelut Oyj
FI,132,35815624XX(XX),geographic,Telia Finland Oyj
FI,112,35815231XX(XX),geographic,MPY Palvelut Oyj
FI,104,35814872XX(XX),geographic,Telia Finland Oyj
FI,108,35815190XX(XX),geographic,MPY Palvelut Oyj
FI,113,35815257XX(XX),geographic,Blue Lake Communications Oy
FI,111,35815220XX(XX),geographic,MPY Palvelut Oyj
FI,122,35815444XX(XX),geographic,Telia Finland Oyj
FI,127,35815517XX(XX),geographic,Blue Lake Communications Oy
FI,103,35814866XX(XX),geographic,Telia Finland Oyj
FI,132,35815625XX(XX),geographic,Telia Finland Oyj
FI,118,35815414XX(XX),geographic,Telia Finland Oyj
FI,125,35815474XX(XX),geographic,Telia Finland Oyj
FI,107,35815175XX(XX),geographic,MPY Palvelut Oyj
FI,112,35815232XX(XX),geographic,MPY Palvelut Oyj
FI,113,35815258XX(XX),geographic,Blue Lake Communications Oy
FI,105,35814880XX(XX),geographic,Telia Finland Oyj
FI,11,35813259XX(XX),geographic,Elisa Oyj
