Country,Page,Range,Type,Provider
FK,2,50061XXX,mobile,Touch
FK,2,50060XXX,mobile,Touch
FK,2,50063XXX,mobile,Touch
FK,2,50062XXX,mobile,Touch
FK,2,50065XXX,mobile,Touch
FK,2,50064XXX,mobile,Touch
FK,3,50067XXX,mobile,Touch
FK,3,50066XXX,mobile,Touch
FK,3,50069XXX,mobile,Touch
FK,3,50068XXX,mobile,Touch
FK,1,50050XXX,mobile,Touch
FK,1,50052XXX,mobile,Touch
FK,1,50051XXX,mobile,Touch
FK,1,50054XXX,mobile,Touch
FK,1,50053XXX,mobile,Touch
FK,2,50056XXX,mobile,Touch
FK,1,50055XXX,mobile,Touch
FK,2,50058XXX,mobile,Touch
FK,2,50057XXX,mobile,Touch
FK,2,50059XXX,mobile,Touch
