Country,Page,Range,Type,Provider
FM,1,691,proper,
FM,1,691320XXXX,geographic,
FM,1,6913201XXX,geographic,FSM Telecommunication Corporation
FM,1,6913202XXX,geographic,FSM Telecommunication Corporation
FM,4,6913509XXX,geographic,FSM Telecommunication Corporation
FM,1,6913203XXX,geographic,FSM Telecommunication Corporation
FM,4,691370XXXX,geographic,
FM,2,6913209XXX,geographic,FSM Telecommunication Corporation
FM,2,691330XXXX,geographic,
FM,3,6913309XXX,geographic,FSM Telecommunication Corporation
FM,2,6913301XXX,geographic,FSM Telecommunication Corporation
FM,3,691350XXXX,geographic,
FM,4,6913701XXX,geographic,FSM Telecommunication Corporation
FM,1,6913204XXX,geographic,FSM Telecommunication Corporation
FM,3,6913501XXX,geographic,FSM Telecommunication Corporation
FM,4,6913702XXX,geographic,FSM Telecommunication Corporation
FM,2,6913302XXX,geographic,FSM Telecommunication Corporation
FM,1,6913205XXX,geographic,FSM Telecommunication Corporation
FM,5,6913709XXX,geographic,FSM Telecommunication Corporation
FM,3,6913502XXX,geographic,FSM Telecommunication Corporation
FM,4,6913703XXX,geographic,FSM Telecommunication Corporation
FM,1,6913206XXX,geographic,FSM Telecommunication Corporation
FM,8,691970XXXX,mobile,
FM,2,6913303XXX,geographic,FSM Telecommunication Corporation
FM,5,691920XXXX,mobile,
FM,1,6913207XXX,geographic,FSM Telecommunication Corporation
FM,7,691950XXXX,mobile,
FM,4,6913704XXX,geographic,FSM Telecommunication Corporation
FM,3,6913503XXX,geographic,FSM Telecommunication Corporation
FM,3,6913504XXX,geographic,FSM Telecommunication Corporation
FM,4,6913705XXX,geographic,FSM Telecommunication Corporation
FM,2,6913304XXX,geographic,FSM Telecommunication Corporation
FM,1,6913208XXX,geographic,FSM Telecommunication Corporation
FM,2,6913305XXX,geographic,FSM Telecommunication Corporation
FM,3,6913505XXX,geographic,FSM Telecommunication Corporation
FM,5,6919201XXX,mobile,FSM Telecommunication Corporation
FM,5,6919202XXX,mobile,FSM Telecommunication Corporation
FM,5,6919203XXX,mobile,FSM Telecommunication Corporation
FM,3,6913506XXX,geographic,FSM Telecommunication Corporation
FM,4,6913706XXX,geographic,FSM Telecommunication Corporation
FM,5,6919204XXX,mobile,FSM Telecommunication Corporation
FM,2,6913306XXX,geographic,FSM Telecommunication Corporation
FM,6,691930XXXX,mobile,
FM,5,6919205XXX,mobile,FSM Telecommunication Corporation
FM,5,6919206XXX,mobile,FSM Telecommunication Corporation
FM,5,6919207XXX,mobile,FSM Telecommunication Corporation
FM,5,6919208XXX,mobile,FSM Telecommunication Corporation
FM,6,6919209XXX,mobile,FSM Telecommunication Corporation
FM,6,6919301XXX,mobile,FSM Telecommunication Corporation
FM,6,6919302XXX,mobile,FSM Telecommunication Corporation
FM,6,6919303XXX,mobile,FSM Telecommunication Corporation
FM,6,6919304XXX,mobile,FSM Telecommunication Corporation
FM,6,6919305XXX,mobile,FSM Telecommunication Corporation
FM,6,6919306XXX,mobile,FSM Telecommunication Corporation
FM,6,6919307XXX,mobile,FSM Telecommunication Corporation
FM,6,6919308XXX,mobile,FSM Telecommunication Corporation
FM,7,6919309XXX,mobile,FSM Telecommunication Corporation
FM,7,6919501XXX,mobile,FSM Telecommunication Corporation
FM,7,6919502XXX,mobile,FSM Telecommunication Corporation
FM,7,6919503XXX,mobile,FSM Telecommunication Corporation
FM,7,6919504XXX,mobile,FSM Telecommunication Corporation
FM,7,6919505XXX,mobile,FSM Telecommunication Corporation
FM,7,6919506XXX,mobile,FSM Telecommunication Corporation
FM,2,6913307XXX,geographic,FSM Telecommunication Corporation
FM,7,6919507XXX,mobile,FSM Telecommunication Corporation
FM,7,6919508XXX,mobile,FSM Telecommunication Corporation
FM,4,6913707XXX,geographic,FSM Telecommunication Corporation
FM,3,6913507XXX,geographic,FSM Telecommunication Corporation
FM,8,6919509XXX,mobile,FSM Telecommunication Corporation
FM,8,6919701XXX,mobile,FSM Telecommunication Corporation
FM,8,6919702XXX,mobile,FSM Telecommunication Corporation
FM,8,6919703XXX,mobile,FSM Telecommunication Corporation
FM,8,6919704XXX,mobile,FSM Telecommunication Corporation
FM,8,6919705XXX,mobile,FSM Telecommunication Corporation
FM,8,6919706XXX,mobile,FSM Telecommunication Corporation
FM,8,6919707XXX,mobile,FSM Telecommunication Corporation
FM,8,6919708XXX,mobile,FSM Telecommunication Corporation
FM,9,6919709XXX,mobile,FSM Telecommunication Corporation
FM,4,6913708XXX,geographic,FSM Telecommunication Corporation
FM,3,6913508XXX,geographic,FSM Telecommunication Corporation
FM,2,6913308XXX,geographic,FSM Telecommunication Corporation
