Country,Page,Range,Type,Provider
FO,3,298287XXX,mobile,Føroya Tele (prepaid)
FO,3,298286XXX,mobile,Føroya Tele (prepaid)
FO,3,298285XXX,mobile,Føroya Tele (prepaid)
FO,3,298284XXX,mobile,Føroya Tele (prepaid)
FO,3,298289XXX,mobile,Føroya Tele (prepaid)
FO,3,298288XXX,mobile,Føroya Tele (prepaid)
FO,3,298283XXX,mobile,Føroya Tele (prepaid)
FO,3,298282XXX,mobile,Føroya Tele (prepaid)
FO,2,298281XXX,mobile,Føroya Tele (prepaid)
FO,2,298280XXX,mobile,Føroya Tele (prepaid)
FO,8,29879XXXX,mobile,Føroya Tele
FO,7,29874XXXX,mobile,Kall
FO,7,29873XXXX,mobile,Kall
FO,7,29872XXXX,mobile,Kall
FO,7,29871XXXX,mobile,Kall
FO,8,29877XXXX,mobile,Kall
FO,8,29876XXXX,mobile,Kall
FO,7,29875XXXX,mobile,Kall
FO,2,29827XXXX,mobile,Føroya Tele (prepaid)
FO,2,29826XXXX,mobile,Føroya Tele (prepaid)
FO,2,29825XXXX,mobile,Føroya Tele (prepaid)
FO,2,29824XXXX,mobile,Føroya Tele
FO,3,29829XXXX,mobile,Føroya Tele (prepaid)
FO,2,29823XXXX,mobile,Føroya Tele
FO,2,29822XXXX,mobile,Føroya Tele
FO,2,29821XXXX,mobile,Føroya Tele
FO,6,29859XXXX,mobile,Kall
FO,6,29858XXXX,mobile,Kall
FO,6,29857XXXX,mobile,Kall
FO,6,29852XXXX,mobile,Kall
FO,6,29851XXXX,mobile,Kall
FO,5,29850XXXX,mobile,Kall
FO,6,29856XXXX,mobile,Kall
FO,6,29855XXXX,mobile,Kall
FO,6,29854XXXX,mobile,Kall
FO,6,29853XXXX,mobile,Kall
