Country,Page,Range,Type,Provider
GA,2,+2411492XXX,satellite,VSAT
GA,2,+241150XXXX,geographic,Gabon Télécom S.A.
GA,2,+241154XXXX,geographic,Gabon Télécom S.A.
GA,2,+241155XXXX,geographic,Gabon Télécom S.A.
GA,3,+241165XXXX,geographic,Gabon Télécom S.A.
GA,4,+241174XXXX,geographic,Gabon Télécom S.A.
GA,2,+241156XXXX,geographic,Gabon Télécom S.A.
GA,4,+241175XXXX,geographic,Gabon Télécom S.A.
GA,4,+241176XXXX,geographic,Gabon Télécom S.A.
GA,3,+241166XXXX,geographic,Gabon Télécom S.A.
GA,5,+241192XXXX,geographic,Gabon Télécom S.A.
GA,2,+241158XXXX,geographic,Gabon Télécom S.A.
GA,1,241,proper,
GA,4,+241177XXXX,geographic,Gabon Télécom S.A.
GA,5,+241193XXXX,geographic,Gabon Télécom S.A.
GA,3,+241167XXXX,geographic,Gabon Télécom S.A.
GA,5,+241196XXXX,geographic,Gabon Télécom S.A.
GA,2,+241159XXXX,geographic,Gabon Télécom S.A.
GA,3,+241169XXXX,geographic,Gabon Télécom S.A.
GA,4,+241178XXXX,geographic,Gabon Télécom S.A.
GA,1,+2411XXXXXX,geographic,
GA,5,+241198XXXX,geographic,Gabon Télécom S.A.
GA,3,+241169XXXX,geographic,Gabon Télécom S.A.
GA,2,+241160XXXX,geographic,Gabon Télécom S.A.
GA,4,+241179XXXX,geographic,Gabon Télécom S.A.
GA,1,+241140XXXX,geographic,Gabon Télécom S.A.
GA,4,+241182XXXX,geographic,Gabon Télécom S.A.
GA,2,+241162XXXX,geographic,Gabon Télécom S.A.
GA,3,+241169XXXX,geographic,Gabon Télécom S.A.
GA,4,+241183XXXX,geographic,Gabon Télécom S.A.
GA,1,+2411420XXX,geographic,Gabon Télécom S.A.
GA,2,+241164XXXX,geographic,Gabon Télécom S.A.
GA,5,+2412XXXXXX,mobile,Libertis
GA,5,+2413XXXXXX,mobile,AZUR Gabon
GA,5,+2414XXXXXX,mobile,ZAIN Gabon (Celtel)
GA,5,+241508XXXX,mobile,Télécel
GA,5,+241509XXXX,mobile,Télécel
GA,5,+2415XXXXXX,mobile,Télécel
GA,6,+241530XXXX,mobile,Télécel
GA,3,+241170XXXX,geographic,Gabon Télécom S.A.
GA,6,+241531XXXX,mobile,Télécel
GA,6,+241532XXXX,mobile,Télécel
GA,6,+241533XXXX,mobile,Télécel
GA,1,+2411424XXX,geographic,Gabon Télécom S.A.
GA,6,+241534XXXX,mobile,Télécel
GA,6,+241580XXXX,mobile,Télécel
GA,6,+241581XXXX,mobile,Télécel
GA,6,+241582XXXX,mobile,Télécel
GA,6,+241586XXXX,mobile,Télécel
GA,6,+241592XXXX,mobile,Télécel
GA,7,+241593XXXX,mobile,Télécel
GA,7,+241603XXXX,mobile,Libertis
GA,7,+241604XXXX,mobile,Libertis
GA,7,+241605XXXX,mobile,Libertis
GA,7,+241606XXXX,mobile,Libertis
GA,7,+241607XXXX,mobile,Libertis
GA,7,+241610XXXX,mobile,Libertis
GA,7,+241611XXXX,mobile,Libertis
GA,7,+241620XXXX,mobile,Libertis
GA,7,+2416XXXXXX,mobile,Libertis
GA,8,+241621XXXX,mobile,Libertis
GA,8,+241622XXXX,mobile,Libertis
GA,8,+241623XXXX,mobile,Libertis
GA,8,+241624XXXX,mobile,Libertis
GA,3,+241171XXXX,geographic,Gabon Télécom S.A.
GA,8,+241625XXXX,mobile,Libertis
GA,8,+241626XXXX,mobile,Libertis
GA,8,+241627XXXX,mobile,Libertis
GA,8,+241660XXXX,mobile,Libertis
GA,8,+241661XXXX,mobile,Libertis
GA,8,+241662XXXX,mobile,Libertis
GA,4,+241186XXXX,geographic,Gabon Télécom S.A.
GA,9,+241663XXXX,mobile,Libertis
GA,9,+241664XXXX,mobile,Libertis
GA,9,+241665XXXX,mobile,Libertis
GA,9,+241668XXXX,mobile,Libertis
GA,9,+241669XXXX,mobile,Libertis
GA,9,+241683XXXX,mobile,Libertis
GA,9,+241695XXXX,mobile,Libertis
GA,9,+241714XXXX,mobile,ZAIN Gabon (Celtel)
GA,9,+241715XXXX,mobile,ZAIN Gabon (Celtel)
GA,9,+2417XXXXXX,mobile,ZAIN Gabon (Celtel)
GA,10,+241728XXXX,mobile,ZAIN Gabon (Celtel)
GA,10,+241729XXXX,mobile,ZAIN Gabon (Celtel)
GA,10,+241735XXXX,mobile,ZAIN Gabon (Celtel)
GA,4,+241190XXXX,geographic,Gabon Télécom S.A.
GA,10,+241736XXXX,mobile,ZAIN Gabon (Celtel)
GA,10,+241737XXXX,mobile,ZAIN Gabon (Celtel)
GA,10,+241738XXXX,mobile,ZAIN Gabon (Celtel)
GA,10,+241739XXXX,mobile,ZAIN Gabon (Celtel)
GA,10,+241740XXXX,mobile,ZAIN Gabon (Celtel)
GA,10,+241741XXXX,mobile,ZAIN Gabon (Celtel)
GA,1,+241144XXXX,geographic,Gabon Télécom S.A.
GA,10,+241750XXXX,mobile,ZAIN Gabon (Celtel)
GA,3,+241172XXXX,geographic,Gabon Télécom S.A.
GA,11,+241751XXXX,mobile,ZAIN Gabon (Celtel)
GA,11,+241752XXXX,mobile,ZAIN Gabon (Celtel)
GA,11,+241753XXXX,mobile,ZAIN Gabon (Celtel)
GA,11,+241754XXXX,mobile,ZAIN Gabon (Celtel)
GA,11,+241757XXXX,mobile,ZAIN Gabon (Celtel)
GA,11,+241758XXXX,mobile,ZAIN Gabon (Celtel)
GA,11,+241759XXXX,mobile,ZAIN Gabon (Celtel)
GA,11,+241784XXXX,mobile,ZAIN Gabon (Celtel)
GA,11,+241785XXXX,mobile,ZAIN Gabon (Celtel)
GA,11,+241787XXXX,mobile,ZAIN Gabon (Celtel)
GA,12,+241788XXXX,mobile,ZAIN Gabon (Celtel)
GA,12,+241789XXXX,mobile,ZAIN Gabon (Celtel)
GA,12,+241790XXXX,mobile,ZAIN Gabon (Celtel)
GA,12,+241791XXXX,mobile,ZAIN Gabon (Celtel)
GA,12,+241794XXXX,mobile,ZAIN Gabon (Celtel)
GA,12,+241796XXXX,mobile,ZAIN Gabon (Celtel)
GA,1,+241145XXXX,geographic,Gabon Télécom S.A.
GA,3,+241173XXXX,geographic,Gabon Télécom S.A.
GA,1,+241146XXXX,geographic,Gabon Télécom S.A.
GA,1,+241147XXXX,geographic,Gabon Télécom S.A.
GA,1,+241148XXXX,geographic,Gabon Télécom S.A.
