Country,Page,Range,Type,Provider
GD,1,1,proper,
GD,1,1473XXXXXXX,geographic,
GD,1,1473230XXXX,geographic,Columbus Communications (Grenada) Ltd
GD,7,14738003XXX,geographic,Columbus Communications (Grenada) Ltd
GD,1,1473231XXXX,geographic,Columbus Communications (Grenada) Ltd
GD,5,1473468XXXX,geographic,Cable & Wireless Grenada Ltd
GD,7,14738004XXX,geographic,Columbus Communications (Grenada) Ltd
GD,1,1473232XXXX,geographic,Columbus Communications (Grenada) Ltd
GD,5,1473473XXXX,geographic,Cable & Wireless Grenada Ltd
GD,7,14738005XXX,geographic,Cable & Wireless Grenada Ltd
GD,1,1473269XXXX,geographic,Cable & Wireless Grenada Ltd
GD,1,1473328XXXX,geographic,Cable & Wireless Grenada Ltd
GD,2,1473408XXXX,pager,Cable & Wireless Grenada Ltd
GD,1,1473329XXXX,geographic,Cable & Wireless Grenada Ltd
GD,7,14738007XXX,geographic,Cable & Wireless Grenada Ltd
GD,5,1473480XXXX,geographic,Trans-World Telecom Caribbean Ltd
GD,1,1473386XXXX,geographic,Cable & Wireless Grenada Ltd
GD,7,1473938XXXX,geographic,Cable & Wireless Grenada Ltd
GD,5,1473490XXXX,geographic,Cable & Wireless Grenada Ltd
GD,4,1473441XXXX,geographic,Cable & Wireless Grenada Ltd
GD,4,1473442XXXX,geographic,Cable & Wireless Grenada Ltd
GD,5,1473505XXXX,geographic,Global Network Providers Grenada Inc
GD,1,1473403XXXX,mobile,Cable & Wireless Grenada Ltd
GD,2,1473404XXXX,mobile,Cable & Wireless Grenada Ltd
GD,2,1473405XXXX,mobile,Cable & Wireless Grenada Ltd
GD,2,1473406XXXX,mobile,Cable & Wireless Grenada Ltd
GD,6,1473636XXXX,geographic,Cable & Wireless Grenada Ltd
GD,2,1473407XXXX,mobile,Cable & Wireless Grenada Ltd
GD,3,1473435XXXX,geographic,Cable & Wireless Grenada Ltd
GD,2,1473409XXXX,mobile,Cable & Wireless Grenada Ltd
GD,2,1473410XXXX,mobile,Cable & Wireless Grenada Ltd
GD,2,1473414XXXX,mobile,Digicel Grenada Ltd
GD,5,1473506XXXX,geographic,Global Network Providers Grenada Inc
GD,2,1473415XXXX,mobile,Digicel Grenada Ltd
GD,3,1473436XXXX,geographic,Cable & Wireless Grenada Ltd
GD,2,1473416XXXX,mobile,Digicel Grenada Ltd
GD,4,1473443XXXX,geographic,Cable & Wireless Grenada Ltd
GD,3,1473417XXXX,mobile,Digicel Grenada Ltd
GD,3,1473418XXXX,mobile,Digicel Grenada Ltd
GD,3,1473419XXXX,mobile,Digicel Grenada Ltd
GD,3,1473420XXXX,mobile,Digicel Grenada Ltd
GD,3,1473437XXXX,geographic,Cable & Wireless Grenada Ltd
GD,4,1473458XXXX,mobile,Cable & Wireless Grenada Ltd
GD,5,1473520XXXX,mobile,Affordable Island Communications Inc
GD,5,1473521XXXX,mobile,Affordable Island Communications Inc
GD,5,1473533XXXX,mobile,Grenada Wireless Holdings Ltd
GD,6,1473534XXXX,mobile,Grenada Wireless Holdings Ltd
GD,5,1473507XXXX,geographic,Global Network Providers Grenada Inc
GD,3,1473438XXXX,geographic,Cable & Wireless Grenada Ltd
GD,6,1473535XXXX,mobile,Grenada Wireless Holdings Ltd
GD,6,1473536XXXX,mobile,Grenada Wireless Holdings Ltd
GD,6,1473537XXXX,mobile,Grenada Wireless Holdings Ltd
GD,6,1473538XXXX,mobile,Grenada Wireless Holdings Ltd
GD,4,1473444XXXX,geographic,Cable & Wireless Grenada Ltd
GD,3,1473439XXXX,geographic,Cable & Wireless Grenada Ltd
GD,6,1473638XXXX,geographic,Cable & Wireless Grenada Ltd
GD,3,1473440XXXX,geographic,Cable & Wireless Grenada Ltd
GD,4,1473449XXXX,geographic,Cable & Wireless Grenada Ltd
GD,6,1473758XXXX,geographic,Cable & Wireless Grenada Ltd
GD,4,1473455XXXX,geographic,Cable & Wireless Grenada Ltd
GD,6,1473784XXXX,geographic,Cable & Wireless Grenada Ltd
GD,6,14738002XXX,geographic,Cable & Wireless Grenada Ltd
GD,4,1473456XXXX,geographic,Cable & Wireless Grenada Ltd
GD,4,1473457XXXX,geographic,Cable & Wireless Grenada Ltd
GD,4,1473459XXXX,geographic,Cable & Wireless Grenada Ltd
