Country,Page,Range,Type,Provider
GE,14,9954352XXXXX,geographic,
GE,10,9954172XXXXX,geographic,
GE,14,995436XXXXXX,geographic,
GE,14,9954362XXXXX,geographic,
GE,18,9954962XXXXX,geographic,
GE,18,995497XXXXXX,geographic,
GE,10,995418XXXXXX,geographic,
GE,18,9954972XXXXX,geographic,
GE,10,9954182XXXXX,geographic,
GE,17,9954912XXXXX,geographic,
GE,11,9954232XXXXX,geographic,
GE,10,995419XXXXXX,geographic,
GE,17,995492XXXXXX,geographic,
GE,12,9954262XXXXX,geographic,
GE,15,9954432XXXXX,geographic,
GE,11,995424XXXXXX,geographic,
GE,10,9954192XXXXX,geographic,
GE,12,995427XXXXXX,geographic,
GE,12,995427XXXXXX,geographic,
GE,11,9954242XXXXX,geographic,
GE,17,9954922XXXXX,geographic,
GE,10,995422XXXXXX,geographic,
GE,14,995437XXXXXX,geographic,
GE,11,9954242XXXXX,geographic,
GE,10,9954222XXXXX,geographic,
GE,13,9954322XXXXX,geographic,
GE,16,9954482XXXXX,geographic,
GE,13,995433XXXXXX,geographic,
GE,10,995423XXXXXX,geographic,
GE,14,9954372XXXXX,geographic,
GE,17,995493XXXXXX,geographic,
GE,11,9954242XXXXX,geographic,
GE,7,9953672XXXXX,geographic,
GE,10,9954232XXXXX,geographic,
GE,12,9954272XXXXX,geographic,
GE,16,995472XXXXXX,geographic,
GE,13,9954332XXXXX,geographic,
GE,17,9954932XXXXX,geographic,
GE,11,995425XXXXXX,geographic,
GE,12,9954272XXXXX,geographic,
GE,7,995368XXXXXX,geographic,
GE,14,995439XXXXXX,geographic,
GE,13,995434XXXXXX,geographic,
GE,10,9954232XXXXX,geographic,
GE,16,9954722XXXXX,geographic,
GE,3,9953492XXXXX,geographic,
GE,14,9954392XXXXX,geographic,
GE,9,9954122XXXXX,geographic,
GE,12,995431XXXXXX,geographic,
GE,17,995494XXXXXX,geographic,
GE,15,995444XXXXXX,geographic,
GE,7,9953682XXXXX,geographic,
GE,18,995514XXXXXX,mobile,Geocell
GE,16,995473XXXXXX,geographic,
GE,3,995350XXXXXX,geographic,
GE,18,995550XXXXXX,mobile,Magti GSM
GE,9,995413XXXXXX,geographic,
GE,14,995442XXXXXX,geographic,
GE,18,995551XXXXXX,mobile,Magti GSM
GE,12,995431XXXXXX,geographic,
GE,18,995555XXXXXX,mobile,Geocell
GE,13,9954342XXXXX,geographic,
GE,17,9954942XXXXX,geographic,
GE,18,995557XXXXXX,mobile,Geocell
GE,18,995558XXXXXX,mobile,Geocell
GE,18,995568XXXXXX,mobile,Mobitel (Beeline)
GE,19,995571XXXXXX,mobile,Mobitel (Beeline)
GE,7,995369XXXXXX,geographic,
GE,5,9953582XXXXX,geographic,
GE,11,9954252XXXXX,geographic,
GE,16,9954732XXXXX,geographic,
GE,15,9954442XXXXX,geographic,
GE,19,995574XXXXXX,mobile,Mobitel (Beeline)
GE,14,9954422XXXXX,geographic,
GE,12,9954312XXXXX,geographic,
GE,19,995577XXXXXX,mobile,Geocell
GE,4,9953532XXXXX,geographic,
GE,5,995359XXXXXX,geographic,
GE,1,995,proper,
GE,17,995495XXXXXX,geographic,
GE,19,995578XXXXXX,mobile,Silqnet (CDMA)
GE,3,9953502XXXXX,geographic,
GE,19,995579XXXXXX,mobile,Mobitel (Beeline)
GE,7,9953692XXXXX,geographic,
GE,19,995591XXXXXX,mobile,Magti GSM
GE,8,9953722XXXXX,geographic,
GE,19,995592XXXXXX,mobile,Mobitel (Beeline)
GE,4,995354XXXXXX,geographic,
GE,19,995593XXXXXX,mobile,Geocell
GE,16,995474XXXXXX,geographic,
GE,19,995595XXXXXX,mobile,Magti GSM
GE,6,9953632XXXXX,geographic,
GE,13,995435XXXXXX,geographic,
GE,9,9954132XXXXX,geographic,
GE,15,995445XXXXXX,geographic,
GE,2,9953442XXXXX,geographic,
GE,11,9954252XXXXX,geographic,
GE,19,995596XXXXXX,mobile,Magti GSM
GE,20,995597XXXXXX,mobile,Mobitel (Beeline)
GE,14,995443XXXXXX,geographic,
GE,5,9953592XXXXX,geographic,
GE,12,9954312XXXXX,geographic,
GE,1,995220XXXXX,geographic,Telecom Georgia
GE,8,995373XXXXXX,geographic,
GE,20,995598XXXXXX,mobile,Magti GSM
GE,3,995351XXXXXX,geographic,
GE,7,995370XXXXXX,geographic,
GE,16,9954742XXXXX,geographic,
GE,17,9954952XXXXX,geographic,
GE,20,995599XXXXXX,mobile,Magti GSM
GE,13,995435XXXXXX,geographic,
GE,15,9954452XXXXX,geographic,
GE,2,995345XXXXXX,geographic,
GE,4,9953542XXXXX,geographic,
GE,12,995432XXXXXX,geographic,
GE,20,995770XXXXXX,mobile,Silqnet (CDMA)
GE,1,99532XXXXXXX,geographic,
GE,6,995364XXXXXX,geographic,
GE,20,995790XXXXXX,mobile,Magti GSM (CDMA)
GE,11,9954252XXXXX,geographic,
GE,3,9953512XXXXX,geographic,
GE,6,9953642XXXXX,geographic,
GE,9,995414XXXXXX,geographic,
GE,5,995360XXXXXX,geographic,
GE,15,995446XXXXXX,geographic,
GE,13,995435XXXXXX,geographic,
GE,1,995322XXXXXX,geographic,
GE,17,995496XXXXXX,geographic,
GE,4,995355XXXXXX,geographic,
GE,2,9953452XXXXX,geographic,
GE,8,9953732XXXXX,geographic,
GE,9,9954142XXXXX,geographic,
GE,15,9954462XXXXX,geographic,
